frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749072535.05,75,0.037,0.026,0.041,1.516,0.00,0.00,-0.95,0.00,0.07,none,1,35.89,5.18,0.00,19.79,0.024,0.024,0.0,0.052
3,1749072535.10,75,0.050,0.054,0.079,1.942,0.00,0.00,-0.95,0.00,0.08,none,0,36.17,5.23,0.00,19.84,0.025,0.025,0.0,0.052
4,1749072535.15,75,0.067,0.062,0.102,2.312,0.00,0.00,-0.95,0.00,0.07,none,0,36.15,5.23,0.00,19.97,0.023,0.023,0.0,0.051
5,1749072535.21,75,0.084,0.066,0.116,2.255,0.00,0.00,-0.94,0.00,0.07,none,0,36.03,5.21,0.00,19.78,0.025,0.025,0.0,0.052
6,1749072535.26,75,0.089,0.069,0.118,2.339,0.00,0.00,-0.94,0.00,0.06,none,0,35.90,5.18,0.00,19.87,0.025,0.025,0.0,0.051
7,1749072535.31,75,0.102,0.082,0.139,2.399,0.00,0.00,-0.94,0.00,0.05,none,0,35.76,5.15,0.00,19.89,0.026,0.026,0.0,0.051
8,1749072535.36,75,0.101,0.076,0.136,1.681,0.00,0.00,-0.93,0.00,0.04,none,0,35.64,5.13,0.00,19.85,0.024,0.024,0.0,0.052
9,1749072535.41,75,0.096,0.070,0.125,1.395,0.00,0.00,-0.93,0.00,0.03,none,0,35.52,5.10,0.00,19.88,0.024,0.024,0.0,0.052
10,1749072535.47,75,0.079,0.064,0.110,0.998,0.00,0.00,-0.93,0.00,0.03,none,0,35.40,5.08,0.00,17.85,0.032,0.032,0.0,0.058
11,1749072535.52,75,0.063,0.053,0.098,0.979,0.00,0.00,-0.93,0.00,0.02,none,0,35.33,5.07,0.00,19.92,0.029,0.029,0.0,0.051
12,1749072535.58,75,0.049,0.042,0.078,0.713,0.00,0.00,-0.93,0.00,0.02,none,0,35.25,5.05,0.00,19.91,0.028,0.028,0.0,0.052
13,1749072535.63,75,0.042,0.039,0.072,1.644,0.00,0.00,-0.93,0.00,0.01,none,0,35.18,5.04,0.00,19.86,0.021,0.021,0.0,0.052
14,1749072535.68,75,0.033,0.033,0.062,0.568,0.00,0.00,-0.93,0.00,0.01,none,0,35.12,5.02,0.00,19.81,0.024,0.024,0.0,0.052
15,1749072535.73,75,0.031,0.028,0.052,0.725,0.00,0.00,-0.93,0.00,0.00,none,0,35.07,5.01,0.00,19.86,0.024,0.024,0.0,0.052
16,1749072535.78,75,0.027,0.027,0.043,0.515,0.00,0.00,-0.93,0.00,0.00,none,0,35.02,5.00,0.00,19.87,0.023,0.023,0.0,0.052
17,1749072535.83,75,0.022,0.023,0.039,0.309,0.00,0.00,-0.93,0.00,0.00,none,0,35.02,5.00,0.00,19.72,0.023,0.023,0.0,0.053
18,1749072535.89,75,0.021,0.020,0.028,0.304,0.00,0.00,-0.93,0.00,0.00,none,0,35.05,5.01,0.00,19.94,0.024,0.024,0.0,0.051
19,1749072535.94,75,0.017,0.019,0.026,0.361,0.00,0.00,-0.93,0.00,0.01,none,0,35.08,5.02,0.00,19.80,0.022,0.022,0.0,0.051
20,1749072535.99,75,0.013,0.019,0.026,0.510,0.00,0.00,-0.93,0.00,0.01,none,0,35.10,5.02,0.00,19.96,0.021,0.021,0.0,0.051
21,1749072536.04,75,0.016,0.018,0.027,0.508,0.00,0.00,-0.93,0.00,0.01,none,0,35.13,5.03,0.00,19.81,0.022,0.022,0.0,0.052
22,1749072536.09,75,0.018,0.020,0.027,0.448,0.00,0.00,-0.93,0.00,0.01,none,0,35.14,5.03,0.00,19.87,0.023,0.023,0.0,0.051
23,1749072536.15,75,0.019,0.021,0.029,0.418,0.00,0.00,-0.93,0.00,0.01,none,0,35.16,5.03,0.00,19.87,0.025,0.025,0.0,0.051
24,1749072536.20,75,0.020,0.022,0.033,1.098,0.00,0.00,-0.93,0.00,0.01,none,0,35.17,5.03,0.00,19.82,0.027,0.027,0.0,0.052
25,1749072536.25,75,0.022,0.023,0.035,0.690,0.00,0.00,-0.93,0.00,0.01,none,0,35.18,5.04,0.00,19.94,0.024,0.024,0.0,0.052
26,1749072536.30,75,0.021,0.024,0.034,0.528,0.00,0.00,-0.93,0.00,0.01,none,0,35.18,5.04,0.00,19.93,0.020,0.020,0.0,0.051
27,1749072536.35,75,0.021,0.023,0.037,0.518,0.00,0.00,-0.93,0.00,0.01,none,0,35.19,5.04,0.00,19.81,0.023,0.023,0.0,0.051
28,1749072536.40,75,0.022,0.023,0.041,0.754,0.00,0.00,-0.93,0.00,0.01,none,0,35.19,5.04,0.00,19.93,0.021,0.021,0.0,0.051
29,1749072536.46,75,0.022,0.022,0.038,0.510,0.00,0.00,-0.93,0.00,0.01,none,0,35.20,5.04,0.00,19.93,0.024,0.024,0.0,0.051
30,1749072536.51,75,0.022,0.025,0.039,0.737,0.00,0.00,-0.93,0.00,0.01,none,0,35.20,5.04,0.00,19.82,0.024,0.024,0.0,0.052
31,1749072536.56,75,0.022,0.025,0.041,0.623,0.00,0.00,-0.94,0.00,0.01,none,0,35.20,5.04,0.00,19.95,0.021,0.021,0.0,0.051
32,1749072536.61,75,0.022,0.025,0.041,0.628,0.00,0.00,-0.94,0.00,0.01,none,0,35.20,5.04,0.00,19.93,0.022,0.022,0.0,0.051
33,1749072536.66,75,0.024,0.027,0.040,0.717,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.94,0.025,0.025,0.0,0.051
34,1749072536.71,75,0.026,0.027,0.039,0.609,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.80,0.022,0.022,0.0,0.052
35,1749072536.77,75,0.027,0.025,0.037,0.554,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.85,0.023,0.023,0.0,0.052
36,1749072536.82,75,0.026,0.025,0.037,0.576,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.89,0.021,0.021,0.0,0.051
37,1749072536.87,75,0.026,0.023,0.037,0.517,0.00,0.00,-0.94,0.00,0.01,none,0,35.18,5.04,0.00,19.82,0.020,0.020,0.0,0.051
38,1749072536.92,75,0.024,0.023,0.037,0.492,0.00,0.00,-0.94,0.00,0.01,none,0,35.18,5.04,0.00,19.96,0.022,0.022,0.0,0.051
39,1749072536.97,75,0.025,0.022,0.038,0.588,0.00,0.00,-0.94,0.00,0.01,none,0,35.17,5.03,0.00,19.79,0.022,0.022,0.0,0.052
40,1749072537.02,75,0.023,0.025,0.038,1.072,0.00,0.00,-0.94,0.00,0.01,resume_reinforce,0,35.17,5.03,0.00,19.87,0.024,0.024,0.0,0.051
41,1749072537.08,75,0.085,0.076,0.102,5.772,0.00,0.00,-0.94,-0.00,0.03,none,0,35.50,5.10,0.00,19.96,0.020,0.020,0.0,0.051
42,1749072537.13,73,2.620,1.772,2.508,170.843,0.00,0.00,-0.94,-0.00,0.08,none,0,35.79,5.16,0.00,19.95,0.024,0.024,0.0,0.051
43,1749072537.18,74,4.283,3.061,4.460,130.062,0.01,0.00,-0.94,-0.00,0.19,none,0,37.29,5.46,0.00,19.87,0.021,0.021,0.0,0.051
44,1749072537.23,75,5.603,4.112,5.739,89.452,0.02,0.00,-0.95,0.00,0.29,none,0,38.84,5.77,0.00,19.95,0.023,0.023,0.0,0.051
45,1749072537.28,75,6.352,4.737,6.505,52.843,0.03,0.00,-0.96,0.00,0.38,none,0,40.27,6.05,0.00,19.84,0.023,0.023,0.0,0.052
46,1749072537.33,75,6.729,5.026,6.899,27.990,0.05,0.00,-0.97,0.00,0.47,none,0,41.66,6.33,0.00,19.96,0.023,0.023,0.0,0.053
47,1749072537.39,74,4.348,3.443,4.644,9.837,0.08,0.00,-0.98,0.00,0.55,none,0,42.90,6.58,0.00,19.79,0.022,0.022,0.0,0.052
48,1749072537.44,75,2.830,2.207,2.876,11.151,0.10,0.00,-1.00,0.00,0.63,none,0,44.09,6.82,0.00,19.96,0.022,0.022,0.0,0.051
49,1749072537.49,75,1.765,1.296,1.883,14.417,0.14,0.00,-1.01,0.00,0.71,none,0,45.31,7.06,0.00,19.96,0.025,0.025,0.0,0.051
50,1749072537.54,75,1.328,0.887,1.522,22.131,0.17,0.00,-1.01,0.00,0.78,none,0,46.38,7.28,0.00,19.79,0.022,0.022,0.0,0.052
51,1749072537.59,75,1.253,0.818,1.501,22.924,0.21,0.00,-1.02,0.00,0.86,none,0,47.55,7.51,0.00,19.91,0.024,0.024,0.0,0.051
52,1749072537.64,75,1.516,1.009,1.821,28.180,0.26,0.00,-1.03,0.00,0.93,none,0,48.55,7.71,0.00,19.98,0.022,0.022,0.0,0.051
53,1749072537.70,75,1.826,1.244,2.183,31.440,0.31,0.00,-1.04,0.00,1.00,none,0,49.58,7.92,0.00,19.87,0.022,0.022,0.0,0.051
54,1749072537.75,75,2.032,1.446,2.446,29.995,0.36,0.00,-1.04,0.00,1.06,none,0,50.62,8.12,0.00,19.83,0.022,0.022,0.0,0.052
55,1749072537.80,75,2.283,1.567,2.608,31.219,0.42,0.00,-1.05,0.00,1.13,none,0,51.56,8.31,0.00,19.94,0.022,0.022,0.0,0.052
56,1749072537.85,75,2.435,1.610,2.782,28.658,0.48,0.00,-1.05,0.00,1.19,none,0,52.55,8.51,0.00,19.76,0.025,0.025,0.0,0.052
57,1749072537.90,75,2.533,1.586,2.803,29.939,0.54,0.00,-1.05,0.00,1.24,none,0,53.28,8.66,0.00,19.91,0.020,0.020,0.0,0.051
58,1749072537.96,75,2.635,1.601,2.889,34.689,0.61,0.00,-1.06,0.00,1.29,none,0,54.12,8.82,0.00,19.84,0.022,0.022,0.0,0.051
59,1749072538.01,74,2.722,1.536,2.889,32.290,0.67,0.00,-1.06,0.00,1.34,none,0,54.90,8.98,0.00,19.86,0.024,0.024,0.0,0.051
