frame,time,features,flow_left,flow_center,flow_right,speed
2,1748961728.54,75,0.208,0.085,0.204,0.08
3,1748961728.65,75,0.236,0.096,0.231,0.06
4,1748961728.76,75,0.226,0.093,0.223,0.04
5,1748961728.88,75,0.212,0.086,0.205,1.84
6,1748961731.00,75,5.628,3.661,5.339,1.84
7,1748961732.13,75,9.067,11.021,8.718,0.47
8,1748961732.24,75,4.534,7.203,6.167,0.40
9,1748961733.36,75,2.267,10.434,7.524,0.10
10,1748961734.48,75,5.376,7.218,6.236,0.06
11,1748961735.59,75,4.016,4.264,4.213,0.06
12,1748961736.70,75,2.844,2.523,2.885,0.06
13,1748961737.82,75,2.189,1.606,2.171,0.05
14,1748961737.91,75,1.148,0.827,1.133,0.05
15,1748961738.02,75,11.194,15.224,9.023,0.28
16,1748961739.13,75,19.653,18.578,9.292,0.16
17,1748961741.46,75,14.563,14.160,10.810,0.93
18,1748961742.57,75,14.401,10.833,10.152,0.25
19,1748961742.68,75,7.516,5.659,5.677,0.23
20,1748961742.78,75,3.966,2.995,3.330,0.19
21,1748961742.90,71,15.878,18.378,4.719,0.32
22,1748961745.23,74,21.030,22.031,6.564,0.94
23,1748961747.55,75,17.331,14.310,3.282,0.12
