frame,time,features,flow_left,flow_center,flow_right
2,1748876576.36,143,186.220,0.000,178.461
3,1748876576.46,134,137.216,0.000,137.882
4,1748876576.57,130,96.748,0.000,97.075
5,1748876576.66,126,75.527,0.000,75.844
6,1748876576.75,123,63.716,0.000,64.206
7,1748876576.85,121,30.140,0.000,32.301
8,1748876576.94,120,15.626,0.000,16.069
9,1748876577.05,119,15.509,0.000,16.070
10,1748876577.14,116,15.635,0.000,16.184
11,1748876577.25,116,14.432,0.000,14.828
12,1748876577.35,115,12.394,0.000,12.835
13,1748876577.46,113,10.807,0.000,11.330
14,1748876577.55,108,8.972,0.000,9.525
15,1748876577.65,102,7.656,0.000,8.066
16,1748876577.74,101,6.627,0.000,6.844
17,1748876577.85,97,6.046,0.000,6.041
18,1748876577.94,97,5.288,0.000,5.118
19,1748876578.05,95,5.027,0.000,4.781
20,1748876578.16,82,4.653,0.000,4.717
21,1748876578.27,79,4.311,0.000,4.525
22,1748876578.37,75,3.856,0.000,4.046
23,1748876578.46,71,3.692,0.000,3.770
24,1748876578.55,69,3.267,0.000,3.284
25,1748876578.65,58,3.049,0.000,2.723
26,1748876578.74,53,2.755,0.000,2.364
27,1748876578.83,50,2.607,0.000,2.252
28,1748876578.93,48,2.360,0.000,2.146
29,1748876579.02,47,2.301,0.000,2.177
30,1748876579.12,45,2.072,0.000,2.057
31,1748876579.21,44,2.015,0.000,1.944
32,1748876579.31,41,1.987,0.000,1.798
33,1748876579.40,38,2.001,0.000,1.603
34,1748876579.49,36,1.852,0.000,1.591
35,1748876579.59,32,1.868,0.000,1.615
36,1748876579.68,31,1.794,0.000,1.515
37,1748876579.78,29,1.811,0.000,1.395
38,1748876579.87,28,1.935,0.000,1.555
39,1748876579.96,20,3.121,0.000,1.210
40,1748876580.06,19,4.882,0.000,0.952
