frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
10,1748942433.71,150,0.088,0.035,0.079,0.01,0.00,0.00,-0.94,0.00,0,resume,0.023
11,1748942433.81,150,0.064,0.025,0.057,0.05,0.00,-0.00,-0.94,0.00,0,none,0.012
12,1748942433.91,150,7.153,6.394,5.598,0.26,0.01,0.00,-0.95,0.00,0,none,12.645
13,1748942434.02,130,12.444,9.150,7.871,0.42,0.04,0.00,-0.96,0.00,0,none,11.556
14,1748942434.11,127,10.877,8.269,7.176,0.55,0.08,0.00,-0.98,0.00,0,none,1.169
15,1748942434.19,126,10.933,8.326,7.217,0.69,0.13,0.00,-1.00,0.00,0,none,0.232
16,1748942434.28,125,11.387,8.720,7.678,0.82,0.19,0.00,-1.02,0.00,0,none,0.234
17,1748942434.37,125,7.810,5.530,5.049,0.95,0.28,0.00,-1.03,0.00,0,none,0.247
18,1748942434.46,125,2.897,2.756,2.887,1.07,0.37,0.00,-1.04,0.00,0,none,0.250
19,1748942434.55,125,2.681,2.478,2.754,1.17,0.47,0.00,-1.05,0.00,0,none,0.359
20,1748942434.64,124,3.227,3.001,3.347,1.26,0.57,0.00,-1.05,0.00,0,none,0.294
21,1748942434.72,123,3.324,3.128,3.460,1.34,0.67,0.00,-1.06,0.00,0,none,0.244
22,1748942434.81,123,3.222,3.025,3.351,1.42,0.81,0.00,-1.06,0.00,0,none,0.271
23,1748942434.91,123,2.999,2.779,3.107,1.49,0.95,0.00,-1.06,0.00,0,none,0.264
24,1748942435.00,123,2.750,2.524,2.842,1.56,1.09,0.00,-1.06,0.00,0,none,0.290
25,1748942435.10,123,2.518,2.281,2.604,1.61,1.24,0.00,-1.06,0.00,0,none,0.292
26,1748942435.19,123,2.306,2.051,2.390,1.66,1.39,-0.00,-1.06,0.00,0,none,0.292
27,1748942435.28,123,2.014,1.779,2.134,1.71,1.58,-0.00,-1.06,0.00,0,none,0.319
28,1748942435.39,123,1.813,1.555,1.946,1.74,1.75,-0.00,-1.06,0.00,0,none,0.461
29,1748942435.49,122,1.610,1.326,1.747,1.78,1.93,0.00,-1.06,0.00,0,none,0.389
30,1748942435.60,122,1.498,1.164,1.635,1.81,2.11,0.00,-1.06,0.00,0,none,0.484
31,1748942435.70,122,1.364,1.007,1.528,1.83,2.30,0.00,-1.06,0.00,0,none,0.461
32,1748942435.80,122,1.272,0.871,1.446,1.85,2.50,0.00,-1.06,-0.00,0,none,0.490
33,1748942435.91,122,1.124,0.728,1.325,1.87,2.67,0.00,-1.06,-0.00,0,resume_reinforce,0.448
34,1748942436.00,122,1.050,0.619,1.254,1.88,2.85,0.00,-1.05,-0.00,0,none,0.457
35,1748942436.09,122,0.922,0.503,1.149,1.89,3.02,0.00,-1.05,-0.00,0,none,0.457
36,1748942436.19,122,0.879,0.425,1.098,1.91,3.20,0.00,-1.05,-0.00,0,none,0.517
37,1748942436.28,122,0.815,0.351,1.036,1.91,3.38,0.00,-1.05,-0.00,0,none,0.540
38,1748942436.37,122,0.778,0.299,1.015,1.92,3.57,0.00,-1.05,-0.00,0,none,0.563
39,1748942436.47,122,0.765,0.264,1.020,1.93,3.75,0.00,-1.05,-0.00,0,none,0.579
40,1748942436.57,122,0.743,0.232,1.000,1.94,3.92,0.00,-1.05,-0.00,0,none,0.508
41,1748942436.66,122,0.713,0.202,0.970,1.94,4.12,0.00,-1.05,-0.00,0,none,0.547
42,1748942436.76,121,0.698,0.180,0.963,1.95,4.31,0.00,-1.05,-0.00,0,none,0.597
43,1748942436.86,121,0.685,0.162,0.940,1.95,4.50,0.00,-1.05,-0.00,0,none,0.563
44,1748942436.95,121,0.643,0.141,0.904,1.95,4.68,0.00,-1.05,-0.00,0,none,0.589
45,1748942437.05,119,0.630,0.128,0.891,1.96,4.87,0.00,-1.05,-0.00,0,none,0.531
46,1748942437.14,118,0.595,0.116,0.885,1.96,5.05,0.00,-1.05,-0.00,0,none,0.561
47,1748942437.24,116,0.586,0.108,0.871,1.96,5.25,0.00,-1.05,-0.00,0,none,0.555
48,1748942437.34,116,0.573,0.101,0.882,1.96,5.45,0.00,-1.04,-0.00,0,none,0.621
49,1748942437.44,114,0.525,0.095,0.882,1.97,5.64,0.00,-1.04,-0.00,0,none,0.556
50,1748942437.54,107,0.465,0.092,0.879,1.97,5.84,0.00,-1.04,-0.00,0,none,0.463
51,1748942437.64,103,0.415,0.091,0.868,1.97,6.04,0.00,-1.04,-0.00,0,none,0.471
52,1748942437.74,102,0.354,0.087,0.869,1.97,6.24,0.00,-1.04,-0.00,0,none,0.517
53,1748942437.84,102,0.306,0.084,0.847,1.97,6.42,0.00,-1.04,-0.00,0,none,0.492
54,1748942437.93,101,0.280,0.082,0.821,1.97,6.60,-0.00,-1.04,-0.00,0,resume_reinforce,0.443
55,1748942438.02,101,0.288,0.078,0.800,1.97,6.81,-0.00,-1.04,-0.00,0,none,0.420
56,1748942438.13,101,0.300,0.075,0.791,1.97,6.99,-0.00,-1.04,-0.00,0,none,0.497
57,1748942438.22,101,0.302,0.070,0.763,1.97,7.20,-0.00,-1.04,-0.00,0,none,0.497
58,1748942438.33,101,0.305,0.066,0.738,1.97,7.39,-0.00,-1.04,-0.00,0,none,0.496
59,1748942438.42,99,0.305,0.062,0.720,1.97,7.58,-0.00,-1.04,-0.00,0,none,0.424
60,1748942438.52,98,0.323,0.057,0.736,1.98,7.78,-0.00,-1.04,-0.00,0,none,0.509
61,1748942438.62,96,0.340,0.052,0.746,1.98,7.96,-0.00,-1.04,-0.00,0,none,0.557
62,1748942438.71,92,0.345,0.046,0.737,1.98,8.15,-0.00,-1.04,-0.00,0,none,0.454
63,1748942438.81,83,0.333,0.042,0.695,1.98,8.35,-0.00,-1.04,-0.00,0,none,0.335
64,1748942438.91,81,0.342,0.039,0.666,1.98,8.53,-0.00,-1.04,-0.00,0,none,0.302
65,1748942439.00,79,0.322,0.038,0.616,1.98,8.72,-0.00,-1.04,-0.00,0,none,0.331
66,1748942439.10,79,0.297,0.035,0.544,1.98,8.91,-0.00,-1.04,-0.00,0,none,0.292
67,1748942439.20,79,0.289,0.036,0.506,1.98,9.12,-0.00,-1.04,-0.00,0,none,0.298
68,1748942439.30,78,0.286,0.035,0.502,1.98,9.32,-0.00,-1.04,-0.00,0,none,0.313
69,1748942439.40,76,0.285,0.032,0.495,1.98,9.52,-0.00,-1.04,-0.00,0,none,0.284
70,1748942439.50,76,0.282,0.031,0.493,1.98,9.72,-0.00,-1.04,-0.00,0,none,0.295
71,1748942439.60,76,0.275,0.030,0.498,1.98,9.96,-0.00,-1.04,0.00,0,none,0.305
72,1748942439.73,76,0.286,0.029,0.514,1.98,10.17,-0.00,-1.04,0.00,0,none,0.347
73,1748942439.83,76,0.280,0.029,0.522,1.98,10.36,-0.00,-1.04,0.00,0,none,0.314
74,1748942439.93,76,0.268,0.029,0.536,1.98,10.55,-0.00,-1.04,0.00,0,none,0.297
75,1748942440.02,75,0.252,0.028,0.534,1.98,10.73,-0.00,-1.04,0.00,0,resume_reinforce,0.284
76,1748942440.12,75,0.248,0.029,0.542,1.98,10.91,-0.00,-1.03,0.00,0,none,0.306
77,1748942440.21,74,0.236,0.028,0.545,1.98,11.13,-0.00,-1.03,0.00,0,none,0.320
78,1748942440.32,73,0.241,0.027,0.548,1.98,11.31,-0.00,-1.03,0.00,0,none,0.324
79,1748942440.41,71,0.255,0.029,0.549,1.98,11.50,-0.00,-1.03,-0.00,0,none,0.338
80,1748942440.51,71,0.262,0.028,0.545,1.98,11.70,-0.00,-1.03,-0.00,0,none,0.289
81,1748942440.60,71,0.276,0.028,0.542,1.98,11.88,-0.00,-1.03,-0.00,0,none,0.324
82,1748942440.70,71,0.286,0.028,0.507,1.98,12.09,-0.00,-1.03,-0.00,0,none,0.286
83,1748942440.80,71,0.283,0.029,0.498,1.98,12.29,-0.00,-1.03,-0.00,0,none,0.295
84,1748942440.91,71,0.278,0.028,0.493,1.98,12.49,-0.00,-1.03,-0.00,0,none,0.289
85,1748942441.00,71,0.297,0.029,0.493,1.98,12.69,-0.00,-1.03,-0.00,0,none,0.277
86,1748942441.11,71,0.298,0.029,0.494,1.98,12.88,-0.00,-1.03,-0.00,0,none,0.286
87,1748942441.21,70,0.299,0.030,0.482,1.98,13.09,-0.00,-1.03,0.00,0,none,0.265
88,1748942441.31,68,0.325,0.029,0.465,1.98,13.28,-0.00,-1.03,0.00,0,none,0.286
89,1748942441.41,68,0.327,0.028,0.427,1.98,13.47,-0.00,-1.03,0.00,0,none,0.240
90,1748942441.50,67,0.342,0.030,0.417,1.98,13.66,-0.00,-1.03,-0.00,0,none,0.316
91,1748942441.60,67,0.331,0.029,0.385,1.98,13.84,-0.00,-1.03,-0.00,0,none,0.227
92,1748942441.69,67,0.328,0.029,0.385,1.98,14.03,-0.00,-1.03,-0.00,0,none,0.237
93,1748942441.79,67,0.304,0.027,0.363,1.98,14.21,-0.00,-1.03,-0.00,0,none,0.229
94,1748942441.88,66,0.318,0.027,0.354,1.98,14.40,-0.00,-1.03,-0.00,0,none,0.279
95,1748942441.97,65,0.297,0.025,0.332,1.98,14.61,-0.00,-1.03,-0.00,0,none,0.242
96,1748942442.08,65,0.328,0.026,0.323,1.98,14.82,-0.00,-1.03,-0.00,0,resume_reinforce,0.283
