frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
10,1748941503.63,150,0.082,0.033,0.076,0.01,0.00,0.00,-0.94,0.00,0,nudge,0.022
11,1748941504.73,150,3.283,2.482,2.856,0.36,0.20,0.00,-0.89,-0.00,0,none,2.838
12,1748941504.82,150,2.628,2.095,2.338,0.36,0.24,0.00,-0.88,-0.00,0,none,0.044
13,1748941504.93,149,6.529,2.840,3.958,0.34,0.27,0.00,-0.87,0.00,0,none,6.480
14,1748941505.02,149,5.797,2.850,3.751,0.30,0.31,0.00,-0.87,0.00,0,none,0.322
15,1748941505.12,149,6.135,3.204,4.095,0.25,0.33,0.00,-0.87,0.00,0,none,0.031
16,1748941505.23,149,5.013,2.406,3.154,0.20,0.36,0.00,-0.87,0.00,0,none,0.036
17,1748941505.33,149,4.804,2.203,2.954,0.16,0.37,0.00,-0.86,0.00,0,nudge,0.023
18,1748941506.43,147,7.095,2.372,3.239,0.38,0.63,0.00,-0.81,0.00,0,none,11.455
19,1748941506.52,146,6.717,1.987,2.851,0.38,0.67,0.00,-0.80,0.00,0,none,0.058
20,1748941506.62,143,8.029,2.251,3.681,0.35,0.70,0.00,-0.79,0.00,0,none,4.570
21,1748941506.71,143,8.257,2.468,3.912,0.31,0.73,0.00,-0.79,0.00,0,none,0.277
22,1748941506.80,143,8.457,2.661,4.111,0.27,0.76,0.00,-0.79,0.00,0,none,0.045
23,1748941506.91,143,2.643,1.604,2.190,0.22,0.79,0.00,-0.78,0.00,0,none,0.034
24,1748941507.00,143,2.504,1.468,2.056,0.17,0.80,0.00,-0.78,0.00,0,nudge,0.047
25,1748941508.11,138,1.698,1.980,2.051,0.38,1.07,0.00,-0.72,0.00,0,none,3.484
26,1748941508.20,136,1.492,1.778,1.851,0.38,1.11,0.00,-0.72,0.00,0,none,0.154
27,1748941508.31,135,2.131,2.020,2.449,0.34,1.15,0.00,-0.71,0.00,0,none,2.719
28,1748941508.42,135,2.329,2.199,2.637,0.30,1.18,0.00,-0.71,0.00,0,none,0.167
29,1748941508.51,134,2.429,2.298,2.735,0.24,1.22,0.00,-0.70,0.00,0,none,0.035
30,1748941508.64,134,1.665,1.254,1.649,0.19,1.24,0.00,-0.70,0.00,0,nudge,0.040
31,1748941509.75,127,2.907,2.026,2.615,0.39,1.52,0.00,-0.64,0.00,0,none,3.779
32,1748941509.85,127,2.241,1.755,1.994,0.38,1.56,0.00,-0.63,0.00,0,none,0.108
33,1748941509.96,124,2.609,1.824,2.206,0.34,1.60,0.00,-0.63,0.00,0,none,1.838
34,1748941510.07,124,2.683,1.890,2.273,0.30,1.63,0.00,-0.62,0.00,0,none,0.058
35,1748941510.17,123,2.697,1.910,2.293,0.24,1.67,0.00,-0.62,0.00,0,none,0.032
36,1748941510.30,123,1.324,1.000,1.182,0.19,1.69,0.00,-0.62,0.00,0,nudge,0.056
37,1748941511.40,114,1.981,1.702,1.733,0.38,1.97,0.00,-0.56,0.00,0,none,3.097
38,1748941511.50,112,1.405,1.444,1.321,0.38,2.00,0.00,-0.55,0.00,0,none,0.058
39,1748941511.59,112,1.970,1.584,1.433,0.36,2.04,0.00,-0.55,0.00,0,none,1.994
40,1748941511.69,111,2.092,1.684,1.537,0.31,2.07,0.00,-0.54,0.00,0,none,0.119
41,1748941511.79,111,2.143,1.734,1.581,0.26,2.10,0.00,-0.54,0.00,0,none,0.033
42,1748941511.89,111,1.325,0.867,0.859,0.21,2.12,0.00,-0.54,0.00,0,none,0.044
43,1748941511.99,111,1.239,0.776,0.770,0.16,2.14,0.00,-0.54,0.00,0,nudge,0.027
44,1748941513.11,101,1.451,1.165,1.319,0.38,2.40,0.00,-0.48,0.00,0,none,2.249
45,1748941513.20,101,1.298,1.031,1.182,0.38,2.44,0.00,-0.47,0.00,0,none,0.043
46,1748941513.29,98,1.556,1.204,1.366,0.35,2.47,0.00,-0.47,0.00,0,none,0.688
47,1748941513.39,97,1.681,1.342,1.492,0.31,2.50,0.00,-0.46,0.00,0,none,0.178
48,1748941513.49,97,1.761,1.421,1.566,0.26,2.53,0.00,-0.46,0.00,0,none,0.062
49,1748941513.59,97,0.849,0.723,0.737,0.21,2.56,0.00,-0.46,0.00,0,none,0.142
50,1748941513.69,97,0.795,0.666,0.680,0.16,2.57,0.00,-0.45,0.00,0,nudge,0.028
51,1748941514.80,91,1.199,1.005,1.036,0.38,2.84,0.00,-0.40,0.00,0,none,1.663
52,1748941514.89,89,1.104,0.905,0.952,0.38,2.87,0.00,-0.39,0.00,0,none,0.044
53,1748941514.99,89,1.575,1.046,1.144,0.35,2.91,0.00,-0.38,0.00,0,none,1.228
54,1748941515.09,88,1.620,1.132,1.225,0.31,2.94,0.00,-0.38,0.00,0,none,0.056
55,1748941515.18,88,1.679,1.194,1.284,0.26,2.97,0.00,-0.38,0.00,0,none,0.031
56,1748941515.29,88,0.961,0.619,0.689,0.06,3.03,0.00,-0.37,0.00,0,nudge,0.052
