frame,time,features,flow_left,flow_center,flow_right,speed
2,1748877377.18,150,266.619,293.810,133.818,0.36
3,1748877377.31,134,191.365,207.832,154.657,0.54
4,1748877377.41,131,130.182,141.446,105.360,0.70
5,1748877377.52,130,101.001,109.100,82.460,0.85
6,1748877377.63,129,84.304,90.542,69.600,0.99
7,1748877378.73,124,36.770,38.260,50.496,0.35
8,1748877380.35,123,16.012,17.178,19.223,1.24
9,1748877381.96,124,17.038,17.573,19.699,1.38
10,1748877383.58,123,17.021,16.720,18.010,0.48
11,1748877385.21,121,15.676,14.512,15.216,0.32
12,1748877386.82,120,10.954,8.985,8.458,1.24
13,1748877388.43,124,9.666,6.587,5.418,1.38
14,1748877388.53,120,7.268,4.745,3.902,1.31
15,1748877388.64,117,5.166,3.526,3.619,1.16
16,1748877388.77,116,3.258,2.735,3.205,0.93
17,1748877388.91,116,2.393,1.963,2.554,0.81
18,1748877389.03,116,2.209,1.653,2.210,0.80
19,1748877389.16,112,3.299,1.808,2.393,0.88
20,1748877389.27,111,2.875,1.691,1.885,0.98
21,1748877389.36,111,2.651,1.468,1.532,1.08
22,1748877389.47,111,2.566,1.354,1.338,1.20
23,1748877389.58,111,1.723,0.882,0.988,1.30
24,1748877389.69,110,0.607,0.564,0.605,1.40
25,1748877389.80,110,0.603,0.455,0.438,1.47
26,1748877389.90,108,0.716,0.530,0.473,1.55
27,1748877390.03,107,0.734,0.571,0.517,1.62
28,1748877390.14,107,0.697,0.550,0.507,1.67
29,1748877390.25,107,0.629,0.495,0.464,1.72
30,1748877390.36,107,0.570,0.440,0.422,1.76
31,1748877390.48,107,0.528,0.387,0.391,1.80
32,1748877390.61,107,0.476,0.329,0.362,1.82
33,1748877390.72,107,0.438,0.276,0.338,1.85
34,1748877390.83,107,0.418,0.238,0.332,1.87
35,1748877390.94,106,0.400,0.210,0.327,1.88
36,1748877391.05,106,0.376,0.171,0.312,1.90
37,1748877391.16,106,0.360,0.143,0.302,1.91
38,1748877391.28,104,0.363,0.128,0.310,1.92
39,1748877391.39,104,0.350,0.109,0.300,1.93
40,1748877391.50,104,0.351,0.095,0.302,1.94
41,1748877391.61,104,0.339,0.084,0.311,1.94
42,1748877391.71,104,0.336,0.074,0.314,1.95
43,1748877391.86,104,0.347,0.068,0.334,1.95
44,1748877391.97,104,0.357,0.063,0.347,1.91
45,1748877392.08,96,1.580,0.619,0.820,1.72
46,1748877392.20,93,2.367,1.010,1.178,1.46
47,1748877392.32,87,2.972,1.255,1.537,1.15
48,1748877392.45,86,3.002,1.357,1.568,0.87
49,1748877392.57,86,2.955,1.352,1.531,0.57
50,1748877392.70,86,1.764,0.865,1.093,0.30
51,1748877392.82,86,1.060,0.586,0.804,0.13
52,1748877392.95,86,0.573,0.490,0.654,0.25
53,1748877393.07,85,0.678,0.530,0.762,0.42
54,1748877393.18,85,0.864,0.671,0.950,0.57
55,1748877393.29,84,0.980,0.774,1.059,0.70
56,1748877393.41,82,1.319,0.827,1.164,0.81
57,1748877393.52,82,1.380,0.856,1.099,0.89
58,1748877393.65,79,1.387,0.957,1.090,0.93
59,1748877393.77,78,1.373,0.993,1.149,0.95
60,1748877393.89,75,1.342,0.987,1.206,0.94
61,1748877394.00,75,1.009,0.948,1.097,0.91
62,1748877394.11,73,0.886,0.878,1.011,0.87
63,1748877394.20,73,0.756,0.718,0.895,0.81
64,1748877394.31,72,0.646,0.622,0.702,0.74
65,1748877394.42,72,0.525,0.508,0.508,0.65
66,1748877394.53,72,0.426,0.420,0.424,0.57
67,1748877394.63,72,0.335,0.330,0.333,0.48
68,1748877394.75,72,0.255,0.250,0.252,0.38
69,1748877394.86,72,0.174,0.165,0.176,0.29
70,1748877394.97,72,0.124,0.114,0.127,0.20
71,1748877395.08,72,0.099,0.087,0.103,0.11
72,1748877395.19,72,0.102,0.095,0.110,0.10
73,1748877395.30,72,0.123,0.118,0.131,0.10
74,1748877395.41,72,0.163,0.166,0.172,0.11
75,1748877395.52,72,0.202,0.206,0.210,0.16
76,1748877395.63,72,0.234,0.237,0.240,0.21
77,1748877395.74,72,0.263,0.261,0.263,0.25
78,1748877395.85,72,0.279,0.277,0.280,0.28
79,1748877395.96,72,0.287,0.282,0.287,0.30
80,1748877396.07,72,0.285,0.278,0.283,0.31
81,1748877396.18,72,0.281,0.273,0.280,0.31
82,1748877396.30,72,0.269,0.263,0.269,0.30
83,1748877396.41,72,0.254,0.247,0.255,0.29
84,1748877396.54,72,0.235,0.229,0.236,0.27
85,1748877396.65,72,0.213,0.207,0.214,0.25
86,1748877396.76,72,0.181,0.175,0.182,0.22
87,1748877396.86,72,0.150,0.143,0.149,0.19
88,1748877396.97,72,0.120,0.113,0.118,0.17
89,1748877397.08,72,0.091,0.083,0.089,0.13
90,1748877397.19,72,0.064,0.056,0.062,0.10
91,1748877397.30,72,0.045,0.038,0.045,0.10
92,1748877397.41,72,0.035,0.028,0.036,0.10
93,1748877397.52,72,0.032,0.026,0.033,0.10
94,1748877397.63,72,0.037,0.031,0.038,0.10
95,1748877397.74,72,0.048,0.043,0.050,0.10
96,1748877397.85,72,0.060,0.056,0.061,0.10
97,1748877397.96,72,0.069,0.066,0.070,0.10
98,1748877398.07,72,0.078,0.074,0.078,0.10
99,1748877398.18,72,0.081,0.079,0.083,0.10
100,1748877398.29,72,0.083,0.081,0.084,0.10
101,1748877398.41,72,0.086,0.083,0.086,0.10
102,1748877398.52,72,0.084,0.081,0.084,0.10
103,1748877398.63,72,0.081,0.078,0.081,0.10
104,1748877398.74,72,0.076,0.073,0.076,0.10
105,1748877398.85,72,0.070,0.068,0.071,0.10
106,1748877398.96,72,0.062,0.059,0.064,0.10
107,1748877399.07,72,0.055,0.052,0.056,0.10
108,1748877399.18,72,0.046,0.044,0.048,0.10
109,1748877399.29,72,0.039,0.035,0.040,0.10
110,1748877399.38,72,0.032,0.028,0.032,0.10
111,1748877399.49,72,0.024,0.020,0.024,0.10
112,1748877399.60,72,0.018,0.013,0.017,0.10
113,1748877399.70,72,0.014,0.009,0.013,0.10
114,1748877399.82,72,0.013,0.007,0.012,0.10
115,1748877399.92,72,0.013,0.008,0.012,0.10
116,1748877400.03,72,0.014,0.010,0.015,0.10
117,1748877400.14,72,0.018,0.014,0.018,0.10
118,1748877400.25,72,0.022,0.018,0.021,0.10
119,1748877400.36,72,0.023,0.020,0.024,0.10
120,1748877400.47,72,0.024,0.022,0.026,0.10
121,1748877400.58,72,0.026,0.023,0.026,0.10
122,1748877400.69,72,0.027,0.024,0.027,0.10
123,1748877400.80,72,0.025,0.023,0.028,0.10
124,1748877400.91,72,0.026,0.023,0.026,0.10
125,1748877401.02,72,0.026,0.022,0.026,0.10
126,1748877401.14,72,0.024,0.021,0.025,0.10
127,1748877401.25,72,0.022,0.019,0.022,0.10
128,1748877401.36,72,0.020,0.017,0.019,0.10
129,1748877401.47,72,0.018,0.015,0.017,0.10
130,1748877401.59,72,0.016,0.013,0.014,0.10
131,1748877401.70,72,0.013,0.010,0.011,0.10
132,1748877401.81,72,0.011,0.008,0.010,0.10
133,1748877401.92,72,0.010,0.005,0.008,0.10
134,1748877402.03,72,0.008,0.004,0.007,0.10
135,1748877402.14,72,0.007,0.002,0.006,0.10
136,1748877402.24,72,0.007,0.002,0.006,0.10
137,1748877402.36,72,0.007,0.003,0.007,0.10
138,1748877402.47,72,0.008,0.004,0.007,0.10
139,1748877402.58,72,0.009,0.005,0.008,0.10
140,1748877402.69,72,0.010,0.006,0.008,0.10
141,1748877402.79,72,0.010,0.007,0.008,0.10
142,1748877402.90,72,0.010,0.007,0.009,0.10
143,1748877403.01,72,0.011,0.007,0.009,0.10
144,1748877403.12,72,0.011,0.007,0.009,0.10
145,1748877403.23,72,0.010,0.007,0.010,0.10
146,1748877403.34,72,0.010,0.007,0.010,0.10
147,1748877403.45,72,0.010,0.006,0.010,0.10
148,1748877403.56,72,0.009,0.006,0.009,0.10
149,1748877403.67,72,0.010,0.005,0.009,0.10
150,1748877403.78,72,0.010,0.005,0.008,0.10
151,1748877403.89,72,0.010,0.004,0.007,0.10
152,1748877404.00,72,0.010,0.003,0.006,0.10
153,1748877404.11,72,0.009,0.003,0.005,0.10
154,1748877404.22,72,0.008,0.002,0.005,0.10
155,1748877404.33,72,0.007,0.001,0.005,0.10
156,1748877404.44,72,0.007,0.001,0.005,0.10
157,1748877404.53,72,0.007,0.001,0.005,0.10
158,1748877404.65,72,0.007,0.001,0.004,0.10
159,1748877404.76,72,0.008,0.001,0.005,0.10
160,1748877404.87,72,0.008,0.001,0.005,0.10
161,1748877404.98,72,0.008,0.002,0.004,0.10
162,1748877405.10,72,0.008,0.002,0.005,0.10
163,1748877405.21,72,0.007,0.002,0.005,0.10
164,1748877405.32,72,0.007,0.002,0.006,0.10
165,1748877405.43,72,0.007,0.002,0.005,0.10
166,1748877405.54,72,0.007,0.002,0.005,0.10
167,1748877405.65,72,0.007,0.002,0.005,0.10
168,1748877405.76,72,0.008,0.002,0.004,0.10
169,1748877405.87,72,0.008,0.002,0.004,0.10
170,1748877405.99,72,0.008,0.002,0.004,0.10
171,1748877406.10,72,0.007,0.002,0.004,0.10
172,1748877406.21,72,0.007,0.001,0.004,0.10
173,1748877406.32,72,0.007,0.001,0.004,0.10
174,1748877406.43,72,0.006,0.001,0.004,0.10
175,1748877406.54,72,0.006,0.001,0.004,0.10
176,1748877406.65,72,0.007,0.001,0.003,0.10
