frame,time,features,flow_left,flow_center,flow_right
2,1748876320.23,150,172.741,133.944,208.105
3,1748876320.35,130,130.963,85.527,157.719
4,1748876320.46,124,88.895,59.930,106.828
5,1748876320.57,122,71.328,48.318,85.858
6,1748876320.68,121,61.279,42.149,73.770
7,1748876322.30,112,30.441,18.217,34.544
8,1748876323.90,112,15.775,14.445,15.878
9,1748876325.52,111,17.350,15.615,17.247
10,1748876327.15,112,15.084,13.883,14.007
11,1748876328.77,108,12.534,11.039,9.757
12,1748876330.39,113,10.119,9.183,8.579
13,1748876331.99,110,7.832,6.448,6.478
14,1748876333.61,110,6.204,4.355,4.718
15,1748876333.72,104,4.810,3.495,3.544
16,1748876333.82,102,3.308,3.079,3.340
17,1748876333.93,100,2.261,2.346,2.826
18,1748876334.06,99,1.577,1.688,2.475
19,1748876334.15,97,0.843,1.006,1.995
20,1748876334.26,94,0.892,1.009,1.898
21,1748876334.37,93,0.763,0.798,1.287
22,1748876334.48,93,0.553,0.568,0.728
23,1748876334.59,93,0.429,0.387,0.579
24,1748876334.70,93,0.355,0.336,0.655
25,1748876334.80,93,0.320,0.317,0.857
26,1748876334.90,93,0.356,0.374,1.071
27,1748876335.02,93,0.392,0.419,1.227
28,1748876335.13,93,0.407,0.451,1.427
29,1748876335.26,92,0.436,0.498,1.614
30,1748876335.36,89,0.451,0.511,2.063
31,1748876335.49,86,0.479,0.536,2.421
32,1748876335.61,85,0.496,0.546,2.412
33,1748876335.72,85,0.473,0.503,2.333
34,1748876335.85,83,0.430,0.434,2.504
35,1748876335.96,83,0.394,0.381,2.077
36,1748876336.07,83,0.355,0.321,1.705
37,1748876336.18,80,0.325,0.269,1.922
38,1748876336.29,80,0.319,0.241,1.717
39,1748876336.40,80,0.298,0.200,1.258
40,1748876336.50,80,0.298,0.181,1.080
41,1748876336.63,78,0.303,0.166,0.947
42,1748876336.77,78,0.323,0.161,0.492
43,1748876336.88,78,0.323,0.150,0.389
44,1748876336.99,78,0.496,0.360,1.120
45,1748876337.11,76,0.560,0.437,1.083
46,1748876337.22,76,0.849,0.658,1.105
47,1748876337.33,76,0.899,0.740,1.195
48,1748876337.44,76,0.888,0.735,1.225
49,1748876337.57,76,0.731,0.564,0.435
50,1748876337.70,76,0.748,0.599,0.465
51,1748876337.83,76,0.553,0.510,0.505
52,1748876337.95,76,0.616,0.587,0.531
53,1748876338.08,76,0.765,0.763,0.659
54,1748876338.19,75,0.877,0.880,0.763
55,1748876338.33,75,0.996,0.967,0.796
56,1748876338.45,73,1.034,0.997,0.860
57,1748876338.58,68,1.012,0.976,0.882
58,1748876338.70,68,0.986,0.948,0.903
59,1748876338.83,67,0.949,0.906,0.907
60,1748876338.95,64,0.820,0.803,0.898
61,1748876339.06,64,0.715,0.699,0.796
62,1748876339.19,53,0.635,0.607,0.704
63,1748876339.30,52,0.519,0.489,0.580
64,1748876339.42,52,0.424,0.391,0.479
65,1748876339.54,52,0.324,0.289,0.370
66,1748876339.67,52,0.248,0.206,0.281
67,1748876339.78,52,0.169,0.135,0.193
68,1748876339.89,52,0.132,0.101,0.139
69,1748876340.01,52,0.111,0.089,0.106
70,1748876340.12,52,0.119,0.105,0.104
71,1748876340.23,52,0.140,0.135,0.119
72,1748876340.34,52,0.172,0.172,0.155
73,1748876340.45,52,0.200,0.204,0.192
74,1748876340.57,52,0.220,0.226,0.219
75,1748876340.68,52,0.232,0.239,0.237
76,1748876340.78,52,0.236,0.243,0.245
77,1748876340.90,52,0.248,0.253,0.259
78,1748876341.01,52,0.246,0.247,0.256
79,1748876341.12,52,0.232,0.232,0.244
80,1748876341.23,52,0.221,0.219,0.232
81,1748876341.34,52,0.214,0.210,0.225
