frame,time,features,flow_left,flow_center,flow_right,speed
2,1748959408.46,75,0.178,0.087,0.121,0.07
3,1748959408.59,75,0.274,0.129,0.178,0.05
4,1748959408.70,75,0.251,0.118,0.163,0.03
5,1748959408.80,75,0.200,0.095,0.130,1.84
6,1748959410.92,75,13.954,2.840,17.257,1.85
7,1748959411.04,69,12.606,4.571,16.165,1.80
8,1748959411.14,75,14.061,4.658,15.846,1.79
9,1748959411.25,66,14.194,4.874,15.331,1.79
10,1748959411.37,75,12.029,4.598,11.496,1.81
11,1748959411.48,65,9.762,3.334,9.053,1.83
12,1748959411.60,69,7.828,2.169,7.924,1.85
13,1748959411.72,75,6.415,1.433,6.982,1.87
14,1748959411.84,71,4.703,1.109,5.690,1.88
15,1748959411.96,74,4.166,0.982,4.290,1.90
16,1748959412.07,74,3.147,0.899,3.615,1.91
17,1748959412.18,74,2.549,0.853,3.459,1.92
18,1748959412.29,75,1.934,0.776,3.549,1.93
19,1748959412.40,75,1.708,0.739,3.396,1.93
20,1748959412.50,75,1.719,0.729,3.441,1.94
21,1748959412.62,75,1.803,0.738,3.546,1.95
22,1748959412.72,75,1.785,0.706,3.357,1.95
23,1748959412.82,75,1.796,0.673,3.389,1.95
24,1748959412.93,75,1.775,0.683,3.434,1.96
25,1748959413.03,75,1.870,0.676,3.453,1.96
26,1748959413.13,75,1.992,0.691,3.652,1.96
27,1748959413.24,75,1.895,0.688,3.845,1.97
28,1748959413.34,75,1.795,0.725,4.089,1.97
29,1748959413.46,75,1.783,0.705,3.584,1.97
30,1748959413.57,75,1.654,0.704,2.979,1.97
31,1748959413.68,75,1.525,0.745,2.743,1.97
32,1748959413.80,75,1.421,0.746,2.674,1.97
33,1748959413.90,75,1.320,0.742,2.404,1.97
34,1748959414.01,75,1.242,0.746,2.112,1.97
35,1748959414.11,75,1.267,0.734,2.109,1.97
36,1748959414.22,75,1.335,0.763,1.877,1.97
37,1748959414.32,75,1.445,0.741,1.696,1.97
38,1748959414.44,75,1.484,0.706,1.627,1.98
39,1748959414.54,75,1.494,0.727,1.739,1.98
40,1748959414.65,75,1.444,0.673,1.776,1.98
41,1748959414.76,75,1.500,0.703,1.799,1.98
42,1748959414.87,75,1.690,0.673,1.641,1.98
43,1748959414.98,75,1.805,0.737,1.654,1.98
44,1748959415.09,75,2.031,0.784,1.850,1.98
45,1748959415.20,75,1.991,0.755,1.822,1.98
46,1748959415.30,75,2.047,0.737,1.694,1.98
47,1748959415.42,75,2.280,0.759,1.789,1.98
48,1748959415.54,75,2.191,0.742,1.947,1.98
49,1748959415.66,75,2.330,0.745,1.912,1.98
50,1748959415.77,75,2.339,0.741,1.894,1.98
51,1748959415.88,75,2.140,0.753,1.787,1.98
52,1748959415.98,75,1.846,0.753,1.850,1.98
53,1748959416.10,75,1.779,0.851,1.855,1.98
54,1748959416.20,75,1.682,0.861,1.872,1.98
55,1748959416.31,75,1.720,0.894,2.008,1.98
56,1748959416.42,75,1.780,0.904,2.140,1.98
57,1748959416.52,75,1.816,0.915,2.204,1.98
58,1748959416.63,75,1.882,0.989,2.371,1.98
59,1748959416.74,73,1.965,1.042,2.305,1.98
60,1748959416.84,73,1.919,1.028,1.978,1.98
61,1748959416.95,75,1.925,1.057,1.882,1.98
62,1748959417.07,74,1.833,1.081,1.851,1.98
63,1748959417.18,75,1.795,1.197,1.834,1.98
64,1748959417.28,75,1.722,1.234,1.760,1.98
65,1748959417.39,75,1.689,1.294,1.695,1.98
66,1748959417.49,75,1.755,1.469,1.764,1.98
67,1748959417.60,75,1.782,1.571,1.779,1.98
68,1748959417.70,75,1.845,1.627,1.738,1.98
69,1748959417.81,75,1.909,1.580,1.834,1.98
70,1748959417.92,75,1.960,1.661,1.787,1.98
71,1748959418.02,75,2.062,1.708,1.871,1.98
72,1748959418.13,73,2.069,1.827,1.837,1.98
73,1748959418.24,75,2.119,1.865,1.863,1.98
74,1748959418.34,74,2.071,1.782,1.883,1.98
75,1748959418.45,75,2.138,1.908,2.002,1.98
76,1748959418.55,75,2.170,1.934,2.015,1.98
77,1748959418.67,75,2.336,2.155,2.185,1.98
78,1748959418.79,75,2.414,2.113,2.333,1.98
79,1748959418.89,75,2.488,2.213,2.478,1.98
80,1748959419.00,75,2.509,2.364,2.595,1.98
81,1748959419.11,73,2.560,2.690,2.666,1.98
82,1748959419.23,73,2.725,3.038,2.855,1.98
83,1748959419.34,75,2.685,3.306,2.809,1.98
84,1748959419.45,75,2.678,3.345,2.925,1.98
85,1748959419.56,65,2.926,3.676,3.490,1.98
86,1748959419.66,73,2.926,3.556,3.254,1.98
87,1748959419.78,71,3.052,3.446,3.472,1.98
88,1748959419.89,74,3.252,3.530,3.484,1.98
89,1748959420.00,75,3.511,3.379,3.894,1.98
90,1748959421.12,61,9.665,9.700,12.180,0.55
91,1748959422.23,64,14.631,21.027,33.300,0.12
92,1748959423.34,59,17.962,21.573,25.972,0.06
93,1748959424.45,73,16.226,17.831,19.342,0.05
94,1748959425.55,74,25.451,25.029,24.669,0.36
95,1748959425.64,75,14.269,13.845,14.292,0.36
96,1748959425.76,75,13.910,13.178,14.045,0.33
97,1748959425.87,75,9.914,9.264,10.353,0.29
98,1748959425.97,75,6.331,5.935,7.003,0.24
99,1748959426.06,75,4.000,3.721,4.690,0.26
100,1748959426.17,74,42.809,32.990,34.737,0.38
101,1748959426.27,67,31.687,30.637,30.741,0.54
102,1748959426.37,67,20.061,17.476,18.601,0.68
103,1748959427.47,64,62.794,52.164,40.825,0.28
104,1748959428.56,34,76.162,50.555,50.803,0.07
105,1748959429.66,72,44.342,42.893,51.516,0.04
106,1748959430.75,72,26.504,38.793,50.330,0.05
107,1748959431.85,71,38.546,37.073,48.341,0.05
108,1748959432.95,72,43.598,36.097,44.960,0.05
109,1748959434.06,29,46.195,35.748,39.036,0.04
110,1748959435.15,62,46.849,36.006,36.624,0.05
111,1748959436.25,18,53.578,58.628,38.150,0.05
112,1748959437.34,39,29.256,47.663,36.991,0.08
