frame,time,features,flow_left,flow_center,flow_right,speed
2,1748961165.39,75,0.132,0.056,0.132,0.07
3,1748961165.50,75,0.170,0.076,0.170,0.05
4,1748961165.60,75,0.168,0.076,0.168,0.04
5,1748961165.70,75,0.144,0.066,0.146,1.84
6,1748961167.82,75,3.994,3.947,7.843,1.85
7,1748961167.93,75,6.260,9.488,9.638,1.81
8,1748961168.03,75,8.757,9.149,10.746,1.80
9,1748961169.15,75,7.947,12.551,10.659,0.50
10,1748961170.26,75,6.810,16.428,11.194,0.12
11,1748961171.37,75,6.299,11.063,8.767,0.06
12,1748961172.48,75,4.786,6.300,5.619,0.06
13,1748961173.59,75,3.424,3.569,3.675,0.06
14,1748961174.70,75,2.662,2.130,2.600,0.05
15,1748961174.79,75,1.383,1.087,1.347,0.05
16,1748961174.89,75,6.508,18.148,11.762,0.25
17,1748961176.00,75,18.312,20.086,10.178,0.15
18,1748961176.10,75,9.970,10.470,5.624,0.14
19,1748961177.21,75,8.384,8.657,6.463,0.07
20,1748961178.33,75,6.128,5.165,4.624,0.07
21,1748961179.46,75,4.314,3.019,3.253,0.06
22,1748961180.57,75,3.201,1.862,2.431,0.05
23,1748961181.67,75,2.648,1.263,2.035,0.05
24,1748961181.76,75,1.384,0.654,1.067,0.06
25,1748961181.87,75,9.770,18.637,8.495,0.27
26,1748961182.98,75,20.922,20.886,9.113,0.15
27,1748961185.31,75,15.080,15.743,9.825,0.93
28,1748961186.42,75,13.127,11.322,8.896,0.26
29,1748961186.52,75,6.915,5.889,5.135,0.23
30,1748961186.62,75,3.690,3.110,3.138,0.19
31,1748961186.72,70,17.926,18.826,5.558,0.30
32,1748961189.04,73,23.770,22.390,6.828,0.94
33,1748961191.37,75,19.347,14.291,3.414,0.06
34,1748961193.68,75,9.739,7.206,1.707,0.06
35,1748961193.78,75,5.163,3.785,0.853,0.05
36,1748961193.88,68,20.662,20.705,0.427,0.17
37,1748961196.21,75,22.901,23.040,0.213,0.05
38,1748961198.54,75,11.504,11.569,0.107,0.03
39,1748961200.87,75,5.790,5.817,0.053,0.04
40,1748961200.97,75,3.363,3.197,0.027,0.05
41,1748961201.07,67,19.708,22.246,0.013,0.17
42,1748961203.39,75,23.693,25.099,0.007,0.04
43,1748961205.72,75,11.948,12.639,0.003,0.06
44,1748961208.03,75,6.001,6.345,0.002,0.05
45,1748961208.13,75,3.422,3.409,0.001,0.05
46,1748961208.24,68,18.523,21.950,0.000,0.17
