frame,time,features,flow_left,flow_center,flow_right,speed
2,1748971371.92,75,0.132,0.057,0.128,0.07
3,1748971372.07,75,0.203,0.092,0.201,0.04
4,1748971372.23,75,0.194,0.092,0.198,0.02
5,1748971372.38,75,0.153,0.072,0.164,1.84
6,1748971374.56,75,4.150,3.866,6.550,1.80
7,1748971374.73,75,6.272,12.210,8.819,1.70
8,1748971374.88,75,7.864,16.828,10.890,1.69
9,1748971376.05,75,7.840,16.366,11.337,0.45
10,1748971377.22,75,6.990,17.493,9.912,0.11
11,1748971378.38,75,7.300,11.065,7.780,0.08
12,1748971379.54,75,5.164,6.218,5.087,0.08
13,1748971380.70,75,3.660,3.523,3.432,0.08
14,1748971381.86,75,2.940,2.128,2.608,0.08
15,1748971383.03,75,2.486,1.422,2.139,0.08
16,1748971384.20,75,2.325,1.067,1.886,0.08
17,1748971385.36,75,2.295,0.890,1.803,0.08
18,1748971386.52,75,2.281,0.795,1.749,0.08
19,1748971387.67,75,2.181,0.749,1.694,0.08
20,1748971388.82,75,2.156,0.724,1.668,0.08
21,1748971388.97,75,4.835,10.683,6.533,0.14
22,1748971390.12,75,13.734,13.346,6.648,0.12
23,1748971390.27,75,7.655,7.062,3.869,0.10
24,1748971391.42,75,8.223,5.734,4.989,0.08
