frame,time,features,flow_left,flow_center,flow_right
2,1748875697.58,150,157.310,120.048,181.157
3,1748875697.69,129,115.909,79.701,131.496
4,1748875697.80,122,78.631,55.114,89.483
5,1748875697.93,119,65.074,45.112,73.221
6,1748875699.56,111,55.572,39.139,61.829
7,1748875701.17,114,26.875,18.831,28.631
8,1748875702.79,113,14.144,13.923,14.125
9,1748875704.40,111,14.364,13.750,14.630
10,1748875706.01,115,10.419,11.659,11.082
11,1748875707.62,114,7.611,9.942,9.001
12,1748875709.24,114,5.538,7.211,6.945
13,1748875710.97,117,4.024,5.028,5.989
14,1748875712.67,112,3.534,4.960,5.161
