frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
10,1748941985.37,150,0.082,0.036,0.084,0.01,0.00,0.00,-0.95,0.00,0,nudge,0.024
11,1748941986.49,150,3.232,2.551,2.793,0.36,0.21,-0.00,-0.90,0.00,0,none,2.768
12,1748941986.59,150,3.108,2.639,2.811,0.36,0.24,-0.00,-0.89,0.00,0,none,0.137
13,1748941986.68,150,4.211,3.099,3.541,0.34,0.27,-0.00,-0.88,0.00,0,none,2.753
14,1748941986.78,150,3.973,3.098,3.441,0.30,0.31,-0.00,-0.88,0.00,0,none,0.561
15,1748941986.88,150,4.286,3.422,3.753,0.26,0.33,-0.00,-0.88,0.00,0,none,0.036
16,1748941986.97,150,3.181,2.586,2.827,0.20,0.36,-0.00,-0.87,0.00,0,none,0.037
17,1748941987.08,150,2.681,2.096,2.330,0.15,0.37,-0.00,-0.87,0.00,0,nudge,0.028
18,1748941988.18,150,3.305,2.437,2.796,0.37,0.63,-0.00,-0.82,-0.00,0,none,5.737
19,1748941988.27,146,2.866,1.978,2.347,0.38,0.67,-0.00,-0.81,-0.00,0,none,0.040
20,1748941988.38,144,3.922,2.272,3.076,0.34,0.71,-0.00,-0.80,-0.00,0,none,2.748
21,1748941988.50,144,4.446,2.590,3.415,0.30,0.74,-0.00,-0.80,-0.00,0,none,1.077
22,1748941988.60,144,4.579,2.713,3.534,0.25,0.77,-0.00,-0.79,-0.00,0,none,0.053
23,1748941988.70,144,2.542,1.568,2.022,0.19,0.80,-0.00,-0.79,-0.00,0,nudge,0.079
24,1748941989.82,135,3.819,2.393,3.012,0.38,1.08,-0.00,-0.73,0.00,0,none,3.579
25,1748941989.91,135,2.519,1.859,2.045,0.38,1.12,-0.00,-0.73,0.00,0,none,0.028
26,1748941990.02,134,3.117,1.875,2.394,0.35,1.15,-0.00,-0.72,0.00,0,none,2.481
27,1748941990.12,134,3.203,1.976,2.497,0.31,1.19,-0.00,-0.72,0.00,0,none,0.133
28,1748941990.22,132,3.267,2.042,2.556,0.26,1.22,-0.00,-0.71,0.00,0,none,0.040
29,1748941990.32,132,1.903,1.139,1.490,0.21,1.24,-0.00,-0.71,0.00,0,none,0.041
30,1748941990.42,132,1.845,1.077,1.428,0.16,1.26,-0.00,-0.71,0.00,0,nudge,0.024
31,1748941991.52,124,1.201,1.418,1.253,0.38,1.52,-0.00,-0.65,0.00,0,none,2.595
32,1748941991.62,121,1.049,1.260,1.097,0.38,1.55,-0.00,-0.64,0.00,0,none,0.020
33,1748941991.72,120,1.812,1.523,1.430,0.34,1.59,-0.00,-0.64,0.00,0,none,1.728
34,1748941991.83,120,1.982,1.690,1.596,0.30,1.62,-0.00,-0.63,0.00,0,none,0.174
35,1748941991.93,120,2.077,1.789,1.694,0.25,1.65,-0.00,-0.63,0.00,0,none,0.022
36,1748941992.04,120,1.491,1.001,1.075,0.20,1.68,-0.00,-0.63,0.00,0,nudge,0.026
37,1748941993.15,120,3.038,1.583,1.759,0.39,1.96,0.00,-0.57,0.00,0,none,3.416
38,1748941993.24,118,2.208,1.255,1.360,0.39,2.00,0.00,-0.56,0.00,0,none,0.026
39,1748941993.34,115,2.432,1.354,1.684,0.36,2.04,0.00,-0.56,0.00,0,none,1.709
40,1748941993.44,115,2.503,1.425,1.756,0.32,2.07,0.00,-0.55,0.00,0,none,0.080
41,1748941993.53,115,2.557,1.468,1.797,0.27,2.10,-0.00,-0.55,0.00,0,none,0.076
42,1748941993.63,115,0.933,0.811,1.037,0.21,2.12,-0.00,-0.55,0.00,0,none,0.019
43,1748941993.74,115,0.870,0.745,0.974,0.16,2.14,-0.00,-0.55,0.00,0,nudge,0.032
44,1748941994.84,110,1.600,1.065,1.122,0.38,2.41,-0.00,-0.49,0.00,0,none,2.495
45,1748941994.94,107,1.504,0.968,1.022,0.38,2.44,-0.00,-0.48,0.00,0,none,0.102
46,1748941995.03,105,1.768,1.151,1.281,0.35,2.47,-0.00,-0.47,0.00,0,none,0.815
47,1748941995.13,105,1.895,1.265,1.394,0.31,2.51,-0.00,-0.47,0.00,0,none,0.091
48,1748941995.23,105,1.973,1.345,1.471,0.25,2.54,-0.00,-0.47,0.00,0,none,0.023
49,1748941995.35,105,0.829,0.733,0.810,0.20,2.56,-0.00,-0.47,0.00,0,none,0.021
50,1748941995.45,105,0.748,0.648,0.728,0.15,2.58,-0.00,-0.46,0.00,0,nudge,0.018
51,1748941996.56,97,1.325,1.086,0.968,0.37,2.84,-0.00,-0.41,0.00,0,none,2.216
52,1748941996.65,96,1.220,0.988,0.863,0.37,2.88,-0.00,-0.40,0.00,0,none,0.176
53,1748941996.76,93,1.639,1.170,1.143,0.35,2.91,-0.00,-0.39,0.00,0,none,1.767
54,1748941996.85,91,1.726,1.256,1.228,0.30,2.94,-0.00,-0.39,0.00,0,none,0.019
55,1748941996.97,90,1.795,1.325,1.298,0.25,2.97,-0.00,-0.39,0.00,0,none,0.013
56,1748941997.07,90,0.881,0.635,0.731,0.20,2.99,-0.00,-0.38,0.00,0,nudge,0.021
57,1748941998.17,78,1.697,1.099,1.273,0.39,3.28,-0.00,-0.32,0.00,0,none,2.112
58,1748941998.27,78,1.284,0.925,1.002,0.38,3.33,-0.00,-0.31,0.00,0,none,0.015
59,1748941998.40,77,1.523,1.040,1.162,0.34,3.37,-0.00,-0.31,0.00,0,none,0.468
60,1748941998.50,77,1.551,1.067,1.190,0.30,3.40,-0.00,-0.31,0.00,0,none,0.014
61,1748941998.60,77,1.567,1.089,1.212,0.24,3.43,-0.00,-0.30,0.00,0,none,0.013
62,1748941998.71,77,0.702,0.579,0.633,0.19,3.45,-0.00,-0.30,0.00,0,nudge,0.014
63,1748941999.82,72,1.288,1.027,0.978,0.38,3.73,-0.00,-0.24,0.00,0,none,0.883
64,1748941999.92,72,0.998,0.859,0.766,0.38,3.77,-0.00,-0.24,0.00,0,none,0.016
65,1748942000.02,72,1.049,0.949,0.899,0.35,3.81,-0.00,-0.23,0.00,0,none,0.439
66,1748942000.12,72,1.096,0.996,0.947,0.31,3.84,-0.00,-0.22,0.00,0,none,0.017
67,1748942000.21,72,1.135,1.034,0.986,0.26,3.87,-0.00,-0.22,0.00,0,none,0.012
68,1748942000.31,72,0.473,0.509,0.564,0.21,3.89,-0.00,-0.22,0.00,0,none,0.011
69,1748942000.41,72,0.394,0.434,0.488,0.16,3.91,-0.00,-0.22,0.00,0,nudge,0.009
70,1748942001.52,63,0.541,0.727,0.806,0.38,4.18,-0.00,-0.16,0.00,0,none,1.374
71,1748942001.62,63,0.539,0.721,0.802,0.38,4.21,-0.00,-0.15,0.00,0,none,0.047
72,1748942001.72,62,0.632,0.816,0.903,0.34,4.25,-0.00,-0.15,0.00,0,none,0.078
73,1748942001.83,62,0.707,0.890,0.979,0.28,4.29,-0.00,-0.14,0.00,0,none,0.037
