frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749293188.76,150,0.142,0.075,0.101,5.259,0.00,0.00,-0.95,0.00,0.07,none,1,0,1,20.72,2.04,0.00,9.93,0.019,0.002,0.0,0.101
3,1749293188.81,150,0.141,0.100,0.123,2.830,0.00,0.00,-0.95,0.00,0.08,none,0,0,0,20.78,2.04,0.00,19.51,0.019,0.003,0.0,0.051
4,1749293188.87,150,0.140,0.113,0.147,2.955,0.00,0.00,-0.95,0.00,0.07,none,0,0,0,20.73,2.04,0.00,18.82,0.021,0.003,0.0,0.053
5,1749293188.92,150,0.142,0.116,0.161,3.078,0.00,0.00,-0.94,0.00,0.06,none,0,0,0,20.64,2.03,0.00,19.33,0.022,0.003,0.0,0.052
6,1749293188.97,150,0.153,0.121,0.165,3.039,0.00,0.00,-0.94,0.00,0.05,none,0,0,0,20.53,2.03,0.00,15.84,0.023,0.003,0.0,0.063
7,1749293189.03,150,0.158,0.121,0.164,3.009,0.00,0.00,-0.94,0.00,0.04,none,0,0,0,20.43,2.02,0.00,16.82,0.019,0.003,0.0,0.059
8,1749293189.09,150,0.155,0.119,0.163,2.313,0.00,0.00,-0.93,0.00,0.03,none,0,0,0,20.35,2.02,0.00,17.57,0.020,0.002,0.0,0.057
9,1749293189.15,150,0.154,0.114,0.157,2.466,0.00,0.00,-0.93,0.00,0.03,none,0,0,0,20.27,2.01,0.00,17.27,0.025,0.003,0.0,0.058
10,1749293189.21,150,0.148,0.108,0.151,1.653,0.00,0.00,-0.93,0.00,0.02,none,0,0,0,20.20,2.01,0.00,17.35,0.021,0.002,0.0,0.058
11,1749293189.27,150,0.141,0.103,0.145,1.460,0.00,0.00,-0.93,0.00,0.01,none,0,0,0,20.15,2.01,0.00,16.82,0.024,0.003,0.0,0.059
12,1749293189.33,150,0.135,0.101,0.142,1.158,0.00,0.00,-0.93,0.00,0.01,none,0,0,0,20.10,2.00,0.00,17.64,0.021,0.003,0.0,0.057
