frame,time,features,flow_left,flow_center,flow_right,speed
2,1748972844.51,75,0.034,0.024,0.037,0.05
3,1748972844.56,75,0.054,0.034,0.053,0.08
4,1748972844.61,75,0.091,0.046,0.073,0.08
5,1748972844.67,75,0.094,0.049,0.083,1.84
6,1748972846.71,74,10.094,4.287,11.735,1.84
7,1748972846.76,75,5.283,2.348,6.698,1.86
8,1748972846.81,75,2.869,1.322,4.155,1.86
9,1748972846.87,75,1.668,0.816,2.864,1.87
10,1748972846.92,75,1.073,0.552,2.342,1.88
11,1748972846.97,73,0.724,0.416,1.812,1.89
12,1748972847.02,73,0.556,0.360,1.545,1.89
13,1748972847.07,75,0.490,0.338,1.549,1.90
14,1748972847.12,75,0.466,0.297,1.607,1.90
15,1748972847.17,75,0.456,0.303,1.537,1.91
16,1748972847.22,75,0.456,0.292,1.515,1.91
17,1748972847.27,75,0.438,0.280,1.443,1.92
18,1748972847.32,75,0.458,0.276,1.566,1.92
19,1748972847.37,75,0.511,0.265,1.538,1.93
20,1748972847.42,75,0.508,0.285,1.509,1.93
21,1748972847.47,75,0.535,0.286,1.526,1.93
22,1748972847.52,75,0.561,0.270,1.582,1.94
23,1748972847.57,75,0.572,0.254,1.643,1.94
24,1748972847.62,75,0.574,0.247,1.558,1.94
25,1748972847.67,75,0.646,0.301,1.641,1.95
26,1748972847.72,75,0.632,0.266,1.604,1.95
27,1748972847.78,75,0.622,0.249,1.747,1.95
28,1748972847.83,75,0.666,0.245,1.656,1.95
29,1748972847.88,75,0.674,0.247,1.749,1.95
30,1748972847.93,75,0.675,0.236,1.600,1.96
31,1748972847.98,75,0.697,0.218,1.620,1.96
32,1748972848.03,75,0.717,0.238,1.714,1.96
33,1748972848.08,75,0.734,0.250,1.495,1.96
34,1748972848.13,75,0.763,0.254,1.425,1.96
35,1748972848.18,75,0.725,0.254,1.330,1.96
36,1748972848.23,75,0.799,0.282,1.354,1.96
37,1748972848.28,75,0.769,0.265,1.330,1.96
38,1748972848.33,75,0.734,0.239,1.183,1.97
39,1748972848.38,75,0.743,0.248,1.130,1.97
40,1748972848.43,75,0.778,0.295,1.145,1.97
41,1748972848.48,75,0.784,0.267,1.161,1.97
42,1748972848.53,75,0.774,0.274,0.994,1.97
43,1748972848.58,75,0.783,0.293,1.006,1.97
44,1748972848.63,75,0.796,0.289,0.998,1.97
45,1748972848.69,75,0.773,0.275,0.953,1.97
46,1748972848.74,75,0.805,0.284,0.963,1.97
47,1748972848.79,75,0.839,0.291,0.999,1.97
48,1748972848.84,75,0.831,0.301,1.171,1.97
49,1748972848.89,75,0.840,0.312,1.111,1.97
50,1748972848.94,75,0.861,0.306,1.141,1.97
51,1748972848.99,75,0.836,0.315,1.084,1.97
52,1748972849.04,75,0.797,0.299,1.075,1.97
53,1748972849.10,75,0.813,0.326,1.178,1.97
54,1748972849.15,75,0.777,0.298,1.057,1.97
55,1748972849.20,75,0.762,0.301,0.952,1.97
56,1748972849.25,75,0.740,0.287,0.927,1.97
57,1748972849.30,75,0.760,0.298,0.891,1.97
58,1748972849.35,75,0.787,0.299,0.911,1.97
59,1748972849.40,75,0.814,0.313,0.942,1.97
60,1748972849.45,75,0.826,0.304,0.932,1.98
61,1748972849.50,75,0.790,0.298,0.935,1.98
62,1748972849.55,75,0.707,0.294,0.912,1.98
63,1748972849.60,75,0.753,0.284,0.951,1.98
64,1748972849.65,75,0.752,0.319,0.969,1.98
65,1748972849.70,75,0.711,0.307,1.012,1.98
66,1748972849.75,75,0.707,0.313,1.034,1.98
67,1748972849.80,75,0.660,0.301,0.998,1.98
68,1748972849.85,75,0.625,0.284,0.976,1.98
69,1748972849.90,75,0.634,0.275,0.981,1.98
70,1748972849.96,75,0.697,0.292,1.055,1.98
71,1748972850.01,75,0.711,0.286,1.058,1.98
72,1748972850.06,75,0.695,0.288,1.037,1.98
73,1748972850.11,75,0.703,0.288,1.056,1.98
74,1748972850.16,75,0.689,0.289,1.134,1.98
75,1748972850.21,75,0.705,0.300,1.232,1.98
76,1748972850.26,75,0.701,0.297,1.204,1.98
77,1748972850.31,75,0.737,0.287,1.274,1.98
78,1748972850.36,75,0.698,0.296,1.247,1.98
79,1748972850.41,75,0.756,0.315,1.377,1.98
80,1748972850.46,75,0.710,0.295,1.306,1.98
81,1748972850.51,75,0.725,0.286,1.360,1.98
82,1748972850.56,75,0.762,0.308,1.400,1.98
83,1748972850.61,75,0.731,0.291,1.402,1.98
84,1748972850.66,75,0.773,0.319,1.491,1.98
85,1748972850.71,74,0.764,0.305,1.469,1.98
86,1748972850.76,72,0.821,0.322,1.364,1.98
87,1748972850.81,74,0.783,0.301,1.270,1.98
88,1748972850.86,75,0.794,0.312,1.234,1.98
89,1748972850.91,75,0.807,0.342,1.225,1.98
90,1748972850.97,75,0.777,0.292,1.145,1.98
91,1748972851.02,75,0.791,0.289,1.163,1.98
92,1748972851.07,75,0.792,0.285,1.135,1.98
93,1748972851.12,75,0.814,0.278,1.117,1.98
94,1748972851.17,75,0.821,0.279,1.073,1.98
95,1748972851.22,75,0.826,0.295,1.089,1.98
96,1748972851.27,75,0.840,0.269,1.131,1.98
97,1748972851.32,75,0.839,0.285,1.076,1.98
98,1748972851.37,75,0.846,0.262,1.113,1.98
99,1748972851.42,75,0.894,0.260,1.169,1.98
100,1748972851.47,75,0.905,0.257,1.199,1.98
101,1748972851.52,75,0.885,0.258,1.175,1.98
102,1748972851.57,75,0.882,0.249,1.139,1.98
103,1748972851.62,75,0.861,0.236,1.096,1.98
104,1748972851.67,75,0.847,0.230,1.111,1.98
105,1748972851.72,75,0.851,0.249,1.137,1.98
106,1748972851.77,75,0.854,0.249,1.134,1.98
107,1748972851.83,75,0.861,0.262,1.156,1.98
108,1748972851.88,75,0.905,0.271,1.215,1.98
109,1748972851.93,75,0.869,0.248,1.146,1.98
110,1748972851.98,75,0.947,0.256,1.194,1.98
111,1748972852.03,75,0.912,0.233,1.244,1.98
112,1748972852.08,75,0.933,0.260,1.266,1.98
113,1748972852.13,75,0.945,0.279,1.297,1.98
114,1748972852.18,75,0.939,0.268,1.328,1.98
115,1748972852.23,75,0.975,0.278,1.376,1.98
116,1748972852.28,75,0.891,0.264,1.308,1.98
117,1748972852.33,75,0.888,0.272,1.286,1.98
118,1748972852.38,75,0.949,0.298,1.438,1.98
119,1748972852.43,75,0.908,0.276,1.347,1.98
120,1748972852.48,75,0.940,0.301,1.453,1.98
121,1748972852.53,75,1.005,0.291,1.575,1.98
122,1748972852.58,75,0.949,0.287,1.429,1.98
123,1748972852.64,75,0.915,0.295,1.412,1.98
124,1748972852.69,75,0.871,0.283,1.357,1.98
125,1748972852.74,75,0.874,0.273,1.318,1.98
126,1748972852.79,75,0.917,0.299,1.324,1.98
127,1748972852.84,75,0.836,0.283,1.192,1.98
128,1748972852.89,75,0.807,0.277,1.264,1.98
129,1748972852.94,75,0.809,0.286,1.238,1.98
130,1748972852.99,75,0.754,0.288,1.221,1.98
131,1748972853.04,75,0.730,0.316,1.161,1.98
132,1748972853.09,75,0.703,0.301,1.188,1.98
