frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
2,1748979675.16,75,0.031,0.042,0.049,0.06,0.022,0.022,0.0,0.040
3,1748979675.21,75,0.042,0.050,0.077,0.08,0.024,0.024,0.0,0.040
4,1748979675.26,75,0.074,0.068,0.116,0.08,0.025,0.025,0.0,0.041
5,1748979675.31,75,0.093,0.069,0.132,1.84,0.023,0.023,0.0,2.054
6,1748979677.36,63,54.932,3.293,4.268,1.84,0.020,0.020,0.0,0.037
7,1748979677.41,75,29.357,2.041,3.394,1.86,0.025,0.025,0.0,3.276
8,1748979680.69,74,22.725,12.792,12.661,0.93,0.023,0.023,0.0,2.263
9,1748979682.95,69,17.243,18.339,21.461,0.06,0.021,0.021,0.0,1.044
10,1748979684.00,75,10.585,9.920,11.906,0.01,0.023,0.023,0.0,0.038
11,1748979684.05,75,5.398,5.019,6.012,0.03,0.023,0.023,0.0,0.041
12,1748979684.10,75,2.842,2.562,3.086,0.07,0.025,0.025,0.0,0.039
13,1748979684.15,75,3.847,3.447,4.109,0.09,0.020,0.020,0.0,0.036
14,1748979684.20,75,3.169,2.803,3.386,0.07,0.022,0.022,0.0,0.039
15,1748979684.25,75,2.853,2.466,3.039,0.06,0.026,0.026,0.0,0.043
16,1748979684.30,75,2.475,2.308,2.718,0.04,0.023,0.023,0.0,0.037
17,1748979684.35,75,3.114,2.695,3.265,0.05,0.023,0.023,0.0,0.037
18,1748979684.40,75,2.827,2.420,2.997,0.06,0.022,0.022,0.0,0.035
19,1748979684.45,75,2.107,1.822,2.228,0.09,0.022,0.022,0.0,0.036
20,1748979684.50,75,2.465,2.125,2.679,0.15,0.022,0.022,0.0,0.035
21,1748979684.55,75,3.461,2.926,3.661,0.22,0.024,0.024,0.0,0.037
22,1748979684.60,75,3.353,2.774,3.473,0.28,0.023,0.023,0.0,0.037
23,1748979684.65,75,2.492,2.127,2.540,0.33,0.022,0.022,0.0,0.036
24,1748979684.70,75,2.509,2.087,2.458,0.40,0.022,0.022,0.0,0.036
25,1748979684.76,75,2.102,1.672,1.870,0.48,0.022,0.022,0.0,0.037
26,1748979684.81,75,1.520,1.231,1.681,0.54,0.022,0.022,0.0,0.041
27,1748979684.86,75,0.992,0.790,2.209,0.62,0.030,0.030,0.0,0.046
28,1748979684.91,75,0.843,0.733,2.411,0.68,0.025,0.025,0.0,0.043
29,1748979684.96,75,0.932,0.886,2.665,0.73,0.021,0.021,0.0,0.039
30,1748979685.01,75,1.154,1.057,3.535,0.81,0.024,0.024,0.0,0.042
31,1748979685.06,75,1.376,1.314,4.305,0.88,0.022,0.022,0.0,0.039
32,1748979685.11,75,1.470,1.446,5.480,0.90,0.020,0.020,0.0,0.036
