frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
2,1748979937.47,75,0.038,0.044,0.050,0.07,0.026,0.026,0.0,0.045
3,1748979937.52,75,0.048,0.059,0.084,0.08,0.027,0.027,0.0,0.043
4,1748979937.57,75,0.079,0.069,0.122,0.08,0.030,0.030,0.0,0.044
5,1748979937.62,75,0.101,0.071,0.134,1.84,0.030,0.030,0.0,2.061
6,1748979939.68,63,53.304,3.386,4.315,1.85,0.026,0.026,0.0,0.043
7,1748979939.73,73,28.522,2.080,3.290,1.86,0.025,0.025,0.0,3.277
8,1748979943.01,74,21.116,12.637,13.023,0.93,0.026,0.026,0.0,0.040
9,1748979943.06,75,11.433,6.746,7.638,0.93,0.024,0.024,0.0,0.037
10,1748979943.11,73,7.748,4.217,5.928,0.92,0.025,0.025,0.0,1.045
11,1748979944.15,75,10.926,8.855,13.745,0.26,0.025,0.025,0.0,0.039
12,1748979944.20,75,5.738,4.667,7.592,0.24,0.028,0.028,0.0,0.046
13,1748979944.25,75,3.073,2.578,4.369,0.23,0.029,0.029,0.0,0.044
14,1748979944.30,74,5.526,7.683,10.594,0.21,0.032,0.032,0.0,0.046
15,1748979944.35,75,6.301,6.495,9.369,0.25,0.030,0.030,0.0,0.046
16,1748979944.40,75,6.946,5.938,8.748,0.32,0.033,0.033,0.0,0.051
17,1748979944.46,75,5.250,4.492,6.075,0.39,0.033,0.033,0.0,0.048
18,1748979944.51,75,3.840,3.241,3.936,0.47,0.032,0.032,0.0,0.049
19,1748979944.56,75,2.482,1.972,2.229,0.53,0.025,0.025,0.0,0.037
20,1748979944.61,75,1.594,1.148,1.574,0.61,0.027,0.027,0.0,0.042
21,1748979944.66,75,1.461,1.035,1.986,0.70,0.034,0.034,0.0,0.050
22,1748979944.71,75,1.426,1.084,2.006,0.75,0.028,0.028,0.0,0.042
23,1748979944.76,75,1.591,1.236,2.480,0.82,0.023,0.023,0.0,0.040
24,1748979944.81,75,1.921,1.497,3.002,0.90,0.027,0.027,0.0,0.040
25,1748979944.86,75,2.050,1.704,3.419,0.97,0.030,0.030,0.0,0.044
26,1748979944.91,75,1.961,1.660,3.593,1.02,0.023,0.023,0.0,0.037
27,1748979944.96,75,2.171,1.745,4.082,1.09,0.029,0.029,0.0,0.045
28,1748979945.01,74,2.194,1.805,4.340,1.15,0.026,0.026,0.0,0.041
29,1748979945.06,75,2.171,1.762,4.670,1.20,0.024,0.024,0.0,0.039
30,1748979945.11,75,2.205,1.846,4.816,1.26,0.031,0.031,0.0,0.046
