frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749147965.60,75,0.024,0.022,0.043,1.597,0.00,0.00,-0.96,0.00,0.05,none,1,0,20.52,3.10,0.00,15.43,0.020,0.020,0.0,0.065
3,1749147965.63,75,0.032,0.040,0.053,2.167,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.71,3.14,0.00,19.83,0.022,0.022,0.0,0.050
4,1749147965.68,75,0.048,0.050,0.076,1.915,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.79,3.16,0.00,19.93,0.023,0.023,0.0,0.050
5,1749147965.73,75,0.062,0.056,0.097,2.692,0.00,0.00,-0.94,0.00,0.07,none,0,0,20.74,3.15,0.00,19.96,0.022,0.022,0.0,0.050
6,1749147965.78,75,0.071,0.060,0.107,2.395,0.00,0.00,-0.94,0.00,0.06,none,0,0,20.66,3.13,0.00,19.77,0.021,0.021,0.0,0.051
7,1749147965.83,75,0.079,0.063,0.109,2.295,0.00,0.00,-0.94,0.00,0.05,none,0,0,20.56,3.11,0.00,19.91,0.024,0.024,0.0,0.050
8,1749147965.88,75,0.078,0.065,0.110,1.987,0.00,0.00,-0.94,0.00,0.04,none,0,0,20.48,3.10,0.00,19.92,0.022,0.022,0.0,0.050
9,1749147965.93,75,0.080,0.062,0.109,1.615,0.00,0.00,-0.93,0.00,0.04,none,0,0,20.40,3.08,0.00,19.91,0.022,0.022,0.0,0.050
10,1749147965.98,75,0.075,0.061,0.105,1.233,0.00,0.00,-0.93,0.00,0.03,none,0,0,20.33,3.07,0.00,19.92,0.022,0.022,0.0,0.050
11,1749147966.03,75,0.072,0.058,0.103,1.289,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.26,3.05,0.00,19.81,0.022,0.022,0.0,0.050
12,1749147966.08,75,0.073,0.060,0.103,0.961,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.20,3.04,0.00,19.92,0.021,0.021,0.0,0.050
13,1749147966.13,75,0.072,0.058,0.105,1.412,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.15,3.03,0.00,19.95,0.023,0.023,0.0,0.050
14,1749147966.18,75,0.068,0.053,0.097,0.690,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,3.02,0.00,19.92,0.023,0.023,0.0,0.050
15,1749147966.23,75,0.061,0.048,0.084,0.862,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.08,3.02,0.00,19.78,0.020,0.020,0.0,0.051
16,1749147966.28,75,0.052,0.043,0.073,0.559,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.04,3.01,0.00,19.87,0.020,0.020,0.0,0.050
17,1749147966.33,75,0.041,0.036,0.064,0.363,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.01,3.00,0.00,19.80,0.022,0.022,0.0,0.051
18,1749147966.38,75,0.036,0.031,0.055,0.331,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.01,3.00,0.00,19.89,0.019,0.019,0.0,0.050
19,1749147966.43,75,0.027,0.028,0.047,0.316,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.04,3.01,0.00,19.89,0.021,0.021,0.0,0.050
20,1749147966.48,75,0.025,0.025,0.042,0.356,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.06,3.01,0.00,19.86,0.022,0.022,0.0,0.050
21,1749147966.53,75,0.023,0.023,0.036,0.488,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.07,3.01,0.00,19.96,0.019,0.019,0.0,0.050
22,1749147966.58,75,0.020,0.022,0.035,0.479,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.08,3.02,0.00,19.80,0.020,0.020,0.0,0.051
23,1749147966.63,75,0.020,0.021,0.030,0.547,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.10,3.02,0.00,19.96,0.019,0.019,0.0,0.050
24,1749147966.68,75,0.019,0.020,0.029,0.624,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,3.02,0.00,19.88,0.021,0.021,0.0,0.050
25,1749147966.73,75,0.017,0.019,0.028,0.419,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,3.02,0.00,19.95,0.021,0.021,0.0,0.050
26,1749147966.78,75,0.018,0.020,0.030,1.256,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.96,0.018,0.018,0.0,0.050
27,1749147966.83,75,0.019,0.020,0.031,0.551,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.96,0.019,0.019,0.0,0.050
28,1749147966.89,75,0.019,0.021,0.032,0.500,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.90,0.020,0.020,0.0,0.050
29,1749147966.94,75,0.021,0.022,0.033,0.506,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.90,0.020,0.020,0.0,0.050
30,1749147966.99,75,0.022,0.023,0.035,0.704,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.84,0.022,0.022,0.0,0.050
31,1749147967.04,75,0.022,0.023,0.035,0.526,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.92,0.018,0.018,0.0,0.050
32,1749147967.09,75,0.022,0.023,0.036,0.746,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.85,0.021,0.021,0.0,0.050
33,1749147967.14,75,0.022,0.023,0.037,0.584,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.93,0.020,0.020,0.0,0.050
34,1749147967.19,75,0.022,0.023,0.037,0.570,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.96,0.021,0.021,0.0,0.050
35,1749147967.24,75,0.023,0.024,0.038,0.820,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.80,0.021,0.021,0.0,0.051
36,1749147967.29,75,0.024,0.024,0.037,0.505,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,3.03,0.00,19.92,0.022,0.022,0.0,0.050
37,1749147967.34,75,0.023,0.024,0.036,0.502,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.86,0.025,0.025,0.0,0.050
38,1749147967.39,75,0.025,0.024,0.036,0.672,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.92,0.021,0.021,0.0,0.050
39,1749147967.44,75,0.024,0.024,0.037,0.585,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.95,0.021,0.021,0.0,0.050
40,1749147967.49,75,0.023,0.023,0.036,0.522,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,3.02,0.00,19.94,0.022,0.022,0.0,0.050
41,1749147967.54,75,0.024,0.024,0.036,0.557,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.11,3.02,0.00,19.92,0.020,0.020,0.0,0.050
42,1749147967.59,75,0.024,0.023,0.035,0.517,0.00,0.00,-0.94,0.00,0.01,resume_reinforce,0,0,20.11,3.02,0.00,19.96,0.021,0.021,0.0,0.050
43,1749147967.64,75,0.055,0.046,0.069,5.438,0.00,-0.00,-0.94,-0.00,0.03,none,0,0,20.34,3.07,0.00,19.86,0.020,0.020,0.0,0.050
44,1749147967.69,73,1.316,0.900,1.281,185.044,0.00,-0.00,-0.94,-0.00,0.08,none,0,0,20.48,3.10,0.00,19.86,0.021,0.021,0.0,0.050
45,1749147967.74,74,2.111,1.557,2.248,128.909,0.01,-0.00,-0.94,-0.00,0.18,none,0,0,21.46,3.29,0.00,19.84,0.022,0.022,0.0,0.050
46,1749147967.79,75,2.691,2.030,2.833,90.896,0.02,-0.00,-0.95,-0.00,0.28,none,0,0,22.44,3.49,0.00,19.79,0.019,0.019,0.0,0.051
47,1749147967.84,75,3.105,2.371,3.236,53.973,0.03,-0.00,-0.96,-0.00,0.37,none,0,0,23.46,3.69,0.00,19.91,0.023,0.023,0.0,0.050
48,1749147967.89,75,3.342,2.556,3.486,31.800,0.05,-0.00,-0.97,-0.00,0.46,none,0,0,24.34,3.87,0.00,19.86,0.024,0.024,0.0,0.050
49,1749147967.94,75,3.437,2.619,3.577,11.720,0.07,-0.00,-0.98,-0.00,0.54,none,0,0,25.12,4.02,0.00,19.91,0.021,0.021,0.0,0.050
50,1749147967.99,75,3.494,2.635,3.642,9.606,0.10,-0.00,-0.99,-0.00,0.61,none,0,0,25.92,4.18,0.00,19.79,0.023,0.023,0.0,0.051
51,1749147968.04,75,3.614,2.699,3.789,15.019,0.13,-0.00,-1.00,-0.00,0.69,none,0,0,26.74,4.35,0.00,19.95,0.024,0.024,0.0,0.050
52,1749147968.09,75,3.765,2.796,3.964,20.091,0.16,-0.00,-1.01,-0.00,0.77,none,0,0,27.45,4.49,0.00,19.87,0.023,0.023,0.0,0.050
53,1749147968.14,75,3.937,2.906,4.156,24.693,0.20,-0.00,-1.02,-0.00,0.84,none,0,0,28.19,4.64,0.00,19.90,0.024,0.024,0.0,0.050
54,1749147968.19,75,2.863,2.184,3.157,26.345,0.25,-0.00,-1.03,-0.00,0.91,none,0,0,28.87,4.77,0.00,19.79,0.022,0.022,0.0,0.051
55,1749147968.24,75,2.274,1.676,2.420,26.687,0.29,-0.00,-1.03,-0.00,0.98,none,0,0,29.56,4.91,0.00,19.92,0.021,0.021,0.0,0.050
56,1749147968.29,75,1.922,1.362,2.104,29.018,0.34,-0.00,-1.04,-0.00,1.04,none,0,0,30.19,5.04,0.00,19.88,0.022,0.022,0.0,0.050
57,1749147968.34,75,1.728,1.182,1.970,28.999,0.40,-0.00,-1.05,-0.00,1.10,none,0,0,30.82,5.16,0.00,19.87,0.023,0.023,0.0,0.050
58,1749147968.39,74,1.740,1.160,2.021,27.983,0.45,-0.00,-1.05,-0.00,1.16,none,0,0,31.49,5.30,0.00,19.88,0.026,0.026,0.0,0.050
59,1749147968.44,75,1.880,1.237,2.213,31.073,0.51,-0.00,-1.05,-0.00,1.22,none,0,0,31.99,5.40,0.00,19.79,0.022,0.022,0.0,0.051
60,1749147968.49,75,2.067,1.372,2.438,32.619,0.58,-0.00,-1.06,-0.00,1.27,none,0,0,32.53,5.51,0.00,19.94,0.023,0.023,0.0,0.050
61,1749147968.54,75,2.192,1.440,2.531,30.561,0.64,-0.00,-1.06,-0.00,1.32,none,0,0,32.98,5.60,0.00,19.87,0.022,0.022,0.0,0.050
62,1749147968.60,73,2.493,1.478,2.668,93.291,0.71,-0.00,-1.06,-0.00,1.36,none,0,0,33.48,5.70,0.00,19.83,0.024,0.024,0.0,0.050
63,1749147968.65,73,2.711,1.474,2.674,106.394,0.78,-0.00,-1.06,-0.00,1.41,none,0,0,33.93,5.79,0.00,19.96,0.024,0.024,0.0,0.050
64,1749147968.70,74,2.852,1.459,2.697,43.251,0.85,-0.00,-1.06,-0.00,1.45,none,0,0,34.35,5.87,0.00,19.97,0.023,0.023,0.0,0.050
65,1749147968.75,75,3.003,1.421,2.672,63.827,0.92,-0.00,-1.06,-0.00,1.48,none,0,0,34.71,5.94,0.00,19.88,0.022,0.022,0.0,0.050
66,1749147968.80,71,3.162,1.380,2.618,41.092,1.00,-0.00,-1.06,-0.00,1.52,none,0,0,35.07,6.01,0.00,19.83,0.023,0.023,0.0,0.050
67,1749147968.85,70,3.346,1.327,2.571,39.261,1.08,-0.00,-1.06,-0.00,1.55,none,0,0,35.41,6.08,0.00,19.94,0.022,0.022,0.0,0.050
68,1749147968.90,75,3.580,1.270,2.499,46.880,1.16,-0.00,-1.06,-0.00,1.58,none,0,0,35.71,6.14,0.00,19.94,0.022,0.022,0.0,0.050
69,1749147968.95,74,3.806,1.227,2.452,47.777,1.23,-0.00,-1.06,-0.00,1.61,none,0,0,35.99,6.20,0.00,19.95,0.022,0.022,0.0,0.050
70,1749147969.00,75,4.077,1.174,2.398,50.695,1.31,-0.00,-1.06,-0.00,1.64,none,0,0,36.29,6.26,0.00,19.82,0.024,0.024,0.0,0.050
71,1749147969.05,73,4.326,1.131,2.374,55.762,1.40,-0.00,-1.06,-0.00,1.66,none,0,0,36.53,6.31,0.00,19.95,0.023,0.023,0.0,0.050
72,1749147969.10,75,4.275,1.086,2.270,48.795,1.48,-0.00,-1.06,-0.00,1.68,none,0,0,36.75,6.35,0.00,19.92,0.022,0.022,0.0,0.050
73,1749147969.15,74,4.208,1.056,2.287,43.898,1.57,-0.00,-1.06,-0.00,1.70,none,0,0,36.97,6.39,0.00,19.77,0.023,0.023,0.0,0.051
74,1749147969.20,74,4.266,1.029,2.283,50.681,1.65,-0.00,-1.06,-0.00,1.72,none,0,0,37.17,6.43,0.00,19.76,0.021,0.021,0.0,0.051
75,1749147969.25,75,4.309,1.007,2.352,50.675,1.74,-0.00,-1.06,-0.00,1.74,none,0,0,37.36,6.47,0.00,19.90,0.021,0.021,0.0,0.050
76,1749147969.30,75,4.325,0.965,2.354,47.981,1.83,-0.00,-1.06,-0.00,1.76,none,0,0,37.53,6.51,0.00,19.95,0.022,0.022,0.0,0.050
77,1749147969.35,74,4.429,0.947,2.348,58.057,1.92,-0.00,-1.06,-0.00,1.78,none,0,0,37.69,6.54,0.00,19.77,0.021,0.021,0.0,0.051
78,1749147969.40,74,4.453,0.909,2.332,55.028,2.01,-0.00,-1.06,-0.00,1.79,none,0,0,37.86,6.57,0.00,19.97,0.024,0.024,0.0,0.050
79,1749147969.45,71,4.403,0.896,2.328,42.059,2.10,-0.00,-1.06,-0.00,1.80,none,0,0,38.00,6.60,0.00,19.86,0.023,0.023,0.0,0.050
80,1749147969.50,75,4.256,0.872,2.323,47.363,2.19,-0.00,-1.06,-0.00,1.82,none,0,0,38.10,6.62,0.00,19.97,0.018,0.018,0.0,0.050
