frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749150201.58,75,0.030,0.023,0.044,1.677,0.00,0.00,-0.96,0.00,0.05,none,1,0,20.52,2.03,0.00,15.47,0.020,0.020,0.0,0.065
3,1749150201.61,75,0.032,0.038,0.053,2.074,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.71,2.04,0.00,19.85,0.022,0.022,0.0,0.050
4,1749150201.66,75,0.051,0.050,0.076,1.935,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.78,2.04,0.00,19.86,0.025,0.025,0.0,0.050
5,1749150201.71,75,0.064,0.056,0.097,2.650,0.00,0.00,-0.94,0.00,0.07,none,0,0,20.74,2.04,0.00,19.81,0.024,0.024,0.0,0.050
6,1749150201.76,75,0.073,0.060,0.105,2.345,0.00,0.00,-0.94,0.00,0.06,none,0,0,20.65,2.03,0.00,19.94,0.022,0.022,0.0,0.050
7,1749150201.81,75,0.083,0.064,0.110,2.355,0.00,0.00,-0.94,0.00,0.05,none,0,0,20.56,2.03,0.00,19.98,0.024,0.024,0.0,0.050
8,1749150201.86,75,0.081,0.065,0.109,1.881,0.00,0.00,-0.94,0.00,0.05,none,0,0,20.48,2.02,0.00,19.93,0.023,0.023,0.0,0.050
9,1749150201.91,75,0.082,0.063,0.107,1.664,0.00,0.00,-0.93,0.00,0.04,none,0,0,20.40,2.02,0.00,19.87,0.020,0.020,0.0,0.050
10,1749150201.96,75,0.078,0.061,0.104,1.183,0.00,0.00,-0.93,0.00,0.03,none,0,0,20.33,2.02,0.00,19.97,0.023,0.023,0.0,0.050
11,1749150202.01,75,0.074,0.059,0.102,1.317,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.26,2.01,0.00,19.82,0.022,0.022,0.0,0.050
12,1749150202.06,75,0.075,0.060,0.102,0.951,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.21,2.01,0.00,19.70,0.022,0.022,0.0,0.051
13,1749150202.11,75,0.074,0.058,0.104,1.173,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.14,2.01,0.00,19.89,0.033,0.033,0.0,0.050
14,1749150202.16,75,0.069,0.053,0.096,0.973,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,2.01,0.00,19.88,0.020,0.020,0.0,0.050
15,1749150202.22,75,0.061,0.048,0.083,0.613,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.08,2.00,0.00,19.84,0.021,0.021,0.0,0.050
16,1749150202.27,75,0.052,0.043,0.073,0.520,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.04,2.00,0.00,19.90,0.023,0.023,0.0,0.050
17,1749150202.32,75,0.040,0.036,0.063,0.403,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.01,2.00,0.00,19.89,0.020,0.020,0.0,0.050
18,1749150202.37,75,0.035,0.031,0.054,0.313,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.01,2.00,0.00,19.82,0.020,0.020,0.0,0.050
19,1749150202.42,75,0.027,0.028,0.047,0.318,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.04,2.00,0.00,19.90,0.022,0.022,0.0,0.050
20,1749150202.47,75,0.024,0.024,0.042,0.361,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.06,2.00,0.00,19.87,0.021,0.021,0.0,0.050
21,1749150202.52,75,0.021,0.023,0.036,0.474,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.07,2.00,0.00,19.81,0.022,0.022,0.0,0.050
22,1749150202.57,75,0.019,0.022,0.035,0.457,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.09,2.00,0.00,19.87,0.024,0.024,0.0,0.050
23,1749150202.62,75,0.019,0.021,0.030,0.556,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.10,2.00,0.00,19.75,0.022,0.022,0.0,0.051
24,1749150202.67,75,0.018,0.021,0.030,0.567,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,2.01,0.00,19.94,0.024,0.024,0.0,0.050
25,1749150202.72,75,0.017,0.020,0.028,0.393,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,2.01,0.00,19.91,0.023,0.023,0.0,0.050
26,1749150202.77,75,0.017,0.020,0.030,1.321,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,2.01,0.00,19.94,0.024,0.024,0.0,0.050
27,1749150202.82,75,0.019,0.020,0.031,0.724,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,2.01,0.00,19.84,0.022,0.022,0.0,0.050
28,1749150202.87,75,0.020,0.021,0.033,0.551,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,2.01,0.00,19.91,0.021,0.021,0.0,0.050
29,1749150202.92,75,0.020,0.021,0.033,0.456,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,2.01,0.00,19.85,0.022,0.022,0.0,0.050
30,1749150202.97,75,0.022,0.023,0.035,0.752,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,2.01,0.00,19.79,0.019,0.019,0.0,0.051
31,1749150203.02,75,0.022,0.023,0.036,0.522,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,2.01,0.00,19.91,0.020,0.020,0.0,0.050
32,1749150203.07,75,0.022,0.023,0.037,0.807,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,2.01,0.00,19.78,0.021,0.021,0.0,0.051
33,1749150203.12,75,0.022,0.023,0.037,0.530,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,2.01,0.00,19.80,0.025,0.025,0.0,0.051
34,1749150203.17,75,0.021,0.023,0.037,0.532,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,2.01,0.00,19.97,0.021,0.021,0.0,0.050
35,1749150203.22,75,0.023,0.024,0.038,0.830,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,2.01,0.00,19.92,0.020,0.020,0.0,0.050
36,1749150203.27,75,0.024,0.024,0.038,0.580,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.13,2.01,0.00,19.92,0.024,0.024,0.0,0.050
37,1749150203.32,75,0.023,0.024,0.037,0.572,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,2.01,0.00,19.94,0.021,0.021,0.0,0.050
38,1749150203.37,75,0.024,0.025,0.037,0.599,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,2.01,0.00,19.86,0.021,0.021,0.0,0.050
39,1749150203.42,75,0.024,0.025,0.038,0.619,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,2.01,0.00,19.97,0.023,0.023,0.0,0.050
40,1749150203.47,75,0.023,0.024,0.037,0.527,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.12,2.01,0.00,19.86,0.021,0.021,0.0,0.050
41,1749150203.52,75,0.024,0.024,0.036,0.561,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.11,2.01,0.00,19.88,0.021,0.021,0.0,0.050
42,1749150203.57,75,0.025,0.023,0.036,0.533,0.00,0.00,-0.94,0.00,0.00,resume_reinforce,0,0,20.11,2.01,0.00,19.91,0.020,0.020,0.0,0.050
43,1749150203.62,75,0.103,0.085,0.115,12.136,0.00,-0.00,-0.94,0.00,0.03,none,0,0,20.35,2.02,0.00,19.91,0.023,0.023,0.0,0.050
44,1749150203.67,74,1.278,0.883,1.422,197.999,0.00,-0.00,-0.94,0.00,0.08,none,0,0,20.53,2.03,0.00,19.92,0.021,0.021,0.0,0.050
45,1749150203.72,74,2.073,1.540,2.383,131.964,0.01,-0.00,-0.94,0.00,0.18,none,0,0,21.53,2.08,0.00,19.97,0.022,0.022,0.0,0.050
46,1749150203.77,75,2.654,2.013,2.968,87.470,0.02,-0.00,-0.95,0.00,0.28,none,0,0,22.50,2.13,0.00,19.90,0.021,0.021,0.0,0.050
47,1749150203.82,75,3.080,2.368,3.386,58.757,0.03,-0.00,-0.96,0.00,0.37,none,0,0,23.46,2.17,0.00,19.97,0.022,0.022,0.0,0.050
48,1749150203.87,75,3.299,2.531,3.579,29.680,0.05,-0.00,-0.97,0.00,0.46,none,0,0,24.29,2.21,0.00,19.80,0.020,0.020,0.0,0.051
49,1749150203.93,75,3.407,2.607,3.690,12.257,0.07,-0.00,-0.98,0.00,0.54,none,0,0,25.17,2.26,0.00,19.92,0.023,0.023,0.0,0.050
50,1749150203.98,75,3.467,2.623,3.759,10.389,0.10,-0.00,-0.99,0.00,0.61,none,0,0,25.92,2.30,0.00,19.91,0.024,0.024,0.0,0.050
51,1749150204.03,75,3.586,2.687,3.906,15.997,0.13,-0.00,-1.00,0.00,0.69,none,0,0,26.70,2.33,0.00,19.93,0.023,0.023,0.0,0.050
