frame,time,features,flow_left,flow_center,flow_right,speed,simgetimage_s,decode_s,processing_s,loop_s
75,1748977578.54,73,1.822,0.707,1.769,1.77,0.022,0.022,0.000,0.036
76,1748977578.59,74,1.708,0.737,1.697,1.79,0.024,0.024,0.000,0.037
77,1748977578.64,74,1.602,0.749,1.693,1.80,0.021,0.021,0.000,1.043
78,1748977579.68,70,8.400,13.298,7.983,0.57,0.020,0.020,0.000,1.041
79,1748977580.72,73,11.458,11.107,8.815,0.12,0.020,0.020,0.000,1.041
80,1748977581.77,75,8.433,7.047,6.010,0.03,0.021,0.021,0.000,1.041
81,1748977582.81,75,4.818,3.914,3.409,0.01,0.020,0.020,0.000,0.033
82,1748977582.86,75,2.580,2.113,1.878,0.01,0.021,0.021,0.000,0.033
83,1748977582.91,72,5.301,9.123,4.745,0.11,0.026,0.026,0.000,1.048
84,1748977583.96,74,7.110,10.786,7.847,0.09,0.020,0.020,0.000,0.033
85,1748977584.01,75,3.681,5.457,4.033,0.09,0.024,0.024,0.000,0.039
86,1748977584.06,75,1.985,2.844,2.164,0.11,0.025,0.025,0.000,0.048
87,1748977584.11,70,4.635,5.179,6.337,0.13,0.027,0.027,0.000,1.051
88,1748977585.16,73,6.124,7.411,7.361,0.11,0.021,0.021,0.000,1.044
89,1748977586.20,75,4.733,4.887,5.171,0.03,0.022,0.022,0.000,0.036
90,1748977586.25,75,2.446,2.512,2.661,0.03,0.021,0.021,0.000,0.033
91,1748977586.31,74,4.691,7.413,5.696,0.10,0.021,0.021,0.000,0.034
92,1748977586.36,74,5.008,7.402,5.561,0.21,0.022,0.022,0.000,0.035
93,1748977586.41,75,4.830,6.094,5.104,0.31,0.023,0.023,0.000,0.035
94,1748977586.46,75,4.696,4.619,4.439,0.40,0.020,0.020,0.000,0.034
95,1748977586.51,75,3.720,3.231,3.344,0.47,0.018,0.018,0.000,0.030
96,1748977586.56,75,2.570,2.068,2.255,0.55,0.022,0.022,0.000,0.034
97,1748977586.61,75,1.391,1.138,1.249,0.62,0.022,0.022,0.000,0.035
98,1748977586.66,75,1.154,0.987,1.009,0.70,0.023,0.023,0.000,0.036
99,1748977586.71,75,1.264,0.994,1.040,0.77,0.021,0.021,0.000,0.035
100,1748977586.76,75,1.563,1.174,1.196,0.84,0.024,0.024,0.000,0.035
101,1748977586.81,75,1.792,1.320,1.368,0.91,0.024,0.024,0.000,0.036
102,1748977586.86,74,1.971,1.437,1.522,0.98,0.025,0.025,0.000,0.037
103,1748977586.91,75,2.064,1.623,1.662,1.04,0.023,0.023,0.000,0.036
104,1748977586.96,74,2.007,1.597,1.667,1.10,0.022,0.022,0.000,0.033
105,1748977587.01,75,2.053,1.699,1.776,1.16,0.021,0.021,0.000,0.033
106,1748977587.06,75,2.104,1.707,1.837,1.21,0.023,0.023,0.000,0.034
107,1748977587.11,75,2.087,1.631,1.793,1.27,0.023,0.023,0.000,0.036
108,1748977587.16,75,2.024,1.679,1.733,1.32,0.024,0.024,0.000,0.038
109,1748977587.21,75,1.960,1.606,1.728,1.36,0.025,0.025,0.000,0.038
110,1748977587.27,75,1.791,1.473,1.645,1.40,0.021,0.021,0.000,0.035
111,1748977587.32,74,1.672,1.427,1.586,1.44,0.020,0.020,0.000,0.032
112,1748977587.37,75,1.646,1.415,1.598,1.48,0.023,0.023,0.000,1.044
113,1748977588.41,74,5.161,10.385,8.997,0.50,0.023,0.023,0.000,1.041
114,1748977589.45,75,5.132,9.436,8.080,0.11,0.021,0.021,0.000,1.041
115,1748977590.49,74,4.398,6.003,5.693,0.02,0.022,0.022,0.000,1.042
116,1748977591.53,75,2.635,3.338,3.223,0.01,0.019,0.019,0.000,0.030
117,1748977591.58,75,1.513,1.825,1.797,0.01,0.020,0.020,0.000,0.033
118,1748977591.64,73,3.531,6.553,4.868,0.11,0.020,0.020,0.000,0.032
119,1748977591.69,75,3.184,6.610,4.778,0.22,0.020,0.020,0.000,1.040
120,1748977592.73,74,4.436,9.116,6.531,0.12,0.020,0.020,0.000,1.041
121,1748977593.77,73,4.213,5.912,5.031,0.03,0.020,0.020,0.000,1.041
122,1748977594.81,75,2.537,3.263,2.909,0.01,0.023,0.023,0.000,0.037
123,1748977594.86,75,1.343,1.687,1.515,0.01,0.023,0.023,0.000,0.035
124,1748977594.91,75,3.933,4.647,4.673,0.10,0.023,0.023,0.000,1.042
125,1748977595.95,75,4.047,7.497,5.100,0.08,0.020,0.020,0.000,1.041
126,1748977596.99,75,3.325,4.736,3.853,0.02,0.022,0.022,0.000,1.041
127,1748977598.03,75,2.865,2.615,2.245,0.01,0.020,0.020,0.000,0.033
128,1748977598.09,75,1.608,1.482,1.342,0.01,0.019,0.019,0.000,0.033
129,1748977598.14,75,4.192,5.160,4.152,0.10,0.020,0.020,0.000,1.043
130,1748977599.18,75,4.919,6.747,5.920,0.08,0.020,0.020,0.000,1.042
131,1748977600.22,75,3.724,4.190,4.200,0.02,0.019,0.019,0.000,1.038
132,1748977601.26,75,2.173,2.376,2.389,0.01,0.021,0.021,0.000,0.032
133,1748977601.31,75,1.484,1.544,1.585,0.01,0.023,0.023,0.000,1.044
134,1748977602.35,75,1.817,2.031,2.003,0.05,0.020,0.020,0.000,1.041
135,1748977603.40,75,1.768,1.542,1.751,0.01,0.023,0.023,0.000,1.041
136,1748977604.44,75,1.049,0.934,1.054,0.00,0.022,0.022,0.000,0.035
137,1748977604.49,75,0.666,0.659,0.698,0.01,0.023,0.023,0.000,0.036
138,1748977604.54,74,2.706,4.940,4.455,0.09,0.020,0.020,0.000,1.039
139,1748977605.58,75,3.495,8.383,5.492,0.08,0.019,0.019,0.000,1.041
140,1748977606.62,75,2.888,5.102,3.957,0.02,0.019,0.019,0.000,1.038
141,1748977607.66,75,1.725,2.806,2.270,0.00,0.021,0.021,0.000,0.035
142,1748977607.71,75,1.022,1.588,1.317,0.01,0.021,0.021,0.000,0.034
143,1748977607.76,74,3.384,5.623,4.279,0.11,0.020,0.020,0.000,1.042
144,1748977608.80,75,3.872,8.665,5.287,0.09,0.022,0.022,0.000,1.041
145,1748977609.84,75,3.149,5.212,3.921,0.02,0.021,0.021,0.000,1.041
