frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749151605.40,75,0.038,0.031,0.051,1.425,0.00,0.00,-0.97,0.00,0.06,none,1,0,20.57,2.03,0.00,14.22,0.022,0.022,0.0,0.070
3,1749151605.43,75,0.047,0.037,0.058,1.709,0.00,0.00,-0.96,0.00,0.08,none,0,0,20.74,2.04,0.00,19.89,0.022,0.022,0.0,0.050
4,1749151605.49,75,0.065,0.048,0.091,2.641,0.00,0.00,-0.96,0.00,0.08,none,0,0,20.78,2.04,0.00,19.89,0.020,0.020,0.0,0.050
5,1749151605.54,75,0.079,0.056,0.105,2.128,0.00,0.00,-0.95,0.00,0.07,none,0,0,20.73,2.04,0.00,19.94,0.025,0.025,0.0,0.050
6,1749151605.59,75,0.079,0.062,0.112,2.464,0.00,0.00,-0.95,0.00,0.06,none,0,0,20.65,2.03,0.00,19.87,0.022,0.022,0.0,0.050
7,1749151605.64,75,0.080,0.062,0.117,1.826,0.00,0.00,-0.95,0.00,0.05,none,0,0,20.53,2.03,0.00,19.98,0.034,0.034,0.0,0.050
8,1749151605.69,75,0.080,0.061,0.116,2.284,0.00,0.00,-0.95,0.00,0.04,none,0,0,20.47,2.02,0.00,19.92,0.022,0.022,0.0,0.050
9,1749151605.74,75,0.079,0.060,0.114,1.520,0.00,0.00,-0.94,0.00,0.04,none,0,0,20.39,2.02,0.00,19.97,0.024,0.024,0.0,0.050
10,1749151605.79,75,0.076,0.060,0.107,1.410,0.00,0.00,-0.94,0.00,0.03,none,0,0,20.32,2.02,0.00,19.87,0.021,0.021,0.0,0.050
11,1749151605.84,75,0.076,0.059,0.104,1.574,0.00,0.00,-0.94,0.00,0.02,none,0,0,20.25,2.01,0.00,19.83,0.024,0.024,0.0,0.050
12,1749151605.89,75,0.076,0.060,0.105,1.210,0.00,0.00,-0.94,0.00,0.02,none,0,0,20.20,2.01,0.00,19.95,0.022,0.022,0.0,0.050
13,1749151605.94,75,0.075,0.060,0.104,1.213,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.15,2.01,0.00,19.97,0.025,0.025,0.0,0.050
14,1749151605.99,75,0.068,0.055,0.092,0.578,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.11,2.01,0.00,19.90,0.023,0.023,0.0,0.050
15,1749151606.04,75,0.058,0.048,0.082,0.591,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.07,2.00,0.00,19.89,0.024,0.024,0.0,0.050
16,1749151606.09,75,0.052,0.042,0.071,0.493,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.04,2.00,0.00,19.97,0.023,0.023,0.0,0.050
17,1749151606.14,75,0.045,0.038,0.059,0.387,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.01,2.00,0.00,19.91,0.024,0.024,0.0,0.050
18,1749151606.19,75,0.039,0.034,0.050,0.309,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.02,2.00,0.00,19.83,0.022,0.022,0.0,0.050
19,1749151606.24,75,0.032,0.030,0.042,0.375,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.04,2.00,0.00,19.97,0.023,0.023,0.0,0.050
20,1749151606.29,75,0.029,0.026,0.039,0.305,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.06,2.00,0.00,19.95,0.022,0.022,0.0,0.050
21,1749151606.34,75,0.023,0.022,0.035,0.519,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.07,2.00,0.00,19.71,0.020,0.020,0.0,0.051
22,1749151606.39,75,0.021,0.021,0.031,0.440,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.09,2.00,0.00,19.83,0.022,0.022,0.0,0.050
23,1749151606.44,75,0.018,0.019,0.029,0.419,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.10,2.00,0.00,19.93,0.020,0.020,0.0,0.050
