frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749150288.69,75,0.033,0.027,0.045,1.327,0.00,0.00,-0.97,0.00,0.05,none,1,0,20.52,2.03,0.00,15.36,0.022,0.022,0.0,0.065
3,1749150288.73,75,0.042,0.034,0.052,1.630,0.00,0.00,-0.96,0.00,0.08,none,0,0,20.71,2.04,0.00,19.89,0.022,0.022,0.0,0.050
4,1749150288.78,75,0.062,0.047,0.086,2.518,0.00,0.00,-0.96,0.00,0.08,none,0,0,20.79,2.04,0.00,19.93,0.021,0.021,0.0,0.050
5,1749150288.83,75,0.073,0.055,0.099,2.301,0.00,0.00,-0.95,0.00,0.07,none,0,0,20.74,2.04,0.00,19.86,0.020,0.020,0.0,0.050
6,1749150288.88,75,0.077,0.061,0.107,2.206,0.00,0.00,-0.95,0.00,0.06,none,0,0,20.66,2.03,0.00,19.91,0.021,0.021,0.0,0.050
7,1749150288.93,75,0.079,0.063,0.115,2.474,0.00,0.00,-0.95,0.00,0.05,none,0,0,20.57,2.03,0.00,19.86,0.020,0.020,0.0,0.050
8,1749150288.98,75,0.079,0.062,0.114,1.688,0.00,0.00,-0.95,0.00,0.04,none,0,0,20.48,2.02,0.00,19.88,0.023,0.023,0.0,0.050
9,1749150289.03,75,0.079,0.061,0.112,1.561,0.00,0.00,-0.94,0.00,0.04,none,0,0,20.40,2.02,0.00,19.83,0.022,0.022,0.0,0.050
10,1749150289.08,75,0.076,0.061,0.106,1.490,0.00,0.00,-0.94,0.00,0.03,none,0,0,20.33,2.02,0.00,19.90,0.019,0.019,0.0,0.050
11,1749150289.13,75,0.076,0.060,0.103,1.604,0.00,0.00,-0.94,0.00,0.02,none,0,0,20.26,2.01,0.00,19.85,0.023,0.023,0.0,0.050
12,1749150289.18,75,0.077,0.063,0.105,1.500,0.00,0.00,-0.94,0.00,0.02,none,0,0,20.20,2.01,0.00,19.96,0.024,0.024,0.0,0.050
13,1749150289.23,75,0.076,0.062,0.104,0.730,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.15,2.01,0.00,19.87,0.022,0.022,0.0,0.050
14,1749150289.28,75,0.069,0.057,0.093,0.651,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.11,2.01,0.00,19.93,0.022,0.022,0.0,0.050
15,1749150289.33,75,0.060,0.051,0.084,0.692,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.07,2.00,0.00,19.78,0.023,0.023,0.0,0.051
16,1749150289.38,75,0.053,0.045,0.072,0.437,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.04,2.00,0.00,19.97,0.020,0.020,0.0,0.050
17,1749150289.43,75,0.046,0.039,0.060,0.495,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.01,2.00,0.00,19.83,0.020,0.020,0.0,0.050
18,1749150289.48,75,0.040,0.034,0.051,0.313,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.01,2.00,0.00,19.97,0.023,0.023,0.0,0.050
19,1749150289.53,75,0.033,0.031,0.044,0.413,0.00,0.00,-0.94,0.00,0.00,none,0,0,20.04,2.00,0.00,19.98,0.022,0.022,0.0,0.050
20,1749150289.58,75,0.029,0.026,0.040,0.467,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.05,2.00,0.00,19.96,0.022,0.022,0.0,0.050
21,1749150289.63,75,0.023,0.023,0.036,0.477,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.07,2.00,0.00,19.77,0.022,0.022,0.0,0.051
22,1749150289.68,75,0.021,0.020,0.032,0.430,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.09,2.00,0.00,19.79,0.026,0.026,0.0,0.051
23,1749150289.73,75,0.019,0.018,0.030,0.588,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.10,2.00,0.00,19.82,0.021,0.021,0.0,0.050
24,1749150289.78,75,0.018,0.018,0.029,0.384,0.00,0.00,-0.94,0.00,0.01,none,0,0,20.10,2.01,0.00,19.90,0.022,0.022,0.0,0.050
