frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749122654.92,75,0.044,0.023,0.046,1.929,0.00,0.00,-0.96,0.00,0.06,none,1,20.59,3.12,0.00,13.43,0.019,0.019,0.0,0.074
3,1749122654.95,75,0.043,0.041,0.057,2.260,0.00,0.00,-0.95,0.00,0.08,none,0,20.74,3.15,0.00,19.90,0.020,0.020,0.0,0.050
4,1749122655.00,75,0.058,0.053,0.082,2.046,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.89,0.020,0.020,0.0,0.050
5,1749122655.05,75,0.068,0.059,0.100,2.373,0.00,0.00,-0.94,0.00,0.07,none,0,20.73,3.15,0.00,19.90,0.022,0.022,0.0,0.050
6,1749122655.10,75,0.075,0.059,0.111,2.463,0.00,0.00,-0.94,0.00,0.06,none,0,20.64,3.13,0.00,19.87,0.019,0.019,0.0,0.050
7,1749122655.15,75,0.082,0.065,0.111,2.283,0.00,0.00,-0.94,0.00,0.05,none,0,20.55,3.11,0.00,19.78,0.022,0.022,0.0,0.051
8,1749122655.20,75,0.081,0.068,0.111,1.808,0.00,0.00,-0.94,0.00,0.04,none,0,20.45,3.09,0.00,19.97,0.026,0.026,0.0,0.050
9,1749122655.25,75,0.079,0.064,0.110,1.442,0.00,0.00,-0.93,0.00,0.04,none,0,20.38,3.08,0.00,19.82,0.024,0.024,0.0,0.050
10,1749122655.30,75,0.076,0.062,0.106,1.329,0.00,0.00,-0.93,0.00,0.03,none,0,20.31,3.06,0.00,19.85,0.024,0.024,0.0,0.050
11,1749122655.35,75,0.072,0.060,0.103,1.338,0.00,0.00,-0.93,0.00,0.02,none,0,20.25,3.05,0.00,19.97,0.020,0.020,0.0,0.050
12,1749122655.40,75,0.072,0.061,0.104,0.918,0.00,0.00,-0.93,0.00,0.02,none,0,20.20,3.04,0.00,19.82,0.023,0.023,0.0,0.050
13,1749122655.45,75,0.071,0.058,0.102,0.811,0.00,0.00,-0.93,0.00,0.01,none,0,20.15,3.03,0.00,19.84,0.022,0.022,0.0,0.050
14,1749122655.50,75,0.065,0.053,0.097,1.353,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.93,0.023,0.023,0.0,0.050
