frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749129423.65,75,0.045,0.023,0.049,1.070,0.00,0.00,-0.95,0.00,0.07,none,1,20.69,3.14,0.00,11.15,0.036,0.036,0.0,0.090
3,1749129423.70,75,0.049,0.051,0.079,2.620,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.94,0.023,0.023,0.0,0.050
4,1749129423.75,75,0.066,0.063,0.108,2.486,0.00,0.00,-0.95,0.00,0.07,none,0,20.76,3.15,0.00,19.96,0.025,0.025,0.0,0.050
5,1749129423.80,75,0.079,0.063,0.116,1.889,0.00,0.00,-0.94,0.00,0.07,none,0,20.68,3.14,0.00,19.94,0.032,0.032,0.0,0.050
6,1749129423.85,75,0.086,0.068,0.118,3.155,0.00,0.00,-0.94,0.00,0.06,none,0,20.62,3.12,0.00,19.80,0.021,0.021,0.0,0.050
7,1749129423.90,75,0.088,0.071,0.119,2.248,0.00,0.00,-0.94,0.00,0.05,none,0,20.52,3.10,0.00,19.92,0.022,0.022,0.0,0.050
8,1749129423.95,75,0.085,0.069,0.118,1.625,0.00,0.00,-0.94,0.00,0.04,none,0,20.43,3.09,0.00,19.93,0.023,0.023,0.0,0.050
9,1749129424.00,75,0.086,0.066,0.113,1.460,0.00,0.00,-0.93,0.00,0.03,none,0,20.36,3.07,0.00,19.89,0.023,0.023,0.0,0.050
10,1749129424.06,75,0.081,0.064,0.110,1.282,0.00,0.00,-0.93,0.00,0.03,none,0,20.29,3.06,0.00,19.93,0.024,0.024,0.0,0.050
11,1749129424.11,75,0.076,0.061,0.106,1.058,0.00,0.00,-0.93,0.00,0.02,none,0,20.23,3.05,0.00,19.94,0.021,0.021,0.0,0.050
12,1749129424.16,75,0.076,0.062,0.105,0.871,0.00,0.00,-0.93,0.00,0.02,none,0,20.18,3.04,0.00,19.94,0.020,0.020,0.0,0.050
13,1749129424.21,75,0.074,0.057,0.100,0.793,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.87,0.022,0.022,0.0,0.050
14,1749129424.26,75,0.066,0.051,0.089,1.267,0.00,0.00,-0.93,0.00,0.01,none,0,20.09,3.02,0.00,19.66,0.024,0.024,0.0,0.051
15,1749129424.31,75,0.057,0.047,0.078,0.517,0.00,0.00,-0.93,0.00,0.00,none,0,20.05,3.01,0.00,19.77,0.023,0.023,0.0,0.051
16,1749129424.36,75,0.047,0.040,0.068,0.453,0.00,0.00,-0.93,0.00,0.00,none,0,20.02,3.00,0.00,19.79,0.022,0.022,0.0,0.051
17,1749129424.41,75,0.039,0.033,0.058,0.352,0.00,0.00,-0.93,0.00,0.00,none,0,20.00,3.00,0.00,19.94,0.024,0.024,0.0,0.050
18,1749129424.46,75,0.033,0.029,0.049,0.332,0.00,0.00,-0.93,0.00,0.00,none,0,20.03,3.01,0.00,19.81,0.021,0.021,0.0,0.050
19,1749129424.51,75,0.026,0.026,0.044,0.453,0.00,0.00,-0.93,0.00,0.01,none,0,20.05,3.01,0.00,19.89,0.021,0.021,0.0,0.050
20,1749129424.56,75,0.024,0.023,0.039,0.508,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.89,0.021,0.021,0.0,0.050
21,1749129424.61,75,0.023,0.021,0.035,0.535,0.00,0.00,-0.93,0.00,0.01,none,0,20.08,3.02,0.00,19.93,0.021,0.021,0.0,0.050
