frame,time,features,flow_left,flow_center,flow_right,speed
2,1748973045.23,75,0.034,0.023,0.042,0.05
3,1748973045.28,75,0.055,0.031,0.057,0.08
4,1748973045.33,75,0.087,0.040,0.080,0.08
5,1748973045.39,75,0.098,0.046,0.089,1.84
6,1748973047.43,74,10.462,4.349,11.227,1.84
7,1748973047.48,75,5.413,2.347,6.296,1.85
8,1748973047.53,75,2.970,1.342,4.002,1.86
9,1748973047.58,75,1.700,0.816,2.733,1.87
10,1748973047.64,75,1.100,0.555,2.288,1.88
11,1748973047.69,72,0.725,0.420,1.741,1.89
12,1748973047.74,73,0.549,0.359,1.650,1.89
13,1748973047.79,75,0.515,0.348,1.499,1.90
14,1748973047.84,75,0.452,0.308,1.462,1.90
15,1748973047.89,75,0.432,0.289,1.421,1.91
16,1748973047.94,75,0.421,0.280,1.403,1.91
17,1748973047.99,75,0.426,0.284,1.400,1.92
18,1748973048.04,75,0.425,0.277,1.468,1.92
19,1748973048.09,75,0.484,0.275,1.568,1.93
20,1748973048.14,75,0.510,0.275,1.555,1.93
21,1748973048.19,75,0.523,0.298,1.553,1.93
22,1748973048.24,75,0.516,0.274,1.505,1.94
