frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749106919.06,75,0.031,0.019,0.031,1.216,0.00,0.00,-0.96,0.00,0.06,none,1,20.52,3.10,0.00,19.95,0.020,0.020,0.0,0.051
3,1749106919.11,75,0.050,0.049,0.071,1.727,0.00,0.00,-0.95,0.00,0.08,none,0,20.76,3.15,0.00,19.83,0.023,0.023,0.0,0.052
4,1749106919.16,75,0.062,0.057,0.095,2.390,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.89,0.021,0.021,0.0,0.051
5,1749106919.21,75,0.074,0.061,0.109,2.263,0.00,0.00,-0.94,0.00,0.07,none,0,20.71,3.14,0.00,19.82,0.021,0.021,0.0,0.052
6,1749106919.26,75,0.081,0.067,0.118,2.456,0.00,0.00,-0.94,0.00,0.06,none,0,20.62,3.12,0.00,19.86,0.023,0.023,0.0,0.052
7,1749106919.31,75,0.096,0.078,0.135,2.133,0.00,0.00,-0.94,0.00,0.05,none,0,20.53,3.11,0.00,19.86,0.021,0.021,0.0,0.052
8,1749106919.37,75,0.098,0.076,0.136,1.855,0.00,0.00,-0.94,0.00,0.04,none,0,20.43,3.09,0.00,19.92,0.021,0.021,0.0,0.051
9,1749106919.42,75,0.099,0.071,0.126,1.431,0.00,0.00,-0.93,0.00,0.03,none,0,20.35,3.07,0.00,19.79,0.024,0.024,0.0,0.051
10,1749106919.47,75,0.086,0.066,0.113,1.392,0.00,0.00,-0.93,0.00,0.03,none,0,20.29,3.06,0.00,19.84,0.020,0.020,0.0,0.051
11,1749106919.52,75,0.071,0.055,0.096,0.980,0.00,0.00,-0.93,0.00,0.02,none,0,20.23,3.05,0.00,19.77,0.023,0.023,0.0,0.052
12,1749106919.57,75,0.057,0.047,0.081,0.689,0.00,0.00,-0.93,0.00,0.02,none,0,20.16,3.03,0.00,19.50,0.036,0.036,0.0,0.052
13,1749106919.63,75,0.048,0.039,0.069,1.134,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.82,0.023,0.023,0.0,0.051
14,1749106919.68,75,0.035,0.034,0.061,1.288,0.00,0.00,-0.93,0.00,0.01,none,0,20.08,3.02,0.00,19.91,0.023,0.023,0.0,0.051
15,1749106919.73,75,0.031,0.030,0.051,0.608,0.00,0.00,-0.93,0.00,0.00,none,0,20.05,3.01,0.00,19.79,0.021,0.021,0.0,0.052
16,1749106919.78,75,0.028,0.026,0.042,0.534,0.00,0.00,-0.93,0.00,0.00,none,0,20.02,3.00,0.00,19.78,0.019,0.019,0.0,0.052
17,1749106919.83,75,0.024,0.022,0.039,0.301,0.00,0.00,-0.93,0.00,0.00,none,0,20.01,3.00,0.00,19.84,0.020,0.020,0.0,0.051
18,1749106919.88,75,0.020,0.019,0.033,0.323,0.00,0.00,-0.93,0.00,0.00,none,0,20.03,3.01,0.00,19.80,0.019,0.019,0.0,0.052
19,1749106919.94,75,0.018,0.018,0.028,0.366,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.80,0.033,0.033,0.0,0.051
20,1749106919.99,75,0.018,0.017,0.027,0.679,0.00,0.00,-0.93,0.00,0.01,none,0,20.07,3.01,0.00,19.84,0.020,0.020,0.0,0.052
21,1749106920.04,75,0.016,0.017,0.026,0.343,0.00,0.00,-0.93,0.00,0.01,none,0,20.08,3.02,0.00,19.77,0.022,0.022,0.0,0.052
22,1749106920.09,75,0.018,0.019,0.027,0.436,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.87,0.021,0.021,0.0,0.051
23,1749106920.14,75,0.018,0.020,0.031,1.112,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.91,0.021,0.021,0.0,0.051
24,1749106920.20,75,0.018,0.021,0.033,0.600,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.84,0.024,0.024,0.0,0.053
25,1749106920.25,75,0.020,0.023,0.032,0.542,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.92,0.022,0.022,0.0,0.051
26,1749106920.30,75,0.022,0.022,0.034,0.497,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.97,0.021,0.021,0.0,0.051
27,1749106920.35,75,0.021,0.022,0.038,0.648,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.87,0.025,0.025,0.0,0.051
28,1749106920.40,75,0.022,0.021,0.037,0.567,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.86,0.022,0.022,0.0,0.051
29,1749106920.45,75,0.022,0.023,0.039,0.570,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,18.46,0.033,0.033,0.0,0.055
30,1749106920.51,75,0.022,0.022,0.041,0.637,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.92,0.027,0.027,0.0,0.051
31,1749106920.56,75,0.022,0.023,0.043,0.583,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.90,0.023,0.023,0.0,0.052
32,1749106920.61,75,0.025,0.024,0.040,0.754,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.82,0.023,0.023,0.0,0.052
33,1749106920.67,75,0.025,0.026,0.040,0.683,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.90,0.022,0.022,0.0,0.052
34,1749106920.72,75,0.029,0.025,0.038,0.714,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.95,0.018,0.018,0.0,0.051
35,1749106920.77,75,0.030,0.024,0.037,0.576,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.94,0.020,0.020,0.0,0.051
36,1749106920.82,75,0.030,0.024,0.039,0.657,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.92,0.020,0.020,0.0,0.051
37,1749106920.87,75,0.026,0.023,0.039,0.445,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.94,0.022,0.022,0.0,0.051
38,1749106920.92,75,0.028,0.023,0.039,0.617,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.96,0.023,0.023,0.0,0.051
39,1749106920.97,75,0.026,0.023,0.038,0.485,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.88,0.025,0.025,0.0,0.051
40,1749106921.03,75,0.025,0.026,0.039,1.135,0.00,0.00,-0.94,0.00,0.01,resume_reinforce,0,20.11,3.02,0.00,19.81,0.025,0.025,0.0,0.051
41,1749106921.08,75,0.040,0.041,0.049,1.812,0.00,0.00,-0.94,-0.00,0.03,none,0,20.34,3.07,0.00,19.96,0.023,0.023,0.0,0.051
42,1749106921.13,73,2.576,1.791,2.807,191.304,0.00,0.00,-0.94,-0.00,0.08,none,0,20.53,3.11,0.00,19.95,0.025,0.025,0.0,0.052
43,1749106921.18,74,4.297,3.123,4.776,133.150,0.01,0.00,-0.95,-0.00,0.19,none,0,21.46,3.29,0.00,19.75,0.022,0.022,0.0,0.052
44,1749106921.23,74,5.512,4.107,5.989,85.613,0.02,0.00,-0.95,-0.00,0.29,none,0,22.56,3.51,0.00,19.87,0.022,0.022,0.0,0.051
45,1749106921.28,75,6.221,4.711,6.715,52.400,0.03,0.00,-0.96,-0.00,0.38,none,0,23.52,3.70,0.00,19.79,0.020,0.020,0.0,0.051
46,1749106921.34,75,6.690,5.055,7.191,30.146,0.05,0.00,-0.97,-0.00,0.47,none,0,24.39,3.88,0.00,19.91,0.022,0.022,0.0,0.051
47,1749106921.39,75,4.330,3.426,4.613,11.554,0.08,0.00,-0.99,-0.00,0.55,none,0,25.22,4.04,0.00,19.97,0.019,0.019,0.0,0.051
48,1749106921.44,75,2.744,2.139,2.811,9.985,0.10,0.00,-1.00,-0.00,0.63,none,0,26.06,4.21,0.00,19.82,0.021,0.021,0.0,0.051
49,1749106921.49,75,1.782,1.293,1.905,15.501,0.14,0.00,-1.01,0.00,0.71,none,0,26.79,4.36,0.00,19.86,0.021,0.021,0.0,0.051
50,1749106921.54,75,1.415,0.910,1.584,20.415,0.17,0.00,-1.02,0.00,0.78,none,0,27.63,4.53,0.00,19.86,0.025,0.025,0.0,0.051
51,1749106921.59,75,1.293,0.821,1.537,24.593,0.21,0.00,-1.02,0.00,0.86,none,0,28.36,4.67,0.00,19.81,0.024,0.024,0.0,0.052
52,1749106921.65,75,1.564,1.020,1.847,27.603,0.26,0.00,-1.03,0.00,0.93,none,0,29.12,4.82,0.00,19.90,0.026,0.026,0.0,0.052
53,1749106921.70,74,1.831,1.246,2.176,32.141,0.31,0.00,-1.04,0.00,1.00,none,0,29.72,4.94,0.00,19.95,0.020,0.020,0.0,0.051
54,1749106921.75,75,2.053,1.448,2.436,30.240,0.36,0.00,-1.04,0.00,1.06,none,0,30.38,5.08,0.00,19.82,0.021,0.021,0.0,0.052
55,1749106921.80,75,2.218,1.528,2.536,28.630,0.42,0.00,-1.05,0.00,1.13,none,0,31.04,5.21,0.00,19.84,0.021,0.021,0.0,0.052
56,1749106921.85,75,2.393,1.582,2.741,31.682,0.48,0.00,-1.05,0.00,1.18,none,0,31.66,5.33,0.00,19.89,0.022,0.022,0.0,0.052
57,1749106921.90,75,2.520,1.588,2.859,30.064,0.54,0.00,-1.05,0.00,1.24,none,0,32.22,5.44,0.00,19.96,0.024,0.024,0.0,0.051
58,1749106921.96,75,2.612,1.585,2.870,32.217,0.60,0.00,-1.06,0.00,1.29,none,0,32.71,5.54,0.00,19.80,0.023,0.023,0.0,0.051
59,1749106922.01,74,2.610,1.517,2.845,32.640,0.67,0.00,-1.06,0.00,1.34,none,0,33.21,5.64,0.00,19.97,0.022,0.022,0.0,0.051
60,1749106922.06,73,2.888,1.531,2.928,95.887,0.74,0.00,-1.06,0.00,1.38,none,0,33.70,5.74,0.00,19.95,0.025,0.025,0.0,0.051
61,1749106922.11,74,3.085,1.467,2.823,91.081,0.81,0.00,-1.06,0.00,1.42,none,0,34.10,5.82,0.00,19.98,0.024,0.024,0.0,0.051
62,1749106922.16,75,3.192,1.376,2.636,39.978,0.89,0.00,-1.06,0.00,1.47,none,0,34.53,5.91,0.00,19.77,0.023,0.023,0.0,0.052
63,1749106922.21,74,3.625,1.339,2.639,63.767,0.97,0.00,-1.06,0.00,1.50,none,0,34.91,5.98,0.00,19.80,0.022,0.022,0.0,0.052
64,1749106922.27,71,3.989,1.285,2.566,41.228,1.04,0.00,-1.06,0.00,1.54,none,0,35.24,6.05,0.00,19.83,0.020,0.020,0.0,0.051
65,1749106922.32,73,4.073,1.181,2.521,46.839,1.13,0.00,-1.06,0.00,1.57,none,0,35.58,6.12,0.00,19.92,0.020,0.020,0.0,0.051
66,1749106922.37,74,4.330,1.114,2.425,52.620,1.20,0.00,-1.06,0.00,1.60,none,0,35.94,6.19,0.00,19.82,0.025,0.025,0.0,0.052
67,1749106922.42,75,4.613,1.093,2.423,52.600,1.29,0.00,-1.06,0.00,1.63,none,0,36.18,6.24,0.00,19.90,0.022,0.022,0.0,0.051
68,1749106922.47,73,4.583,1.065,2.463,47.109,1.37,0.00,-1.06,0.00,1.65,none,0,36.46,6.29,0.00,19.84,0.026,0.026,0.0,0.051
69,1749106922.52,74,4.579,1.020,2.462,49.828,2.95,1.17,-1.23,-0.19,0.92,dodge_right,0,36.68,6.34,0.00,0.31,0.023,0.023,0.0,3.271
70,1749106925.80,72,13.614,5.716,5.596,13.073,2.95,1.22,-1.23,-0.19,0.93,none,0,29.25,4.85,0.00,19.79,0.020,0.020,0.0,0.052
71,1749106925.85,74,12.986,5.707,5.621,35.178,2.96,3.23,-1.20,-0.19,0.93,dodge_right,0,29.30,4.86,0.00,0.31,0.020,0.020,0.0,3.270
72,1749106929.12,73,18.407,15.057,19.098,14.416,2.97,3.28,-1.20,-0.19,0.94,none,0,29.36,4.87,0.00,19.81,0.021,0.021,0.0,0.052
73,1749106929.17,75,19.258,20.605,21.335,201.617,2.97,3.33,-1.20,-0.19,0.94,none,0,29.40,4.88,0.00,19.89,0.025,0.025,0.0,0.051
74,1749106929.22,73,20.982,22.943,24.074,219.927,2.97,3.38,-1.20,-0.19,0.92,none,0,29.33,4.87,0.00,19.81,0.019,0.019,0.0,0.051
75,1749106929.27,73,14.407,21.294,23.094,197.591,2.97,3.43,-1.20,-0.19,0.89,none,0,29.06,4.81,0.00,19.91,0.020,0.020,0.0,0.051
76,1749106929.33,62,17.788,24.477,26.137,206.486,2.97,3.47,-1.19,-0.19,0.85,none,0,28.69,4.74,0.00,19.80,0.023,0.023,0.0,0.051
77,1749106929.38,54,14.813,17.773,15.372,231.874,2.97,3.51,-1.19,-0.19,0.81,none,0,28.24,4.65,0.00,19.80,0.023,0.023,0.0,0.051
78,1749106929.43,72,15.431,15.326,15.527,349.800,2.97,3.55,-1.19,-0.19,0.75,none,0,27.73,4.55,0.00,19.87,0.022,0.022,0.0,0.052
79,1749106929.48,69,14.876,16.531,14.503,254.502,2.97,3.59,-1.20,-0.19,0.69,none,0,27.15,4.43,0.00,19.88,0.023,0.023,0.0,0.052
80,1749106929.53,64,13.493,15.723,14.730,460.227,2.97,3.63,-1.20,-0.19,0.64,none,0,26.60,4.32,0.00,19.95,0.022,0.022,0.0,0.052
