frame,time,features,flow_left,flow_center,flow_right,speed
2,1748971040.13,75,0.149,0.071,0.150,0.07
3,1748971040.25,75,0.181,0.085,0.181,0.05
4,1748971040.35,75,0.169,0.079,0.180,0.03
5,1748971040.45,75,0.141,0.064,0.143,1.84
6,1748971042.57,75,3.974,4.001,6.667,1.85
7,1748971042.69,75,6.396,9.745,8.189,1.80
8,1748971042.80,75,8.478,9.831,9.317,1.79
9,1748971043.92,75,7.781,12.712,11.549,0.49
10,1748971045.05,75,6.653,16.932,11.663,0.12
11,1748971046.16,75,6.489,11.131,8.916,0.07
12,1748971047.28,75,4.837,6.323,5.707,0.06
13,1748971048.39,75,3.493,3.576,3.694,0.06
14,1748971049.51,75,2.704,2.139,2.623,0.06
15,1748971050.62,75,2.324,1.402,2.084,0.06
16,1748971050.73,75,1.229,0.728,1.096,0.05
17,1748971050.83,75,6.992,16.987,11.992,0.25
18,1748971051.94,75,18.037,19.303,10.815,0.15
19,1748971052.06,75,9.964,10.129,6.005,0.14
20,1748971053.17,75,8.836,8.224,6.709,0.07
21,1748971054.30,75,6.397,4.939,4.773,0.05
22,1748971055.40,75,4.381,2.898,3.316,0.05
23,1748971056.51,75,3.211,1.797,2.470,0.06
24,1748971056.61,75,1.678,0.924,1.293,0.05
25,1748971056.71,75,9.757,17.482,8.140,0.24
26,1748971057.81,75,20.582,19.827,9.372,0.14
27,1748971060.14,75,14.695,15.146,9.382,0.93
28,1748971061.25,75,12.095,11.014,8.581,0.25
29,1748971061.35,75,6.408,5.736,4.995,0.23
30,1748971061.45,75,3.426,3.029,3.046,0.19
31,1748971061.57,70,16.679,21.047,3.588,0.33
32,1748971063.90,74,23.440,23.750,4.981,0.93
