frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749124912.39,75,0.030,0.025,0.044,1.526,0.00,0.00,-0.96,0.00,0.05,none,1,20.52,3.10,0.00,14.92,0.021,0.021,0.0,0.067
3,1749124912.42,75,0.042,0.029,0.049,1.197,0.00,0.00,-0.95,0.00,0.08,none,0,20.74,3.15,0.00,19.89,0.028,0.028,0.0,0.050
4,1749124912.47,75,0.054,0.051,0.079,2.398,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.91,0.027,0.027,0.0,0.050
5,1749124912.52,75,0.063,0.056,0.098,2.555,0.00,0.00,-0.95,0.00,0.07,none,0,20.73,3.15,0.00,19.91,0.023,0.023,0.0,0.050
6,1749124912.57,75,0.075,0.059,0.109,2.354,0.00,0.00,-0.94,0.00,0.06,none,0,20.65,3.13,0.00,19.86,0.022,0.022,0.0,0.050
7,1749124912.63,75,0.079,0.064,0.112,2.278,0.00,0.00,-0.94,0.00,0.05,none,0,20.56,3.11,0.00,19.93,0.022,0.022,0.0,0.050
8,1749124912.68,75,0.080,0.067,0.112,2.190,0.00,0.00,-0.94,0.00,0.04,none,0,20.48,3.10,0.00,19.85,0.023,0.023,0.0,0.050
9,1749124912.73,75,0.078,0.064,0.112,1.631,0.00,0.00,-0.94,0.00,0.04,none,0,20.39,3.08,0.00,19.94,0.023,0.023,0.0,0.050
10,1749124912.78,75,0.078,0.062,0.108,1.425,0.00,0.00,-0.93,0.00,0.03,none,0,20.33,3.07,0.00,19.86,0.022,0.022,0.0,0.050
11,1749124912.83,75,0.074,0.060,0.104,1.033,0.00,0.00,-0.93,0.00,0.02,none,0,20.26,3.05,0.00,19.76,0.022,0.022,0.0,0.051
12,1749124912.88,75,0.074,0.061,0.106,1.041,0.00,0.00,-0.93,0.00,0.02,none,0,20.20,3.04,0.00,19.97,0.022,0.022,0.0,0.050
13,1749124912.93,75,0.072,0.060,0.106,0.966,0.00,0.00,-0.93,0.00,0.01,none,0,20.15,3.03,0.00,19.89,0.022,0.022,0.0,0.050
14,1749124912.98,75,0.067,0.054,0.096,0.598,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.79,0.023,0.023,0.0,0.051
15,1749124913.03,75,0.060,0.049,0.084,0.588,0.00,0.00,-0.93,0.00,0.01,none,0,20.07,3.01,0.00,19.78,0.023,0.023,0.0,0.051
16,1749124913.08,75,0.050,0.044,0.074,1.214,0.00,0.00,-0.93,0.00,0.00,none,0,20.04,3.01,0.00,19.84,0.024,0.024,0.0,0.050
17,1749124913.13,75,0.041,0.037,0.063,0.401,0.00,0.00,-0.93,0.00,0.00,none,0,20.01,3.00,0.00,19.91,0.021,0.021,0.0,0.050
18,1749124913.18,75,0.035,0.030,0.054,0.402,0.00,0.00,-0.93,0.00,0.00,none,0,20.02,3.00,0.00,19.91,0.023,0.023,0.0,0.050
19,1749124913.23,75,0.029,0.027,0.046,0.385,0.00,0.00,-0.93,0.00,0.00,none,0,20.04,3.01,0.00,19.81,0.023,0.023,0.0,0.050
20,1749124913.28,75,0.023,0.024,0.041,0.449,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.94,0.023,0.023,0.0,0.050
