frame,time,features,flow_left,flow_center,flow_right
2,1748876509.75,144,222.817,279.485,223.285
3,1748876509.86,135,171.514,180.471,170.797
4,1748876509.97,134,117.896,124.912,117.351
5,1748876510.08,133,92.874,96.970,92.515
6,1748876510.19,133,78.985,81.472,78.750
7,1748876511.30,125,38.968,29.489,37.784
8,1748876512.90,124,17.692,15.572,16.697
9,1748876514.50,129,18.163,15.906,16.765
10,1748876516.10,126,16.664,15.704,14.880
11,1748876517.69,129,13.590,13.742,11.577
12,1748876519.29,118,10.752,11.504,9.055
