frame,time,features,flow_left,flow_center,flow_right,speed
2,1748973181.84,75,0.038,0.028,0.038,0.06
3,1748973181.89,75,0.054,0.034,0.053,0.08
4,1748973181.94,75,0.093,0.043,0.076,0.08
5,1748973181.99,75,0.097,0.051,0.083,1.84
6,1748973184.04,74,10.361,4.393,12.135,1.84
7,1748973184.09,75,5.436,2.417,6.951,1.85
8,1748973184.14,75,2.965,1.364,4.330,1.86
9,1748973184.19,75,1.689,0.820,2.884,1.87
10,1748973184.24,75,1.099,0.555,2.338,1.88
11,1748973184.29,73,0.758,0.434,1.890,1.89
12,1748973184.34,73,0.567,0.363,1.561,1.89
13,1748973184.39,75,0.495,0.338,1.548,1.90
14,1748973184.44,75,0.467,0.300,1.539,1.90
15,1748973184.49,75,0.449,0.303,1.499,1.91
16,1748973184.54,75,0.441,0.282,1.455,1.91
17,1748973184.59,75,0.442,0.288,1.465,1.92
18,1748973184.64,75,0.484,0.277,1.550,1.92
19,1748973184.69,75,0.528,0.264,1.500,1.93
20,1748973184.74,75,0.528,0.271,1.449,1.93
21,1748973184.79,75,0.537,0.287,1.499,1.93
22,1748973184.84,75,0.545,0.263,1.532,1.94
23,1748973184.89,75,0.564,0.248,1.615,1.94
24,1748973184.94,75,0.600,0.258,1.625,1.94
25,1748973185.00,75,0.622,0.283,1.633,1.95
26,1748973185.05,75,0.596,0.265,1.673,1.95
27,1748973185.10,75,0.641,0.261,1.784,1.95
28,1748973185.15,75,0.706,0.259,1.728,1.95
29,1748973185.20,75,0.687,0.254,1.757,1.95
30,1748973185.25,75,0.693,0.231,1.625,1.96
31,1748973185.30,75,0.708,0.216,1.631,1.96
32,1748973185.35,75,0.726,0.229,1.664,1.96
33,1748973185.40,75,0.756,0.248,1.437,1.96
34,1748973185.45,75,0.795,0.259,1.453,1.96
35,1748973185.50,75,0.747,0.252,1.348,1.96
36,1748973185.55,75,0.758,0.272,1.291,1.96
37,1748973185.60,75,0.779,0.270,1.256,1.96
38,1748973185.65,75,0.716,0.233,1.120,1.97
39,1748973185.70,75,0.714,0.243,1.097,1.97
40,1748973185.75,75,0.765,0.294,1.128,1.97
41,1748973185.80,75,0.786,0.271,1.147,1.97
42,1748973185.85,75,0.764,0.283,1.031,1.97
43,1748973185.90,75,0.770,0.289,1.010,1.97
44,1748973185.95,75,0.793,0.287,1.020,1.97
45,1748973186.00,75,0.773,0.274,1.009,1.97
46,1748973186.06,75,0.811,0.288,1.002,1.97
47,1748973186.11,75,0.816,0.292,0.989,1.97
48,1748973186.16,75,0.806,0.299,1.175,1.97
49,1748973186.21,75,0.836,0.308,1.228,1.97
50,1748973186.26,75,0.842,0.287,1.222,1.97
51,1748973186.31,75,0.805,0.308,1.141,1.97
52,1748973186.36,75,0.793,0.290,1.045,1.97
53,1748973186.41,75,0.792,0.320,1.141,1.97
54,1748973186.46,75,0.766,0.301,1.039,1.97
55,1748973186.51,75,0.764,0.299,0.946,1.97
56,1748973186.56,75,0.734,0.293,0.933,1.97
57,1748973186.61,75,0.758,0.305,0.881,1.97
58,1748973186.66,75,0.788,0.300,0.870,1.97
59,1748973186.71,75,0.778,0.293,0.913,1.97
60,1748973186.76,75,0.731,0.288,0.897,1.97
61,1748973186.81,75,0.750,0.286,0.936,1.98
62,1748973186.86,75,0.724,0.319,0.977,1.98
63,1748973186.91,75,0.663,0.292,0.912,1.98
64,1748973186.97,75,0.650,0.298,0.912,1.98
65,1748973187.02,75,0.681,0.309,0.914,1.98
66,1748973187.07,75,0.670,0.289,0.940,1.98
67,1748973187.12,75,0.722,0.311,0.979,1.98
68,1748973187.17,75,0.670,0.297,0.983,1.98
69,1748973187.22,75,0.664,0.299,1.038,1.98
70,1748973187.27,75,0.664,0.298,1.067,1.98
71,1748973187.32,75,0.641,0.277,0.961,1.98
72,1748973187.37,75,0.677,0.291,1.077,1.98
73,1748973187.42,75,0.696,0.289,1.059,1.98
74,1748973187.47,75,0.696,0.276,1.108,1.98
75,1748973187.52,75,0.695,0.296,1.124,1.98
76,1748973187.57,75,0.727,0.304,1.221,1.98
77,1748973187.62,75,0.671,0.282,1.127,1.98
78,1748973187.67,75,0.737,0.306,1.281,1.98
79,1748973187.72,75,0.738,0.302,1.375,1.98
80,1748973187.77,75,0.721,0.294,1.357,1.98
81,1748973187.82,75,0.749,0.295,1.410,1.98
82,1748973187.88,75,0.740,0.301,1.404,1.98
83,1748973187.93,75,0.747,0.292,1.441,1.98
