frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749224380.81,75,0.039,0.028,0.056,1.672,0.00,0.00,-0.95,0.00,0.06,none,1,0,1,20.65,2.03,0.00,13.51,0.019,0.003,0.0,0.074
3,1749224380.85,75,0.041,0.048,0.071,2.158,0.00,0.00,-0.95,0.00,0.08,none,0,0,1,20.77,2.04,0.00,19.85,0.021,0.002,0.0,0.050
4,1749224380.90,75,0.060,0.059,0.098,2.407,0.00,0.00,-0.95,0.00,0.08,none,0,0,1,20.77,2.04,0.00,19.97,0.021,0.002,0.0,0.050
5,1749224380.95,75,0.074,0.061,0.112,1.819,0.00,0.00,-0.94,0.00,0.07,none,0,0,1,20.69,2.03,0.00,19.43,0.034,0.002,0.0,0.051
6,1749224381.00,75,0.079,0.067,0.115,2.997,0.00,0.00,-0.94,0.00,0.06,none,0,0,1,20.62,2.03,0.00,19.75,0.021,0.002,0.0,0.051
7,1749224381.05,75,0.085,0.070,0.117,2.487,0.00,0.00,-0.94,0.00,0.05,none,0,0,1,20.53,2.03,0.00,19.88,0.021,0.002,0.0,0.050
8,1749224381.10,75,0.082,0.068,0.116,1.710,0.00,0.00,-0.94,0.00,0.04,none,0,0,1,20.45,2.02,0.00,19.88,0.018,0.002,0.0,0.050
9,1749224381.15,75,0.083,0.065,0.113,1.540,0.00,0.00,-0.93,0.00,0.03,none,0,0,1,20.37,2.02,0.00,19.83,0.020,0.002,0.0,0.050
10,1749224381.20,75,0.079,0.063,0.110,1.255,0.00,0.00,-0.93,0.00,0.03,none,0,0,1,20.30,2.02,0.00,19.84,0.022,0.002,0.0,0.050
11,1749224381.25,75,0.074,0.060,0.106,1.097,0.00,0.00,-0.93,0.00,0.02,none,0,0,1,20.24,2.01,0.00,19.86,0.019,0.002,0.0,0.050
12,1749224381.30,75,0.074,0.061,0.105,0.902,0.00,0.00,-0.93,0.00,0.02,none,0,0,1,20.18,2.01,0.00,19.96,0.021,0.002,0.0,0.050
13,1749224381.36,75,0.073,0.058,0.103,1.465,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.14,2.01,0.00,19.87,0.018,0.002,0.0,0.050
14,1749224381.41,75,0.066,0.052,0.092,0.562,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.10,2.00,0.00,19.85,0.021,0.002,0.0,0.050
15,1749224381.46,75,0.058,0.047,0.080,0.555,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.06,2.00,0.00,19.93,0.021,0.002,0.0,0.050
16,1749224381.51,75,0.049,0.041,0.069,0.510,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.03,2.00,0.00,19.91,0.020,0.002,0.0,0.050
17,1749224381.56,75,0.039,0.034,0.060,0.398,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.00,2.00,0.00,19.92,0.021,0.002,0.0,0.050
18,1749224381.61,75,0.033,0.030,0.051,0.290,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.02,2.00,0.00,19.94,0.022,0.002,0.0,0.050
19,1749224381.66,75,0.025,0.027,0.044,0.396,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.04,2.00,0.00,19.89,0.021,0.002,0.0,0.050
20,1749224381.71,75,0.023,0.024,0.039,0.429,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.06,2.00,0.00,19.96,0.020,0.002,0.0,0.050
21,1749224381.76,75,0.021,0.023,0.034,0.480,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.08,2.00,0.00,19.94,0.023,0.002,0.0,0.050
22,1749224381.81,75,0.019,0.022,0.032,0.464,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.09,2.00,0.00,19.83,0.022,0.002,0.0,0.050
23,1749224381.86,75,0.018,0.020,0.028,0.409,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.10,2.00,0.00,19.96,0.022,0.002,0.0,0.050
24,1749224381.91,75,0.017,0.020,0.027,0.558,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.11,2.01,0.00,19.95,0.018,0.002,0.0,0.050
25,1749224381.96,75,0.016,0.020,0.029,1.215,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.11,2.01,0.00,19.91,0.018,0.002,0.0,0.050
26,1749224382.01,75,0.017,0.021,0.030,0.522,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.96,0.020,0.002,0.0,0.050
27,1749224382.06,75,0.018,0.021,0.030,0.573,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.90,0.018,0.002,0.0,0.050
28,1749224382.11,75,0.019,0.021,0.031,0.524,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.93,0.020,0.002,0.0,0.050
29,1749224382.16,75,0.020,0.022,0.033,0.648,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.79,0.021,0.003,0.0,0.051
30,1749224382.21,75,0.021,0.023,0.033,0.591,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.97,0.020,0.002,0.0,0.050
31,1749224382.26,75,0.021,0.023,0.035,0.628,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.88,0.021,0.003,0.0,0.050
32,1749224382.31,75,0.021,0.022,0.036,0.602,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.86,0.021,0.002,0.0,0.050
33,1749224382.36,75,0.021,0.023,0.037,0.572,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.89,0.021,0.003,0.0,0.050
34,1749224382.41,75,0.022,0.023,0.038,0.642,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.79,0.021,0.002,0.0,0.051
35,1749224382.46,75,0.023,0.023,0.037,0.775,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.90,0.020,0.002,0.0,0.050
36,1749224382.51,75,0.023,0.023,0.037,0.557,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.96,0.023,0.003,0.0,0.050
37,1749224382.56,75,0.024,0.023,0.038,0.649,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.86,0.020,0.002,0.0,0.050
38,1749224382.61,75,0.024,0.023,0.038,0.649,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.93,0.018,0.002,0.0,0.050
39,1749224382.66,75,0.023,0.024,0.037,0.462,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.97,0.020,0.002,0.0,0.050
40,1749224382.71,75,0.024,0.023,0.037,0.633,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.80,0.017,0.002,0.0,0.051
41,1749224382.76,75,0.024,0.023,0.037,0.455,4.23,0.00,-1.05,-0.00,1.94,resume_reinforce,0,0,1,20.11,2.01,0.00,0.33,0.022,0.003,0.0,3.047
42,1749224385.81,65,11.452,1.445,0.699,17.598,5.93,1.16,-1.28,-0.55,0.93,dodge_right,0,1,1,39.46,2.97,0.00,0.44,0.019,0.002,0.0,2.260
