frame,time,features,flow_left,flow_center,flow_right,speed
2,1748958895.65,150,0.163,0.084,0.136,0.07
3,1748958895.76,150,0.216,0.111,0.170,0.06
4,1748958895.86,150,0.227,0.116,0.179,0.04
5,1748958895.97,150,0.201,0.106,0.156,1.84
6,1748958898.08,150,14.148,3.765,18.481,1.85
7,1748958898.19,141,12.218,4.720,16.550,1.80
8,1748958898.31,150,14.984,6.410,16.587,1.79
9,1748958898.43,133,13.335,5.542,15.117,1.80
10,1748958898.55,148,11.846,4.904,11.885,1.81
11,1748958898.68,138,9.436,3.356,9.124,1.83
12,1748958898.79,142,7.303,2.086,7.469,1.85
13,1748958898.91,149,5.482,1.349,6.427,1.87
14,1748958899.02,146,4.249,1.020,5.612,1.89
15,1748958899.13,148,3.629,0.857,4.383,1.90
16,1748958899.25,147,3.128,0.792,3.731,1.91
17,1748958899.36,149,2.904,0.737,3.483,1.92
18,1748958899.49,149,2.402,0.735,3.586,1.93
19,1748958899.60,150,2.132,0.686,3.611,1.94
20,1748958899.71,150,2.107,0.672,3.730,1.94
21,1748958899.82,150,2.164,0.656,3.562,1.95
22,1748958899.94,149,2.061,0.638,3.587,1.95
23,1748958900.05,149,2.058,0.634,3.634,1.96
24,1748958900.16,150,2.156,0.630,3.498,1.96
25,1748958900.27,150,2.157,0.608,3.440,1.96
26,1748958900.38,150,2.172,0.630,3.357,1.96
27,1748958900.48,150,2.289,0.668,3.630,1.97
28,1748958900.59,150,2.231,0.617,3.329,1.97
29,1748958900.69,150,1.979,0.611,3.249,1.97
30,1748958900.81,150,1.947,0.682,3.220,1.97
31,1748958900.93,150,1.859,0.687,3.204,1.97
32,1748958901.04,150,1.878,0.732,2.984,1.97
33,1748958901.16,150,1.853,0.775,2.985,1.97
34,1748958901.28,150,1.890,0.813,2.801,1.97
35,1748958901.41,150,1.889,0.835,2.599,1.97
36,1748958901.52,150,1.798,0.763,2.409,1.98
37,1748958901.63,149,1.801,0.726,2.367,1.98
38,1748958901.77,149,2.124,0.814,2.682,1.98
39,1748958901.89,150,2.136,0.801,2.527,1.98
40,1748958902.01,150,2.104,0.807,2.458,1.98
41,1748958902.12,150,2.000,0.775,2.118,1.98
42,1748958902.24,150,2.188,0.830,2.187,1.98
43,1748958902.35,150,2.273,0.837,2.162,1.98
44,1748958902.47,150,2.322,0.871,2.061,1.98
