frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749132877.78,75,0.034,0.053,0.058,2.713,0.00,0.00,-0.95,0.00,0.06,none,1,20.63,3.13,0.00,14.21,0.022,0.022,0.0,0.070
3,1749132877.82,75,0.038,0.047,0.070,1.615,0.00,0.00,-0.95,0.00,0.08,none,0,20.77,3.15,0.00,19.83,0.023,0.023,0.0,0.050
4,1749132877.87,75,0.059,0.059,0.097,2.411,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.81,0.022,0.022,0.0,0.050
5,1749132877.92,75,0.076,0.061,0.109,2.361,0.00,0.00,-0.94,0.00,0.07,none,0,20.72,3.14,0.00,19.88,0.020,0.020,0.0,0.050
6,1749132877.97,75,0.084,0.066,0.113,2.415,0.00,0.00,-0.94,0.00,0.06,none,0,20.63,3.13,0.00,19.96,0.019,0.019,0.0,0.050
7,1749132878.02,75,0.087,0.070,0.118,2.303,0.00,0.00,-0.94,0.00,0.05,none,0,20.54,3.11,0.00,19.86,0.022,0.022,0.0,0.050
8,1749132878.07,75,0.084,0.067,0.116,1.703,0.00,0.00,-0.93,0.00,0.04,none,0,20.45,3.09,0.00,19.87,0.021,0.021,0.0,0.050
9,1749132878.12,75,0.084,0.065,0.114,1.542,0.00,0.00,-0.93,0.00,0.03,none,0,20.37,3.07,0.00,19.96,0.021,0.021,0.0,0.050
10,1749132878.17,75,0.079,0.063,0.110,1.297,0.00,0.00,-0.93,0.00,0.03,none,0,20.30,3.06,0.00,19.92,0.022,0.022,0.0,0.050
11,1749132878.22,75,0.075,0.060,0.106,1.120,0.00,0.00,-0.93,0.00,0.02,none,0,20.24,3.05,0.00,19.97,0.019,0.019,0.0,0.050
12,1749132878.27,75,0.075,0.058,0.106,0.898,0.00,0.00,-0.93,0.00,0.02,none,0,20.19,3.04,0.00,19.88,0.022,0.022,0.0,0.050
13,1749132878.32,75,0.075,0.057,0.104,1.378,0.00,0.00,-0.93,0.00,0.01,none,0,20.14,3.03,0.00,19.97,0.019,0.019,0.0,0.050
14,1749132878.37,75,0.067,0.051,0.093,0.566,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.96,0.022,0.022,0.0,0.050
15,1749132878.42,75,0.057,0.048,0.082,0.621,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.90,0.021,0.021,0.0,0.050
16,1749132878.47,75,0.047,0.040,0.072,0.532,0.00,0.00,-0.93,0.00,0.00,none,0,20.03,3.01,0.00,19.94,0.021,0.021,0.0,0.050
17,1749132878.52,75,0.038,0.033,0.061,0.391,0.00,0.00,-0.93,0.00,0.00,none,0,20.00,3.00,0.00,19.79,0.021,0.021,0.0,0.051
18,1749132878.57,75,0.033,0.030,0.052,0.317,0.00,0.00,-0.93,0.00,0.00,none,0,20.02,3.00,0.00,19.96,0.020,0.020,0.0,0.050
19,1749132878.62,75,0.025,0.026,0.045,0.421,0.00,0.00,-0.93,0.00,0.00,none,0,20.04,3.01,0.00,19.96,0.021,0.021,0.0,0.050
20,1749132878.67,75,0.022,0.024,0.040,0.357,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.86,0.022,0.022,0.0,0.050
21,1749132878.72,75,0.021,0.023,0.036,0.507,0.00,0.00,-0.93,0.00,0.01,none,0,20.08,3.02,0.00,19.89,0.021,0.021,0.0,0.050
22,1749132878.77,75,0.018,0.022,0.033,0.478,0.00,0.00,-0.93,0.00,0.01,none,0,20.09,3.02,0.00,19.87,0.021,0.021,0.0,0.050
23,1749132878.82,75,0.018,0.021,0.030,0.550,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.93,0.021,0.021,0.0,0.050
24,1749132878.87,75,0.016,0.021,0.029,0.498,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.85,0.022,0.022,0.0,0.050
25,1749132878.92,75,0.017,0.020,0.029,0.540,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.84,0.019,0.019,0.0,0.050
26,1749132878.97,75,0.017,0.021,0.031,1.075,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.98,0.025,0.025,0.0,0.050
27,1749132879.02,75,0.018,0.022,0.032,0.615,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.90,0.022,0.022,0.0,0.050
28,1749132879.07,75,0.019,0.022,0.033,0.504,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.95,0.022,0.022,0.0,0.050
29,1749132879.12,75,0.020,0.023,0.034,0.461,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.87,0.024,0.024,0.0,0.050
30,1749132879.17,75,0.021,0.024,0.035,0.743,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.94,0.022,0.022,0.0,0.050
31,1749132879.22,75,0.021,0.024,0.036,0.553,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.75,0.024,0.024,0.0,0.051
