frame,time,features,flow_left,flow_center,flow_right
2,1748951598.23,150,1.057,0.475,1.082
3,1748951598.33,150,1.117,0.505,1.157
4,1748951598.43,150,0.993,0.433,1.023
5,1748951598.52,150,0.865,0.370,0.899
6,1748951598.60,150,0.752,0.319,0.777
7,1748951598.69,150,0.572,0.239,0.596
8,1748951598.79,150,0.356,0.139,0.369
9,1748951598.89,150,0.214,0.086,0.228
10,1748951598.98,150,0.123,0.051,0.125
11,1748951599.07,150,0.067,0.031,0.071
12,1748951599.18,150,0.043,0.019,0.041
13,1748951599.27,150,0.029,0.014,0.029
14,1748951599.38,150,0.030,0.014,0.028
15,1748951599.47,150,0.033,0.015,0.033
16,1748951599.57,150,0.037,0.016,0.038
17,1748951599.68,150,0.039,0.017,0.040
18,1748951599.78,150,0.040,0.017,0.041
19,1748951599.91,150,0.040,0.017,0.041
20,1748951600.00,150,0.039,0.015,0.040
21,1748951600.09,150,0.037,0.015,0.038
22,1748951600.18,150,0.033,0.013,0.034
23,1748951600.27,150,0.030,0.011,0.031
24,1748951600.37,150,3.047,4.736,3.627
25,1748951600.46,122,8.277,7.542,6.326
26,1748951600.55,121,9.414,8.652,7.315
27,1748951600.64,121,9.517,8.802,7.410
28,1748951600.73,121,9.938,9.156,7.834
29,1748951600.82,121,7.500,4.953,4.817
30,1748951600.92,121,2.976,2.805,2.829
31,1748951601.02,121,2.604,2.426,2.617
32,1748951601.11,121,3.082,2.825,3.121
33,1748951601.20,120,3.211,2.982,3.267
34,1748951601.29,120,3.110,2.898,3.175
35,1748951601.38,120,2.836,2.639,2.921
36,1748951601.47,120,2.441,2.243,2.538
37,1748951601.56,120,2.200,1.995,2.305
38,1748951601.65,120,1.934,1.734,2.055
39,1748951601.74,120,1.731,1.523,1.872
40,1748951601.84,120,1.569,1.343,1.731
41,1748951601.95,119,1.452,1.190,1.628
42,1748951602.03,119,1.294,1.015,1.479
43,1748951602.13,119,1.204,0.885,1.396
44,1748951602.22,119,1.092,0.755,1.301
45,1748951602.33,119,1.016,0.639,1.254
46,1748951602.43,119,0.930,0.532,1.170
47,1748951602.52,119,0.893,0.466,1.133
48,1748951602.64,119,0.889,0.410,1.140
49,1748951602.73,119,0.879,0.357,1.123
50,1748951602.83,118,0.834,0.290,1.052
51,1748951602.93,118,0.796,0.244,1.026
52,1748951603.02,118,0.795,0.211,1.007
53,1748951603.11,118,0.733,0.169,0.914
54,1748951603.20,117,0.696,0.146,0.879
55,1748951603.28,117,0.657,0.127,0.831
56,1748951603.39,116,0.667,0.117,0.831
57,1748951603.48,116,0.670,0.108,0.859
58,1748951603.60,116,0.701,0.102,0.920
59,1748951603.70,116,0.733,0.098,0.956
60,1748951603.80,116,0.752,0.093,0.982
61,1748951603.89,115,0.726,0.084,0.959
62,1748951603.98,110,0.712,0.079,0.963
63,1748951604.08,105,0.669,0.074,0.926
64,1748951604.18,105,0.628,0.068,0.898
65,1748951604.28,104,0.617,0.069,0.906
66,1748951604.37,101,0.606,0.067,0.869
67,1748951604.48,100,0.588,0.067,0.808
68,1748951604.58,98,0.582,0.063,0.740
69,1748951604.67,98,0.575,0.061,0.695
70,1748951604.78,97,0.581,0.055,0.631
71,1748951604.87,97,0.585,0.055,0.615
72,1748951605.01,96,0.625,0.053,0.690
73,1748951605.11,92,0.616,0.051,0.725
74,1748951605.20,88,0.598,0.048,0.749
75,1748951605.30,82,0.535,0.047,0.756
76,1748951605.40,79,0.514,0.045,0.756
77,1748951605.49,79,0.409,0.039,0.644
78,1748951605.58,78,0.365,0.037,0.599
79,1748951605.68,74,0.338,0.038,0.531
80,1748951605.77,74,0.325,0.035,0.486
81,1748951605.88,72,0.276,0.035,0.459
82,1748951605.98,72,0.260,0.035,0.457
83,1748951606.08,72,0.237,0.036,0.445
84,1748951606.22,72,0.233,0.036,0.484
85,1748951606.31,72,0.211,0.036,0.492
86,1748951606.42,71,0.211,0.035,0.510
87,1748951606.51,71,0.214,0.034,0.509
88,1748951606.61,71,0.233,0.032,0.533
89,1748951606.71,71,0.220,0.029,0.516
