frame,time,features,flow_left,flow_center,flow_right,speed
2,1748938974.08,150,192.738,339.157,229.973,0.34
3,1748938974.19,124,202.443,235.955,172.648,0.53
4,1748938974.30,120,138.852,161.717,118.846,0.67
5,1748938974.41,117,107.297,124.173,92.672,0.84
6,1748938974.52,115,89.221,102.559,77.770,0.98
7,1748938975.62,112,62.523,40.642,36.996,0.35
8,1748938976.72,109,25.663,17.611,17.022,0.10
9,1748938976.83,107,23.421,15.043,14.865,0.10
10,1748938976.94,107,20.973,12.785,12.104,0.10
11,1748938977.05,107,17.634,9.590,8.511,0.10
12,1748938977.15,107,5.820,3.694,3.320,0.10
13,1748938977.26,107,0.345,0.255,0.319,0.10
14,1748938977.37,105,1.451,2.332,1.663,0.29
15,1748938977.48,102,3.613,3.840,3.870,0.48
16,1748938977.59,100,3.971,4.265,4.219,0.64
17,1748938977.69,100,4.106,4.387,4.385,0.78
18,1748938977.78,100,4.403,4.661,4.716,0.92
19,1748938977.87,100,3.680,2.942,3.773,1.04
20,1748938977.97,100,1.971,1.866,2.025,1.15
21,1748938978.06,100,2.033,1.851,2.133,1.26
22,1748938978.17,99,2.383,2.196,2.499,1.37
23,1748938978.29,99,2.437,2.272,2.601,1.47
24,1748938978.40,99,2.323,2.182,2.529,1.54
25,1748938978.51,99,2.113,1.995,2.371,1.61
26,1748938978.64,99,1.941,1.828,2.235,1.67
27,1748938978.74,99,1.639,1.538,1.946,1.71
28,1748938978.85,99,1.396,1.270,1.672,1.76
29,1748938978.96,98,1.204,1.057,1.481,1.79
30,1748938979.07,97,1.047,0.875,1.332,1.81
31,1748938979.18,97,0.896,0.700,1.187,1.84
32,1748938979.29,97,0.802,0.584,1.119,1.86
33,1748938979.40,97,0.725,0.487,1.078,1.88
34,1748938979.51,97,0.667,0.406,1.054,1.89
35,1748938979.62,95,0.622,0.339,1.026,1.91
36,1748938979.74,95,0.609,0.287,1.026,1.92
37,1748938979.85,95,0.587,0.239,1.023,1.93
38,1748938979.98,95,0.573,0.202,1.045,1.94
39,1748938980.09,93,0.562,0.168,1.024,1.94
40,1748938980.20,91,0.546,0.142,1.012,1.95
41,1748938980.31,86,0.525,0.120,0.971,1.92
42,1748938980.41,82,1.817,1.339,2.446,1.74
43,1748938980.54,80,2.942,2.289,3.456,1.49
44,1748938980.65,76,3.829,2.890,4.466,1.24
45,1748938980.76,76,4.042,3.207,4.646,0.94
46,1748938980.88,76,4.006,3.253,4.599,0.69
47,1748938980.99,76,2.723,2.106,3.046,0.37
48,1748938981.13,76,1.798,1.410,2.120,0.17
49,1748938981.24,76,1.136,1.088,1.259,0.17
50,1748938981.36,76,1.509,1.116,1.325,0.34
51,1748938981.47,76,1.853,1.403,1.613,0.49
52,1748938981.58,75,2.907,1.701,2.022,0.65
53,1748938981.71,75,3.103,1.853,2.418,0.75
54,1748938981.82,75,3.187,1.925,2.538,0.86
55,1748938981.96,73,3.356,2.057,2.905,0.92
56,1748938982.07,72,3.294,2.096,2.968,0.94
57,1748938982.19,70,2.470,2.046,2.808,0.94
58,1748938982.30,70,2.257,1.915,2.410,0.92
59,1748938982.42,70,2.133,1.824,2.233,0.88
60,1748938982.52,67,1.471,1.528,1.637,0.83
61,1748938982.63,67,1.302,1.320,1.339,0.76
