frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749142487.14,75,0.031,0.048,0.061,2.438,0.00,0.00,-0.95,0.00,0.06,none,1,0,20.63,3.13,0.00,12.87,0.025,0.025,0.0,0.078
3,1749142487.18,75,0.039,0.047,0.074,1.664,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.77,3.15,0.00,19.92,0.023,0.023,0.0,0.050
4,1749142487.23,75,0.059,0.059,0.099,2.227,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.77,3.15,0.00,19.95,0.026,0.026,0.0,0.050
5,1749142487.28,75,0.076,0.061,0.111,2.236,0.00,0.00,-0.94,0.00,0.07,none,0,0,20.70,3.14,0.00,19.96,0.025,0.025,0.0,0.050
6,1749142487.33,75,0.082,0.065,0.113,2.469,0.00,0.00,-0.94,0.00,0.06,none,0,0,20.63,3.13,0.00,19.87,0.025,0.025,0.0,0.050
7,1749142487.39,75,0.086,0.070,0.118,2.515,0.00,0.00,-0.94,0.00,0.05,none,0,0,20.54,3.11,0.00,19.92,0.023,0.023,0.0,0.050
8,1749142487.44,75,0.083,0.067,0.117,1.768,0.00,0.00,-0.94,0.00,0.04,none,0,0,20.45,3.09,0.00,19.82,0.022,0.022,0.0,0.050
9,1749142487.49,75,0.083,0.065,0.113,1.441,0.00,0.00,-0.93,0.00,0.04,none,0,0,20.37,3.07,0.00,19.92,0.024,0.024,0.0,0.050
10,1749142487.54,75,0.079,0.063,0.110,1.405,0.00,0.00,-0.93,0.00,0.03,none,0,0,20.31,3.06,0.00,19.92,0.022,0.022,0.0,0.050
11,1749142487.59,75,0.075,0.060,0.106,1.056,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.24,3.05,0.00,19.79,0.022,0.022,0.0,0.051
12,1749142487.64,75,0.075,0.059,0.106,0.962,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.19,3.04,0.00,19.94,0.022,0.022,0.0,0.050
13,1749142487.69,75,0.074,0.057,0.104,1.292,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.14,3.03,0.00,19.97,0.024,0.024,0.0,0.050
14,1749142487.74,75,0.067,0.051,0.092,0.613,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.10,3.02,0.00,19.91,0.021,0.021,0.0,0.050
15,1749142487.79,75,0.057,0.048,0.081,0.798,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.06,3.01,0.00,19.83,0.021,0.021,0.0,0.050
16,1749142487.84,75,0.048,0.041,0.072,0.511,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.03,3.01,0.00,19.94,0.023,0.023,0.0,0.050
17,1749142487.89,75,0.039,0.034,0.061,0.363,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.00,3.00,0.00,19.80,0.026,0.026,0.0,0.051
18,1749142487.94,75,0.034,0.030,0.051,0.329,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.02,3.00,0.00,19.95,0.025,0.025,0.0,0.050
19,1749142487.99,75,0.027,0.027,0.045,0.451,0.00,0.00,-0.93,0.00,0.00,none,0,0,20.04,3.01,0.00,19.90,0.022,0.022,0.0,0.050
20,1749142488.04,75,0.023,0.024,0.040,0.359,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.06,3.01,0.00,19.80,0.023,0.023,0.0,0.050
21,1749142488.09,75,0.021,0.023,0.035,0.496,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.08,3.02,0.00,19.91,0.022,0.022,0.0,0.050
22,1749142488.14,75,0.020,0.022,0.033,0.461,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.09,3.02,0.00,19.84,0.023,0.023,0.0,0.050
23,1749142488.19,75,0.019,0.021,0.030,0.557,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.10,3.02,0.00,19.92,0.020,0.020,0.0,0.050
24,1749142488.24,75,0.018,0.021,0.029,0.664,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,3.02,0.00,19.86,0.022,0.022,0.0,0.050
25,1749142488.29,75,0.017,0.020,0.029,0.401,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.11,3.02,0.00,19.85,0.020,0.020,0.0,0.050
26,1749142488.34,75,0.017,0.020,0.031,1.180,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.86,0.022,0.022,0.0,0.050
27,1749142488.39,75,0.018,0.021,0.032,0.561,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.12,3.02,0.00,19.84,0.021,0.021,0.0,0.050
28,1749142488.44,75,0.019,0.022,0.033,0.498,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.84,0.021,0.021,0.0,0.050
29,1749142488.49,75,0.020,0.022,0.034,0.498,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.90,0.022,0.022,0.0,0.050
30,1749142488.54,75,0.021,0.023,0.035,0.731,0.00,0.00,-0.93,0.00,0.01,none,0,0,20.13,3.03,0.00,19.96,0.020,0.020,0.0,0.050
