frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749072680.29,75,0.038,0.026,0.050,1.668,0.00,0.00,-0.95,0.00,0.07,none,1,35.85,5.17,0.00,19.85,0.024,0.024,0.0,0.051
3,1749072680.34,75,0.048,0.052,0.078,1.903,0.00,0.00,-0.95,0.00,0.08,none,0,36.16,5.23,0.00,19.91,0.022,0.022,0.0,0.051
4,1749072680.39,75,0.066,0.063,0.103,2.299,0.00,0.00,-0.95,0.00,0.08,none,0,36.15,5.23,0.00,19.90,0.024,0.024,0.0,0.051
5,1749072680.44,75,0.080,0.066,0.115,2.320,0.00,0.00,-0.94,0.00,0.07,none,0,36.05,5.21,0.00,19.89,0.022,0.022,0.0,0.052
6,1749072680.50,75,0.088,0.071,0.119,2.330,0.00,0.00,-0.94,0.00,0.06,none,0,35.92,5.18,0.00,19.95,0.022,0.022,0.0,0.051
7,1749072680.55,75,0.100,0.082,0.136,2.304,0.00,0.00,-0.94,0.00,0.05,none,0,35.77,5.15,0.00,19.87,0.022,0.022,0.0,0.052
8,1749072680.60,75,0.099,0.076,0.136,1.615,0.00,0.00,-0.93,0.00,0.04,none,0,35.64,5.13,0.00,19.81,0.021,0.021,0.0,0.052
9,1749072680.65,75,0.096,0.070,0.125,1.488,0.00,0.00,-0.93,0.00,0.03,none,0,35.53,5.11,0.00,19.80,0.023,0.023,0.0,0.052
10,1749072680.70,75,0.080,0.063,0.112,1.319,0.00,0.00,-0.93,0.00,0.03,none,0,35.43,5.09,0.00,19.93,0.020,0.020,0.0,0.051
11,1749072680.75,75,0.062,0.051,0.098,0.892,0.00,0.00,-0.93,0.00,0.02,none,0,35.33,5.07,0.00,19.87,0.023,0.023,0.0,0.051
12,1749072680.81,75,0.050,0.042,0.081,0.893,0.00,0.00,-0.93,0.00,0.02,none,0,35.26,5.05,0.00,19.84,0.022,0.022,0.0,0.052
13,1749072680.86,75,0.046,0.039,0.073,1.201,0.00,0.00,-0.93,0.00,0.01,none,0,35.18,5.04,0.00,19.94,0.024,0.024,0.0,0.051
14,1749072680.91,75,0.035,0.032,0.059,0.552,0.00,0.00,-0.93,0.00,0.01,none,0,35.13,5.03,0.00,19.81,0.020,0.020,0.0,0.052
15,1749072680.96,75,0.030,0.029,0.049,0.523,0.00,0.00,-0.93,0.00,0.00,none,0,35.07,5.01,0.00,19.93,0.023,0.023,0.0,0.052
16,1749072681.01,75,0.027,0.027,0.042,0.516,0.00,0.00,-0.93,0.00,0.00,none,0,35.03,5.01,0.00,19.88,0.021,0.021,0.0,0.052
17,1749072681.07,75,0.021,0.023,0.037,0.327,0.00,0.00,-0.93,0.00,0.00,none,0,35.02,5.00,0.00,19.78,0.023,0.023,0.0,0.052
18,1749072681.12,75,0.018,0.020,0.028,0.315,0.00,0.00,-0.93,0.00,0.00,none,0,35.05,5.01,0.00,19.86,0.021,0.021,0.0,0.052
19,1749072681.17,75,0.016,0.019,0.028,0.443,0.00,0.00,-0.93,0.00,0.01,none,0,35.08,5.02,0.00,19.82,0.020,0.020,0.0,0.051
20,1749072681.22,75,0.014,0.018,0.029,0.445,0.00,0.00,-0.93,0.00,0.01,none,0,35.11,5.02,0.00,19.78,0.024,0.024,0.0,0.051
21,1749072681.27,75,0.015,0.019,0.028,0.527,0.00,0.00,-0.93,0.00,0.01,none,0,35.13,5.03,0.00,19.95,0.024,0.024,0.0,0.051
22,1749072681.32,75,0.017,0.020,0.028,0.452,0.00,0.00,-0.93,0.00,0.01,none,0,35.14,5.03,0.00,19.86,0.025,0.025,0.0,0.051
23,1749072681.38,75,0.018,0.021,0.029,0.421,0.00,0.00,-0.93,0.00,0.01,none,0,35.16,5.03,0.00,19.88,0.026,0.026,0.0,0.051
24,1749072681.43,75,0.019,0.022,0.034,1.232,0.00,0.00,-0.93,0.00,0.01,none,0,35.17,5.03,0.00,19.83,0.023,0.023,0.0,0.052
25,1749072681.48,75,0.019,0.023,0.034,0.562,0.00,0.00,-0.93,0.00,0.01,none,0,35.18,5.04,0.00,19.78,0.024,0.024,0.0,0.052
26,1749072681.53,75,0.021,0.023,0.035,0.574,0.00,0.00,-0.93,0.00,0.01,none,0,35.19,5.04,0.00,19.79,0.022,0.022,0.0,0.052
27,1749072681.58,75,0.021,0.023,0.037,0.556,0.00,0.00,-0.93,0.00,0.01,none,0,35.19,5.04,0.00,19.93,0.022,0.022,0.0,0.051
28,1749072681.64,75,0.022,0.023,0.041,0.764,0.00,0.00,-0.93,0.00,0.01,none,0,35.19,5.04,0.00,19.78,0.021,0.021,0.0,0.051
29,1749072681.69,75,0.021,0.022,0.039,0.540,0.00,0.00,-0.93,0.00,0.01,none,0,35.20,5.04,0.00,19.97,0.022,0.022,0.0,0.051
30,1749072681.74,75,0.023,0.025,0.041,0.768,0.00,0.00,-0.93,0.00,0.01,none,0,35.20,5.04,0.00,19.94,0.025,0.025,0.0,0.051
31,1749072681.79,75,0.022,0.024,0.041,0.499,0.00,0.00,-0.94,0.00,0.01,none,0,35.20,5.04,0.00,19.94,0.020,0.020,0.0,0.051
32,1749072681.84,75,0.021,0.023,0.042,0.639,0.00,0.00,-0.94,0.00,0.01,none,0,35.20,5.04,0.00,19.81,0.023,0.023,0.0,0.051
33,1749072681.89,75,0.023,0.025,0.039,0.677,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.95,0.024,0.024,0.0,0.051
34,1749072681.94,75,0.024,0.026,0.040,0.731,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.79,0.025,0.025,0.0,0.053
35,1749072682.00,75,0.026,0.023,0.039,0.606,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.90,0.024,0.024,0.0,0.052
36,1749072682.05,75,0.026,0.024,0.039,0.558,0.00,0.00,-0.94,0.00,0.01,none,0,35.19,5.04,0.00,19.93,0.022,0.022,0.0,0.051
37,1749072682.10,75,0.027,0.024,0.039,0.688,0.00,0.00,-0.94,0.00,0.01,none,0,35.18,5.04,0.00,19.93,0.022,0.022,0.0,0.051
38,1749072682.15,75,0.025,0.024,0.039,0.512,0.00,0.00,-0.94,0.00,0.01,none,0,35.18,5.04,0.00,19.86,0.024,0.024,0.0,0.052
39,1749072682.20,75,0.026,0.024,0.038,0.626,0.00,0.00,-0.94,0.00,0.01,none,0,35.17,5.03,0.00,19.78,0.024,0.024,0.0,0.051
40,1749072682.26,75,0.025,0.023,0.037,0.575,0.00,0.00,-0.94,0.00,0.01,resume_reinforce,0,35.17,5.03,0.00,19.77,0.023,0.023,0.0,0.052
41,1749072682.31,75,0.087,0.070,0.102,5.100,0.00,-0.00,-0.94,-0.00,0.03,none,0,35.50,5.10,0.00,19.78,0.023,0.023,0.0,0.051
42,1749072682.36,73,2.684,1.772,2.489,184.077,0.00,-0.00,-0.94,-0.00,0.08,none,0,35.79,5.16,0.00,19.85,0.024,0.024,0.0,0.052
43,1749072682.41,74,4.488,3.105,4.607,136.307,0.01,-0.00,-0.94,-0.00,0.19,none,0,37.29,5.46,0.00,19.80,0.023,0.023,0.0,0.052
44,1749072682.46,75,5.589,4.080,5.791,81.771,0.02,-0.00,-0.95,-0.00,0.29,none,0,38.93,5.79,0.00,19.92,0.023,0.023,0.0,0.052
45,1749072682.52,75,6.287,4.682,6.534,50.876,0.03,-0.00,-0.96,0.00,0.39,none,0,40.35,6.07,0.00,19.77,0.022,0.022,0.0,0.052
46,1749072682.57,75,6.656,4.945,6.875,27.449,0.05,-0.00,-0.97,0.00,0.47,none,0,41.66,6.33,0.00,19.84,0.022,0.022,0.0,0.052
47,1749072682.62,74,4.222,3.359,4.642,9.897,0.08,-0.00,-0.98,0.00,0.55,none,0,42.97,6.59,0.00,19.97,0.024,0.024,0.0,0.051
48,1749072682.67,75,2.557,2.079,2.688,10.342,0.10,-0.00,-1.00,0.00,0.63,none,0,44.16,6.83,0.00,19.81,0.023,0.023,0.0,0.052
49,1749072682.72,75,1.703,1.245,1.799,15.587,0.14,-0.00,-1.01,0.00,0.71,none,0,45.31,7.06,0.00,19.85,0.023,0.023,0.0,0.051
50,1749072682.77,75,1.315,0.858,1.453,21.649,0.17,-0.00,-1.01,0.00,0.78,none,0,46.38,7.28,0.00,19.90,0.020,0.020,0.0,0.051
51,1749072682.83,75,1.267,0.842,1.524,24.270,0.22,-0.00,-1.02,0.00,0.86,none,0,47.55,7.51,0.00,19.79,0.025,0.025,0.0,0.052
52,1749072682.88,75,1.504,0.998,1.830,26.635,0.26,-0.00,-1.03,0.00,0.93,none,0,48.55,7.71,0.00,19.82,0.022,0.022,0.0,0.052
53,1749072682.93,75,1.815,1.235,2.236,32.849,0.31,-0.00,-1.04,0.00,1.00,none,0,49.58,7.92,0.00,19.81,0.019,0.019,0.0,0.052
54,1749072682.98,75,2.031,1.434,2.484,28.893,0.37,-0.00,-1.04,0.00,1.07,none,0,50.62,8.12,0.00,19.85,0.020,0.020,0.0,0.051
55,1749072683.03,75,2.250,1.543,2.626,31.087,0.42,-0.00,-1.05,0.00,1.13,none,0,51.50,8.30,0.00,19.84,0.019,0.019,0.0,0.051
56,1749072683.09,75,2.366,1.553,2.765,29.091,0.48,-0.00,-1.05,0.00,1.19,none,0,52.49,8.50,0.00,19.79,0.021,0.021,0.0,0.051
57,1749072683.14,75,2.540,1.609,2.901,31.257,0.54,-0.00,-1.05,0.00,1.24,none,0,53.38,8.68,0.00,19.92,0.023,0.023,0.0,0.051
58,1749072683.19,75,2.620,1.596,2.881,32.606,0.61,-0.00,-1.06,0.00,1.29,none,0,54.12,8.82,0.00,19.88,0.022,0.022,0.0,0.051
59,1749072683.24,74,2.681,1.531,2.876,33.293,0.67,-0.00,-1.06,0.00,1.34,none,0,54.85,8.97,0.00,19.96,0.023,0.023,0.0,0.051
60,1749072683.29,75,2.882,1.490,2.877,91.799,0.74,-0.00,-1.06,0.00,1.39,none,0,55.55,9.11,0.00,19.96,0.023,0.023,0.0,0.051
61,1749072683.34,74,3.080,1.445,2.848,77.275,0.82,-0.00,-1.06,0.00,1.43,none,0,56.19,9.24,0.00,19.84,0.022,0.022,0.0,0.051
62,1749072683.39,75,3.198,1.366,2.702,39.159,0.89,-0.00,-1.06,0.00,1.47,none,0,56.80,9.36,0.00,19.78,0.024,0.024,0.0,0.053
63,1749072683.45,74,3.482,1.320,2.648,49.522,0.97,-0.00,-1.06,0.00,1.51,none,0,57.39,9.48,0.00,19.84,0.022,0.022,0.0,0.052
64,1749072683.50,71,3.767,1.270,2.570,41.076,1.05,-0.00,-1.06,0.00,1.54,none,0,57.91,9.58,0.00,19.86,0.020,0.020,0.0,0.052
65,1749072683.55,74,3.991,1.208,2.552,50.090,1.13,-0.00,-1.06,0.00,1.57,none,0,58.43,9.69,0.00,19.79,0.022,0.022,0.0,0.052
66,1749072683.60,75,4.222,1.139,2.421,46.761,1.21,-0.00,-1.06,0.00,1.60,none,0,58.88,9.78,0.00,19.90,0.021,0.021,0.0,0.051
67,1749072683.65,73,4.598,1.105,2.463,48.058,1.30,-0.00,-1.06,0.00,1.63,none,0,59.32,9.86,0.00,19.83,0.023,0.023,0.0,0.051
68,1749072683.71,73,4.741,1.065,2.433,50.652,1.38,-0.00,-1.06,0.00,1.65,none,0,59.71,9.94,0.00,19.81,0.022,0.022,0.0,0.052
69,1749072683.76,74,4.590,1.017,2.423,39.872,1.46,-0.00,-1.06,0.00,1.68,none,0,60.05,10.01,0.00,19.93,0.022,0.022,0.0,0.051
70,1749072683.81,74,4.622,0.972,2.421,51.454,1.55,-0.00,-1.06,0.00,1.70,none,0,60.40,10.08,0.00,19.78,0.024,0.024,0.0,0.052
