frame,time,features,flow_left,flow_center,flow_right
2,1748951945.43,150,0.967,0.430,0.985
3,1748951945.53,150,1.055,0.478,1.098
4,1748951945.63,150,0.959,0.428,0.998
5,1748951945.72,150,0.840,0.365,0.868
6,1748951945.82,150,0.722,0.313,0.751
7,1748951945.91,150,0.559,0.239,0.586
8,1748951946.00,150,0.349,0.141,0.362
9,1748951946.10,150,0.202,0.079,0.210
10,1748951946.20,150,0.109,0.046,0.116
11,1748951946.30,150,0.063,0.028,0.063
12,1748951946.39,150,0.038,0.018,0.037
13,1748951946.49,150,0.026,0.013,0.027
14,1748951946.59,150,0.028,0.013,0.027
15,1748951946.69,150,0.032,0.015,0.033
16,1748951946.79,150,0.037,0.016,0.038
17,1748951946.88,150,0.038,0.016,0.039
18,1748951946.97,150,0.037,0.015,0.038
19,1748951947.06,150,0.035,0.014,0.037
20,1748951947.15,150,0.035,0.014,0.036
21,1748951947.24,150,0.033,0.013,0.033
22,1748951947.33,150,0.031,0.012,0.031
23,1748951947.42,150,0.029,0.012,0.029
24,1748951947.52,150,3.034,4.596,3.480
25,1748951947.61,122,6.437,7.540,6.474
26,1748951947.70,122,7.669,8.656,7.481
27,1748951947.79,122,7.786,8.810,7.579
28,1748951947.87,122,8.166,9.124,7.956
29,1748951947.97,122,5.761,5.100,5.126
30,1748951948.06,122,3.076,2.834,2.856
31,1748951948.16,122,2.502,2.345,2.529
32,1748951948.24,122,3.003,2.774,3.067
33,1748951948.35,122,3.284,3.076,3.365
34,1748951948.45,122,3.209,3.004,3.288
35,1748951948.54,122,2.930,2.725,3.016
36,1748951948.63,122,2.692,2.476,2.785
37,1748951948.73,122,2.440,2.217,2.541
38,1748951948.82,122,2.069,1.843,2.173
39,1748951948.92,122,1.836,1.590,1.943
40,1748951949.02,122,1.653,1.388,1.782
41,1748951949.11,122,1.446,1.163,1.572
42,1748951949.20,122,1.271,0.970,1.403
43,1748951949.30,122,1.166,0.841,1.303
44,1748951949.39,122,1.060,0.710,1.212
45,1748951949.48,121,0.963,0.594,1.105
46,1748951949.57,121,0.898,0.512,1.057
47,1748951949.67,121,0.869,0.447,1.033
48,1748951949.77,121,0.838,0.390,1.017
49,1748951949.87,120,0.807,0.331,0.974
50,1748951949.97,118,0.809,0.289,0.991
51,1748951950.07,118,0.814,0.253,0.997
52,1748951950.17,118,0.804,0.213,0.981
53,1748951950.27,118,0.815,0.184,1.004
54,1748951950.37,117,0.801,0.158,1.014
55,1748951950.47,116,0.782,0.137,0.993
56,1748951950.57,115,0.770,0.116,0.965
57,1748951950.67,115,0.764,0.105,0.976
58,1748951950.76,115,0.732,0.090,0.945
59,1748951950.86,114,0.730,0.082,0.931
60,1748951950.96,113,0.710,0.073,0.945
61,1748951951.06,108,0.692,0.069,0.955
62,1748951951.16,104,0.672,0.065,0.951
63,1748951951.27,103,0.660,0.063,0.924
64,1748951951.37,101,0.641,0.061,0.905
65,1748951951.47,99,0.636,0.060,0.888
66,1748951951.57,97,0.634,0.060,0.853
67,1748951951.69,97,0.658,0.059,0.844
68,1748951951.79,95,0.664,0.056,0.831
69,1748951951.89,95,0.670,0.054,0.816
70,1748951952.00,94,0.666,0.052,0.771
71,1748951952.10,93,0.646,0.049,0.722
72,1748951952.20,93,0.616,0.046,0.640
73,1748951952.29,79,0.724,0.065,0.789
