frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
10,1748942208.88,150,0.080,0.031,0.074,0.01,0.00,0.00,-0.94,0.00,0,nudge,0.022
11,1748942209.99,150,3.223,2.441,2.764,0.36,0.21,-0.00,-0.89,-0.00,0,none,2.819
12,1748942210.08,150,2.785,2.262,2.472,0.37,0.24,-0.00,-0.88,-0.00,0,none,0.057
13,1748942210.17,150,4.601,2.867,3.585,0.34,0.28,-0.00,-0.87,-0.00,0,none,3.553
14,1748942210.28,150,4.296,2.895,3.496,0.30,0.31,0.00,-0.87,-0.00,0,none,0.577
15,1748942210.38,150,4.630,3.246,3.839,0.25,0.34,0.00,-0.87,-0.00,0,none,0.033
16,1748942210.49,150,3.538,2.463,2.931,0.20,0.36,0.00,-0.87,-0.00,0,nudge,0.036
17,1748942211.60,150,4.716,3.146,4.488,0.39,0.65,0.00,-0.81,-0.00,0,none,6.117
18,1748942211.70,148,2.977,2.482,3.381,0.39,0.69,0.00,-0.80,-0.00,0,none,0.053
19,1748942211.79,148,4.342,2.469,3.602,0.35,0.73,0.00,-0.79,-0.00,0,none,3.226
20,1748942211.90,148,4.418,2.535,3.685,0.31,0.76,0.00,-0.79,-0.00,0,none,0.459
21,1748942211.99,148,4.464,2.578,3.736,0.26,0.79,0.00,-0.78,-0.00,0,none,0.040
22,1748942212.10,148,3.017,1.629,1.923,0.20,0.82,0.00,-0.78,-0.00,0,none,0.049
23,1748942212.22,148,2.789,1.400,1.694,0.14,0.84,0.00,-0.78,-0.00,0,nudge,0.045
24,1748942213.34,141,1.858,1.868,2.533,0.37,1.09,0.00,-0.72,-0.00,0,none,4.132
25,1748942213.43,135,1.674,1.681,2.336,0.37,1.13,0.00,-0.72,-0.00,0,none,0.032
26,1748942213.54,135,2.706,1.925,3.200,0.34,1.16,0.00,-0.71,-0.00,0,none,4.215
27,1748942213.64,135,2.869,2.085,3.357,0.30,1.19,0.00,-0.71,-0.00,0,none,0.059
28,1748942213.74,135,2.966,2.184,3.454,0.25,1.22,0.00,-0.70,-0.00,0,none,0.033
29,1748942213.84,135,2.000,1.210,1.849,0.21,1.24,0.00,-0.70,-0.00,0,none,0.024
30,1748942213.93,135,1.793,1.006,1.639,0.16,1.26,0.00,-0.70,-0.00,0,nudge,0.021
31,1748942215.04,128,1.893,1.439,1.529,0.38,1.52,0.00,-0.64,-0.00,0,none,3.118
32,1748942215.13,128,1.777,1.325,1.417,0.37,1.56,0.00,-0.63,-0.00,0,none,0.034
33,1748942215.25,127,3.498,1.608,1.945,0.34,1.60,0.00,-0.63,-0.00,0,none,6.411
34,1748942215.35,127,3.636,1.741,2.082,0.30,1.63,0.00,-0.62,-0.00,0,none,0.065
35,1748942215.45,127,3.709,1.818,2.159,0.25,1.66,0.00,-0.62,-0.00,0,none,0.023
36,1748942215.55,126,2.409,0.974,1.235,0.19,1.68,0.00,-0.62,-0.00,0,nudge,0.020
37,1748942216.68,123,3.570,1.559,2.217,0.39,1.97,0.00,-0.56,-0.00,0,none,3.467
38,1748942216.79,122,1.958,1.393,1.793,0.38,2.01,0.00,-0.55,-0.00,0,none,0.285
39,1748942216.90,122,2.067,1.450,1.925,0.34,2.05,0.00,-0.55,-0.00,0,none,0.681
40,1748942217.00,121,2.132,1.508,1.985,0.29,2.08,0.00,-0.54,-0.00,0,none,0.031
41,1748942217.11,121,2.156,1.534,2.008,0.25,2.10,0.00,-0.54,-0.00,0,none,0.044
42,1748942217.20,121,0.880,0.832,0.906,0.20,2.13,0.00,-0.54,-0.00,0,nudge,0.022
43,1748942218.31,112,1.539,1.277,1.370,0.39,2.42,0.00,-0.48,-0.00,0,none,2.477
44,1748942218.42,109,1.367,1.167,1.185,0.38,2.45,0.00,-0.47,-0.00,0,none,0.027
45,1748942218.51,108,1.470,1.278,1.290,0.35,2.49,0.00,-0.46,-0.00,0,none,0.392
46,1748942218.62,107,1.554,1.363,1.378,0.31,2.52,0.00,-0.46,-0.00,0,none,0.034
47,1748942218.72,107,1.603,1.408,1.423,0.25,2.56,0.00,-0.46,-0.00,0,none,0.021
48,1748942218.84,107,0.749,0.756,0.764,0.19,2.58,0.00,-0.46,-0.00,0,nudge,0.022
