frame,time,features,flow_left,flow_center,flow_right
2,1748952468.75,150,1.503,0.660,1.038
3,1748952468.85,150,1.667,0.747,1.159
4,1748952468.96,150,1.576,0.706,1.092
5,1748952469.05,150,1.342,0.606,0.930
6,1748952469.16,150,1.169,0.523,0.811
7,1748952469.25,150,0.914,0.412,0.635
8,1748952469.34,150,0.568,0.256,0.393
9,1748952469.44,150,0.298,0.135,0.208
10,1748952469.54,150,0.171,0.075,0.121
11,1748952469.65,150,0.082,0.041,0.059
12,1748952469.75,150,0.045,0.024,0.034
13,1748952469.84,150,0.034,0.018,0.026
14,1748952469.94,150,0.036,0.020,0.027
15,1748952470.03,150,0.047,0.023,0.034
16,1748952470.11,150,0.056,0.025,0.039
17,1748952470.20,150,0.058,0.025,0.040
18,1748952470.30,150,0.058,0.025,0.040
19,1748952470.38,150,0.054,0.023,0.038
20,1748952470.48,150,0.051,0.022,0.036
21,1748952470.57,150,0.043,0.021,0.031
22,1748952470.67,150,0.040,0.020,0.028
23,1748952470.76,150,0.042,0.019,0.029
24,1748952470.86,142,3.775,2.015,4.245
25,1748952470.96,114,5.392,3.639,6.711
26,1748952471.06,107,6.223,4.407,7.563
27,1748952471.15,106,6.350,4.461,7.674
28,1748952471.25,106,6.920,4.953,8.207
29,1748952471.34,106,3.887,3.569,4.660
30,1748952471.44,106,3.059,2.574,2.954
31,1748952471.53,106,2.938,2.418,2.791
32,1748952471.63,106,3.443,2.929,3.299
33,1748952471.73,106,3.521,3.015,3.402
34,1748952471.82,106,3.334,2.843,3.232
35,1748952471.93,106,3.098,2.679,3.014
36,1748952472.03,106,2.858,2.440,2.783
37,1748952472.13,106,2.679,2.208,2.614
38,1748952472.23,106,2.379,1.865,2.326
39,1748952472.32,106,2.200,1.629,2.157
40,1748952472.43,106,2.049,1.379,2.016
41,1748952472.52,106,1.901,1.149,1.876
42,1748952472.62,106,1.810,0.956,1.794
43,1748952472.72,106,1.810,0.836,1.811
44,1748952472.82,106,1.846,0.730,1.868
45,1748952472.93,106,1.841,0.603,1.894
46,1748952473.03,106,1.923,0.536,2.018
47,1748952473.13,90,1.970,0.455,2.041
48,1748952473.24,88,2.075,0.401,2.118
49,1748952473.34,87,2.182,0.349,2.175
50,1748952473.46,79,2.331,0.306,2.250
51,1748952473.57,78,2.417,0.273,2.308
52,1748952473.67,72,2.451,0.251,2.654
53,1748952473.77,67,2.459,0.220,2.586
54,1748952473.87,63,2.488,0.207,2.427
55,1748952473.97,60,2.449,0.189,2.240
56,1748952474.07,58,2.448,0.173,2.061
57,1748952474.16,52,2.250,0.161,1.632
58,1748952474.27,52,2.104,0.162,1.551
59,1748952474.38,52,1.927,0.157,1.477
60,1748952474.48,52,1.744,0.153,1.416
61,1748952474.60,52,1.729,0.164,1.333
62,1748952474.70,52,1.734,0.162,1.256
63,1748952474.81,51,1.686,0.156,1.231
64,1748952474.90,51,1.627,0.149,1.375
65,1748952475.00,51,1.636,0.150,1.382
66,1748952475.09,51,1.561,0.136,1.399
67,1748952475.20,51,1.661,0.139,1.487
68,1748952475.30,49,1.843,0.139,1.410
69,1748952475.41,48,1.868,0.147,1.255
70,1748952475.51,44,1.831,0.148,1.359
71,1748952475.61,42,1.785,0.155,1.464
72,1748952475.71,40,1.900,0.152,1.521
73,1748952475.82,39,1.799,0.150,1.755
74,1748952475.93,39,1.913,0.150,1.873
75,1748952476.04,38,1.838,0.146,1.795
76,1748952476.16,38,1.815,0.148,1.813
77,1748952476.26,38,1.549,0.152,1.813
78,1748952476.38,37,1.706,0.154,1.628
79,1748952476.48,34,1.561,0.154,1.676
80,1748952476.60,34,1.638,0.161,1.816
81,1748952476.71,34,1.636,0.161,1.902
82,1748952476.86,34,1.898,0.171,1.593
83,1748952476.95,34,1.473,0.175,1.416
84,1748952477.07,33,1.299,0.178,1.041
85,1748952477.18,33,1.363,0.186,0.611
86,1748952477.29,32,1.065,0.186,0.140
87,1748952477.39,32,0.624,0.177,0.069
88,1748952477.49,32,0.567,0.176,0.000
89,1748952477.58,31,0.467,0.171,0.000
90,1748952477.68,31,0.099,0.167,0.000
91,1748952477.79,31,0.061,0.170,0.000
92,1748952477.90,31,0.035,0.175,0.000
93,1748952478.00,31,0.000,0.178,0.000
94,1748952478.10,31,0.000,0.188,0.000
95,1748952478.22,31,0.000,0.193,0.000
96,1748952478.31,31,0.000,0.191,0.000
97,1748952478.40,31,0.000,0.194,0.000
98,1748952478.50,31,0.000,0.198,0.000
99,1748952478.59,31,0.000,0.196,0.000
100,1748952478.71,30,0.000,0.203,0.000
101,1748952478.81,30,0.000,0.215,0.000
102,1748952478.91,30,0.000,0.218,0.000
103,1748952479.01,30,0.000,0.227,0.000
104,1748952479.11,30,0.000,0.237,0.000
105,1748952479.21,30,0.000,0.238,0.000
106,1748952479.31,30,0.000,0.238,0.000
107,1748952479.40,30,0.000,0.248,0.000
108,1748952479.51,30,0.000,0.262,0.000
109,1748952479.62,28,0.000,0.271,0.000
110,1748952479.71,28,0.000,0.275,0.000
111,1748952479.82,28,0.000,0.291,0.000
112,1748952479.93,28,0.000,0.304,0.060
113,1748952480.03,28,0.000,0.308,0.124
114,1748952480.14,28,0.000,0.325,0.194
115,1748952480.25,28,0.000,0.347,0.264
116,1748952480.35,27,0.000,0.363,0.341
117,1748952480.45,27,0.000,0.375,0.355
118,1748952480.55,27,0.000,0.392,0.370
119,1748952480.65,27,0.000,0.403,0.384
120,1748952480.75,27,0.000,0.417,0.403
121,1748952480.85,27,0.080,0.433,0.420
122,1748952480.95,27,0.167,0.462,0.452
123,1748952481.08,27,0.305,0.516,0.510
124,1748952481.18,26,0.405,0.554,0.548
125,1748952481.28,26,0.509,0.594,0.584
126,1748952481.38,21,0.543,0.630,0.625
127,1748952481.49,21,0.585,0.669,0.671
128,1748952481.59,21,0.590,0.694,0.695
129,1748952481.70,18,0.640,0.736,0.745
130,1748952481.81,14,0.699,0.805,0.815
131,1748952481.93,11,0.780,0.672,0.904
132,1748952482.04,11,0.867,0.525,0.999
133,1748952482.16,11,0.995,0.363,1.130
134,1748952482.26,11,1.097,0.198,1.245
135,1748952482.36,11,1.213,0.000,1.405
136,1748952482.46,6,1.337,0.000,1.597
137,1748952482.58,6,1.582,0.000,1.640
138,1748952482.70,3,1.311,0.000,1.694
139,1748952482.80,2,1.059,0.000,1.756
140,1748952482.90,1,0.780,0.000,2.688
141,1748952483.00,1,0.460,0.000,2.797
142,1748952483.10,1,0.000,0.000,3.077
143,1748952483.19,1,0.000,0.000,2.996
144,1748952483.29,1,0.000,0.000,3.142
145,1748952483.38,0,0.000,0.000,1.855
