frame,time,features,flow_left,flow_center,flow_right
2,1748875524.22,149,179.391,127.202,165.726
3,1748875524.33,122,122.279,80.866,119.006
4,1748875524.44,121,83.244,55.662,81.268
5,1748875524.55,117,66.823,45.187,66.453
6,1748875524.66,117,58.724,39.737,58.363
7,1748875524.77,116,27.864,17.450,30.132
8,1748875524.89,115,18.826,13.434,20.287
9,1748875525.00,114,20.419,14.530,22.586
10,1748875525.11,110,19.153,13.524,21.346
11,1748875525.25,110,16.195,11.558,19.420
12,1748875525.36,109,12.759,9.430,16.886
13,1748875525.47,109,10.295,7.259,14.258
14,1748875525.58,107,9.066,5.711,12.484
15,1748875525.69,107,8.170,4.493,10.798
16,1748875525.80,105,7.002,3.218,9.177
17,1748875525.91,105,6.714,2.506,8.354
18,1748875526.03,103,6.327,2.022,7.352
19,1748875526.17,103,6.047,1.625,7.334
20,1748875526.30,102,5.426,1.238,6.795
21,1748875526.42,98,5.133,1.013,6.254
22,1748875526.55,96,4.908,0.805,5.695
23,1748875526.66,96,4.616,0.669,5.373
24,1748875526.77,95,4.242,0.590,4.304
25,1748875526.89,95,4.162,0.555,4.090
26,1748875527.00,93,4.025,0.521,3.897
27,1748875527.13,92,3.377,0.512,3.443
28,1748875527.24,90,3.037,0.512,3.554
29,1748875527.35,90,2.725,0.481,3.591
30,1748875527.48,90,2.583,0.497,3.991
31,1748875527.61,90,2.477,0.513,4.026
32,1748875527.72,88,2.901,0.515,3.830
33,1748875527.82,87,2.829,0.517,3.767
34,1748875527.93,86,2.924,0.523,3.312
35,1748875528.06,83,2.703,0.519,2.751
36,1748875528.16,82,2.401,0.520,2.196
37,1748875528.27,81,1.674,0.531,2.196
38,1748875528.40,81,1.360,0.561,3.078
39,1748875528.52,80,0.986,0.591,3.967
40,1748875528.63,78,0.811,0.581,3.639
41,1748875528.76,76,0.641,0.603,3.400
42,1748875528.86,76,0.630,0.605,3.227
43,1748875528.97,76,0.621,0.594,1.858
44,1748875529.10,76,0.642,0.610,1.002
45,1748875529.22,76,0.754,0.643,0.944
46,1748875529.35,71,0.828,0.650,1.007
47,1748875529.47,69,0.927,0.686,1.239
48,1748875529.60,65,0.980,0.710,1.522
49,1748875529.72,64,1.069,0.710,1.836
50,1748875529.83,61,0.966,0.698,1.661
51,1748875529.94,61,0.875,0.702,1.436
52,1748875530.05,61,0.824,0.709,1.030
53,1748875530.16,60,0.816,0.714,0.525
54,1748875530.27,58,0.714,0.714,0.000
55,1748875530.38,58,0.773,0.752,0.141
56,1748875530.49,58,0.827,0.775,0.333
57,1748875530.60,58,0.873,0.811,0.523
58,1748875530.73,58,0.952,0.881,0.751
59,1748875530.83,57,0.979,0.926,0.957
60,1748875530.96,55,1.071,1.000,1.068
61,1748875531.07,49,1.129,1.038,1.096
62,1748875531.19,49,1.398,1.103,1.191
63,1748875531.32,46,1.553,1.125,1.257
64,1748875531.44,46,1.732,1.202,1.376
65,1748875531.55,36,1.790,1.189,1.419
66,1748875531.66,28,1.914,1.210,1.534
67,1748875531.77,28,1.822,1.188,1.581
68,1748875531.89,21,1.801,1.207,1.875
69,1748875532.02,21,1.867,1.233,1.971
70,1748875532.13,21,2.026,1.325,2.273
71,1748875532.27,19,2.249,1.588,2.486
73,1748875533.50,126,3.132,2.991,3.135
74,1748875535.10,92,4.049,4.320,3.719
75,1748875536.69,94,4.679,5.358,4.329
76,1748875538.28,94,5.169,6.321,4.636
