frame,time,features,flow_left,flow_center,flow_right
2,1748953004.46,150,0.672,0.460,0.053
3,1748953004.55,150,0.796,0.586,0.047
4,1748953004.65,150,0.726,0.547,0.041
5,1748953004.75,150,0.636,0.475,0.037
6,1748953004.84,150,0.550,0.412,0.034
7,1748953004.94,150,0.440,0.339,0.026
8,1748953005.04,150,0.269,0.205,0.019
9,1748953005.12,150,0.157,0.116,0.015
10,1748953005.22,150,0.085,0.065,0.011
11,1748953005.32,150,0.047,0.034,0.007
12,1748953005.42,150,0.026,0.020,0.005
13,1748953005.51,150,0.019,0.014,0.005
14,1748953005.61,150,0.020,0.015,0.005
15,1748953005.71,150,0.026,0.019,0.005
16,1748953005.81,150,0.029,0.025,0.005
17,1748953005.91,150,0.030,0.025,0.005
18,1748953006.00,150,0.030,0.025,0.005
19,1748953006.10,150,0.029,0.024,0.004
20,1748953006.22,150,0.029,0.024,0.004
21,1748953006.31,150,0.027,0.019,0.004
22,1748953006.41,150,0.025,0.017,0.003
23,1748953006.51,150,0.023,0.018,0.003
24,1748953006.61,140,1.348,1.930,2.644
25,1748953006.71,147,2.168,2.864,3.700
26,1748953006.80,146,2.789,3.102,3.828
27,1748953006.89,150,2.848,3.110,3.886
28,1748953006.98,150,3.167,3.189,3.940
29,1748953007.06,150,2.323,1.380,1.364
30,1748953007.15,150,2.001,0.631,0.384
31,1748953007.24,150,1.866,0.620,0.351
32,1748953007.34,150,2.290,0.866,0.424
33,1748953007.44,150,2.394,0.946,0.494
34,1748953007.54,150,2.351,1.064,0.606
35,1748953007.63,150,2.187,1.031,0.702
36,1748953007.73,150,2.019,1.001,0.815
37,1748953007.83,150,1.774,0.918,0.893
38,1748953007.92,150,1.557,0.921,1.002
39,1748953008.02,150,1.305,0.871,1.096
40,1748953008.13,150,1.132,0.866,1.206
41,1748953008.23,150,0.962,0.809,1.284
42,1748953008.33,150,0.853,0.761,1.353
43,1748953008.43,150,0.778,0.725,1.421
44,1748953008.53,150,0.727,0.670,1.475
45,1748953008.63,149,0.686,0.598,1.535
46,1748953008.74,150,0.684,0.540,1.640
47,1748953008.85,131,0.708,0.482,1.762
48,1748953008.95,141,0.758,0.430,1.851
49,1748953009.10,138,0.845,0.398,1.921
50,1748953009.20,141,0.876,0.368,1.908
51,1748953009.31,150,0.884,0.327,1.799
52,1748953009.42,141,0.863,0.300,1.645
53,1748953009.52,146,0.804,0.258,1.421
54,1748953009.61,146,0.692,0.204,1.160
55,1748953009.71,149,0.648,0.186,0.991
56,1748953009.82,149,0.571,0.170,0.868
57,1748953009.92,150,0.502,0.153,0.783
58,1748953010.03,149,0.447,0.143,0.780
59,1748953010.15,150,0.418,0.137,0.850
60,1748953010.24,150,0.378,0.130,0.855
61,1748953010.35,150,0.363,0.124,0.853
62,1748953010.45,149,0.363,0.120,0.841
63,1748953010.57,150,0.369,0.120,0.837
64,1748953010.67,150,0.354,0.112,0.788
65,1748953010.77,150,0.351,0.108,0.774
66,1748953010.87,150,0.350,0.107,0.775
67,1748953010.99,150,0.349,0.103,0.778
68,1748953011.09,150,0.326,0.095,0.752
69,1748953011.20,150,0.311,0.098,0.722
70,1748953011.32,150,0.294,0.099,0.733
71,1748953011.42,150,0.276,0.096,0.700
72,1748953011.53,150,0.253,0.098,0.652
73,1748953011.64,150,0.239,0.097,0.618
74,1748953011.74,150,0.226,0.095,0.588
75,1748953011.84,150,0.212,0.086,0.502
76,1748953011.94,150,0.209,0.081,0.454
77,1748953012.04,150,0.206,0.073,0.428
78,1748953012.15,148,0.216,0.069,0.419
79,1748953012.26,150,0.226,0.062,0.402
80,1748953012.36,150,0.234,0.062,0.398
81,1748953012.47,150,0.248,0.063,0.392
82,1748953012.58,150,0.262,0.064,0.381
83,1748953012.69,150,0.257,0.064,0.365
84,1748953012.79,150,0.254,0.065,0.357
85,1748953012.90,150,0.259,0.066,0.354
86,1748953013.01,150,0.246,0.065,0.342
87,1748953013.11,149,0.232,0.064,0.337
88,1748953013.21,149,0.237,0.065,0.313
89,1748953013.31,150,0.232,0.066,0.292
90,1748953013.41,150,0.215,0.064,0.269
91,1748953013.51,150,0.203,0.066,0.253
92,1748953013.61,150,0.190,0.067,0.237
93,1748953013.72,150,0.173,0.069,0.235
94,1748953013.83,149,0.164,0.072,0.247
95,1748953013.94,149,0.162,0.075,0.265
96,1748953014.05,150,0.167,0.077,0.283
97,1748953014.15,150,0.182,0.082,0.305
98,1748953014.26,146,0.190,0.082,0.308
99,1748953014.37,148,0.191,0.079,0.293
100,1748953014.47,148,0.191,0.077,0.272
101,1748953014.58,149,0.189,0.075,0.262
102,1748953014.68,149,0.176,0.071,0.235
103,1748953014.79,150,0.170,0.072,0.232
104,1748953014.89,150,0.165,0.074,0.232
105,1748953014.99,150,0.167,0.077,0.237
106,1748953015.10,150,0.169,0.081,0.232
107,1748953015.20,149,0.168,0.082,0.234
108,1748953015.31,150,0.166,0.083,0.236
109,1748953015.41,150,0.169,0.083,0.242
110,1748953015.52,150,0.174,0.085,0.251
111,1748953015.63,150,0.176,0.084,0.254
112,1748953015.74,150,0.184,0.084,0.266
113,1748953015.84,150,0.186,0.083,0.268
114,1748953015.95,148,0.188,0.084,0.268
115,1748953016.05,148,0.183,0.084,0.263
116,1748953016.15,150,0.183,0.085,0.263
117,1748953016.26,150,0.185,0.088,0.266
118,1748953016.37,150,0.191,0.094,0.279
119,1748953016.47,150,0.194,0.101,0.286
120,1748953016.59,150,0.207,0.110,0.306
121,1748953016.71,150,0.215,0.110,0.325
122,1748953016.81,148,0.220,0.107,0.339
123,1748953016.92,150,0.220,0.101,0.348
124,1748953017.03,136,0.233,0.096,0.383
125,1748953017.13,123,0.232,0.086,0.388
126,1748953017.24,150,0.237,0.088,0.394
127,1748953017.34,147,0.241,0.090,0.398
128,1748953017.45,150,0.253,0.094,0.420
129,1748953017.55,147,0.255,0.095,0.421
130,1748953017.68,143,0.278,0.102,0.472
131,1748953017.79,131,0.290,0.105,0.508
132,1748953017.89,140,0.324,0.107,0.595
133,1748953017.99,146,0.345,0.112,0.670
134,1748953018.10,131,0.380,0.120,0.833
135,1748953018.20,123,0.415,0.128,0.835
136,1748953018.32,131,0.506,0.155,0.958
137,1748953018.42,125,0.619,0.212,0.995
138,1748953018.52,93,0.681,0.306,1.053
139,1748953018.63,147,0.804,0.444,1.038
140,1748953018.72,146,0.875,0.581,1.152
141,1748953018.84,148,0.971,0.785,1.202
142,1748953018.93,128,1.076,0.950,1.338
143,1748953019.04,116,1.363,1.163,1.478
144,1748953019.13,69,1.609,1.252,1.440
145,1748953019.23,93,2.312,1.377,1.705
146,1748953019.32,14,3.369,1.934,1.704
147,1748953019.41,26,4.640,2.505,1.602
148,1748953019.49,11,4.378,3.109,1.369
149,1748953019.58,32,4.599,3.122,1.433
150,1748953019.67,69,4.016,3.009,1.062
151,1748953019.75,53,3.059,2.858,1.267
152,1748953019.84,59,1.768,2.557,1.260
153,1748953019.93,35,2.011,2.252,1.292
154,1748953020.03,40,2.628,2.295,1.506
155,1748953020.13,130,2.480,2.172,1.428
156,1748953020.21,132,2.207,1.555,0.960
157,1748953020.32,131,2.028,1.058,0.755
158,1748953020.41,133,1.680,0.471,0.612
159,1748953020.51,128,0.434,0.186,0.145
160,1748953020.60,131,0.313,0.158,0.096
161,1748953020.69,129,0.258,0.131,0.082
162,1748953020.78,128,0.177,0.123,0.070
163,1748953020.88,132,0.134,0.098,0.054
164,1748953020.97,133,0.097,0.100,0.054
165,1748953021.06,128,0.078,0.095,0.052
166,1748953021.14,128,0.064,0.087,0.050
167,1748953021.22,130,0.048,0.095,0.045
168,1748953021.32,131,0.039,0.102,0.044
169,1748953021.40,122,0.031,0.101,0.042
170,1748953021.49,131,0.028,0.104,0.040
171,1748953021.58,129,0.026,0.115,0.043
172,1748953021.68,126,0.024,0.103,0.042
173,1748953021.76,124,0.022,0.099,0.043
174,1748953021.85,132,0.022,0.094,0.042
175,1748953021.93,126,0.023,0.095,0.041
176,1748953022.03,131,0.024,0.098,0.042
177,1748953022.11,131,0.027,0.107,0.043
178,1748953022.20,127,0.023,0.089,0.039
179,1748953022.30,129,0.023,0.083,0.036
180,1748953022.38,129,0.023,0.077,0.035
181,1748953022.48,128,0.024,0.083,0.037
182,1748953022.56,130,0.026,0.091,0.040
183,1748953022.66,130,0.029,0.107,0.043
184,1748953022.74,130,0.027,0.103,0.042
185,1748953022.83,131,0.022,0.086,0.038
186,1748953022.92,130,0.019,0.076,0.036
187,1748953023.01,129,0.019,0.076,0.035
188,1748953023.10,132,0.022,0.083,0.038
189,1748953023.18,125,0.024,0.095,0.041
190,1748953023.28,132,0.024,0.097,0.041
191,1748953023.36,128,0.021,0.086,0.036
192,1748953023.45,128,0.019,0.081,0.033
193,1748953023.54,133,0.019,0.078,0.032
194,1748953023.63,131,0.021,0.079,0.034
195,1748953023.73,134,0.024,0.095,0.037
196,1748953023.81,135,0.026,0.106,0.041
197,1748953023.90,133,0.023,0.091,0.038
198,1748953023.99,130,0.019,0.079,0.034
199,1748953024.07,126,0.018,0.074,0.030
200,1748953024.15,132,0.017,0.072,0.030
201,1748953024.24,134,0.018,0.077,0.032
202,1748953024.33,138,0.019,0.084,0.034
203,1748953024.42,134,0.019,0.078,0.033
204,1748953024.50,135,0.018,0.076,0.033
205,1748953024.59,129,0.018,0.077,0.032
206,1748953024.67,130,0.019,0.082,0.033
207,1748953024.76,132,0.022,0.093,0.034
208,1748953024.85,127,0.020,0.089,0.032
209,1748953024.93,128,0.020,0.089,0.033
210,1748953025.03,127,0.021,0.087,0.035
211,1748953025.13,128,0.021,0.085,0.037
212,1748953025.23,132,0.023,0.083,0.038
213,1748953025.31,127,0.023,0.082,0.039
214,1748953025.42,129,0.023,0.081,0.038
215,1748953025.50,135,0.021,0.080,0.035
216,1748953025.59,121,0.511,0.254,0.080
