frame,time,features,flow_left,flow_center,flow_right,speed
2,1748962704.16,75,0.247,0.116,0.243,0.05
3,1748962704.30,75,0.234,0.109,0.230,0.04
4,1748962704.42,75,0.183,0.085,0.183,0.02
5,1748962704.52,75,0.135,0.063,0.143,1.84
6,1748962706.66,75,3.925,3.900,6.624,1.85
7,1748962706.77,75,5.725,10.207,7.473,1.80
8,1748962706.88,75,8.022,10.821,9.067,1.79
9,1748962708.02,75,6.687,12.648,10.440,0.49
10,1748962709.15,75,5.823,17.326,11.064,0.12
11,1748962710.27,75,6.104,11.300,8.610,0.07
12,1748962711.39,75,4.616,6.392,5.536,0.07
13,1748962712.52,75,3.391,3.617,3.614,0.07
14,1748962713.65,75,2.647,2.165,2.585,0.07
15,1748962714.77,75,2.282,1.420,2.054,0.06
16,1748962714.88,75,1.211,0.737,1.086,0.08
17,1748962715.00,75,8.110,20.009,8.257,0.29
18,1748962716.11,75,19.736,21.471,9.872,0.16
19,1748962716.22,75,10.742,11.228,5.540,0.15
20,1748962717.33,75,8.911,8.732,7.873,0.08
21,1748962718.47,75,6.450,5.238,5.363,0.06
22,1748962719.58,75,4.489,3.050,3.603,0.07
