frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std2,1748939910.69,150,421.473,385.686,316.208,0.28,0.01,0.00,-0.88,0.00,1,none,252.942
54,1748939922.90,75,1.104,0.639,0.758,0.20,3.97,0.00,-0.51,-0.00,0,none,0.029
55,1748939923.00,75,1.010,0.544,0.653,0.15,3.99,0.00,-0.50,-0.00,0,nudge,0.021
56,1748939924.10,66,1.130,0.855,0.882,0.38,4.25,0.00,-0.45,-0.00,0,none,1.579
57,1748939924.21,64,1.112,0.827,0.855,0.37,4.29,0.00,-0.44,-0.00,0,none,0.045
58,1748939924.32,64,1.276,0.958,1.116,0.34,4.33,0.00,-0.43,-0.00,0,none,1.415
59,1748939924.42,64,1.362,1.044,1.203,0.29,4.36,0.00,-0.43,-0.00,0,none,0.046
60,1748939924.53,64,1.420,1.100,1.258,0.24,4.38,0.00,-0.43,-0.00,0,none,0.037
61,1748939924.63,63,0.646,0.600,0.746,0.19,4.41,0.00,-0.42,-0.00,0,nudge,0.021
62,1748939925.74,58,1.251,0.965,1.116,0.39,4.69,0.00,-0.36,-0.00,0,none,1.474
63,1748939925.84,56,1.072,0.837,0.857,0.38,4.73,0.00,-0.36,-0.00,0,none,0.083
64,1748939925.94,55,1.158,0.927,1.013,0.35,4.76,0.00,-0.35,-0.00,0,none,0.836
65,1748939926.04,54,1.210,0.981,1.068,0.31,4.80,0.00,-0.35,-0.00,0,none,0.018
66,1748939926.13,54,1.246,1.020,1.108,0.26,4.83,0.00,-0.34,-0.00,0,none,0.018
67,1748939926.25,54,0.535,0.557,0.641,0.21,4.85,0.00,-0.34,-0.00,0,none,0.018
68,1748939926.34,54,0.467,0.471,0.554,0.15,4.87,0.00,-0.34,-0.00,0,nudge,0.013
