frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
2,1748940499.50,150,403.320,365.889,282.861,0.31,0.02,0.00,-0.88,0.00,1,none,242.107
3,1748940499.61,129,358.439,260.777,218.574,0.46,0.04,0.00,-0.91,0.00,0,none,111.329
4,1748940499.70,127,248.792,184.732,155.965,0.59,0.08,0.00,-0.93,0.00,0,none,4.394
5,1748940499.78,126,187.503,138.857,117.819,0.72,0.14,0.00,-0.95,0.00,0,none,1.752
6,1748940499.87,126,152.566,113.401,97.028,0.84,0.20,0.00,-0.97,0.00,0,none,1.710
7,1748940499.96,126,75.049,42.993,43.530,0.97,0.29,0.00,-0.99,0.00,0,dodge_right,1.192
8,1748940501.56,121,18.072,16.435,16.473,1.34,2.03,0.81,-1.03,0.41,0,none,17.844
9,1748940501.67,121,12.961,11.131,12.301,1.27,2.14,0.90,-1.02,0.34,0,none,4.626
10,1748940501.77,119,14.227,12.754,13.650,1.16,2.22,0.98,-1.03,0.25,0,none,8.381
11,1748940501.87,119,12.932,11.832,15.211,1.00,2.31,1.05,-1.03,0.17,0,none,16.074
12,1748940501.97,119,10.319,9.798,13.133,0.82,2.38,1.12,-1.04,0.13,0,none,0.938
13,1748940502.08,119,4.863,5.583,9.809,0.64,2.44,1.17,-1.05,0.13,0,resume,0.452
14,1748940502.19,119,4.205,4.441,7.959,0.54,2.49,1.21,-1.04,0.89,0,none,0.177
15,1748940502.29,114,3.888,5.027,9.529,0.53,2.53,1.23,-1.04,1.10,0,none,17.035
16,1748940502.39,112,5.523,5.771,7.683,0.62,2.58,1.26,-1.04,0.92,0,none,9.364
17,1748940502.49,105,6.621,7.016,9.346,0.76,2.65,1.28,-1.05,0.52,0,none,9.081
18,1748940502.60,104,6.674,7.188,9.529,0.88,2.73,1.29,-1.06,0.15,0,none,0.682
19,1748940502.69,104,6.766,7.273,9.638,1.00,2.81,1.30,-1.07,-0.14,0,none,0.310
20,1748940502.79,104,5.508,5.137,6.415,1.12,2.92,1.31,-1.08,-0.34,0,none,0.370
21,1748940502.89,103,3.138,3.466,4.450,1.24,3.05,1.32,-1.09,-0.40,0,none,0.289
22,1748940503.00,103,2.031,1.966,2.325,1.33,3.17,1.33,-1.09,-0.36,0,none,0.277
23,1748940503.09,103,2.120,1.818,2.097,1.43,3.33,1.34,-1.10,-0.24,0,none,0.239
24,1748940503.21,103,2.399,2.099,2.393,1.50,3.47,1.34,-1.10,-0.12,0,none,0.581
25,1748940503.30,103,2.361,2.113,2.429,1.56,3.63,1.35,-1.10,-0.01,0,none,0.387
26,1748940503.40,103,2.168,1.945,2.314,1.62,3.77,1.35,-1.10,0.06,0,none,0.697
27,1748940503.50,100,1.898,1.697,2.109,1.67,3.95,1.36,-1.10,0.11,0,none,0.462
28,1748940503.61,99,1.739,1.538,2.025,1.71,4.12,1.36,-1.10,0.11,0,none,0.501
29,1748940503.71,99,1.477,1.275,1.819,1.75,4.29,1.36,-1.10,0.09,0,none,0.544
30,1748940503.80,98,1.293,1.099,1.711,1.78,4.47,1.36,-1.09,0.06,0,none,0.493
31,1748940503.91,98,1.139,0.935,1.611,1.81,4.66,1.37,-1.09,0.02,0,none,0.587
32,1748940504.01,98,1.044,0.824,1.606,1.83,4.84,1.37,-1.09,-0.01,0,none,0.694
33,1748940504.12,98,0.909,0.697,1.554,1.85,5.03,1.37,-1.09,-0.03,0,none,0.662
34,1748940504.22,98,0.787,0.590,1.518,1.87,5.26,1.37,-1.09,-0.03,0,none,0.707
35,1748940504.34,97,0.728,0.522,1.588,1.89,5.46,1.37,-1.09,-0.03,0,none,0.922
36,1748940504.45,96,0.654,0.453,1.587,1.90,5.65,1.37,-1.09,-0.02,0,none,0.777
37,1748940504.55,95,0.601,0.381,1.529,1.91,5.85,1.37,-1.09,-0.01,0,none,0.730
38,1748940504.65,94,0.562,0.327,1.498,1.92,6.09,1.37,-1.09,0.00,0,none,0.692
39,1748940504.78,94,0.537,0.291,1.528,1.93,6.29,1.38,-1.08,0.01,0,none,0.872
40,1748940504.88,94,0.475,0.235,1.440,1.94,6.50,1.38,-1.08,0.01,0,none,0.800
41,1748940504.99,93,0.446,0.198,1.411,1.94,6.70,1.38,-1.08,0.01,0,none,0.791
42,1748940505.09,92,0.420,0.171,1.402,1.95,6.91,1.38,-1.08,0.01,0,none,0.721
43,1748940505.20,89,0.408,0.152,1.419,1.94,7.14,1.38,-1.08,0.00,0,none,0.813
44,1748940505.32,75,1.839,1.186,3.211,1.82,7.33,1.38,-1.08,-0.00,0,none,7.917
45,1748940505.42,70,2.633,2.241,3.921,1.62,7.51,1.38,-1.10,-0.01,0,none,3.365
46,1748940505.52,69,3.000,2.916,4.983,1.38,7.67,1.38,-1.12,-0.01,0,none,3.636
47,1748940505.63,69,3.673,3.408,5.497,1.10,7.82,1.38,-1.15,-0.01,0,none,1.774
48,1748940505.75,69,3.831,3.613,5.822,0.85,7.92,1.38,-1.16,-0.01,0,none,3.889
49,1748940505.85,69,2.348,2.546,3.806,0.62,7.99,1.38,-1.16,-0.01,0,none,0.262
50,1748940505.95,69,1.621,1.589,2.979,0.38,8.04,1.38,-1.16,-0.01,0,none,0.132
51,1748940506.06,69,1.423,1.126,1.948,0.19,8.07,1.38,-1.15,-0.01,0,nudge,0.445
