frame,time,features,flow_left,flow_center,flow_right
2,1748954178.46,150,0.793,0.522,0.053
3,1748954178.64,150,0.966,0.712,0.049
4,1748954178.74,150,0.773,0.565,0.038
5,1748954178.85,150,0.632,0.467,0.033
6,1748954178.96,150,0.530,0.390,0.029
7,1748954179.06,150,0.382,0.293,0.019
8,1748954179.16,150,0.158,0.116,0.012
9,1748954179.25,150,0.081,0.062,0.009
10,1748954179.35,150,0.043,0.031,0.007
11,1748954179.46,150,0.025,0.019,0.005
12,1748954179.56,150,0.020,0.015,0.005
13,1748954179.66,150,0.023,0.017,0.004
14,1748954179.76,150,0.028,0.021,0.005
15,1748954179.86,150,0.031,0.025,0.005
16,1748954179.96,150,0.031,0.025,0.005
17,1748954180.06,150,0.030,0.024,0.004
18,1748954180.15,150,0.029,0.023,0.004
19,1748954180.25,150,0.027,0.021,0.004
20,1748954180.35,150,0.025,0.017,0.003
21,1748954180.44,150,0.023,0.016,0.003
22,1748954180.54,150,0.021,0.017,0.003
23,1748954180.64,140,1.413,1.875,2.503
24,1748954180.73,147,2.271,2.829,3.655
25,1748954180.84,147,2.923,3.059,3.791
26,1748954180.94,150,2.966,3.091,3.852
27,1748954181.05,150,3.458,3.225,3.925
28,1748954181.15,150,2.588,1.594,1.513
29,1748954181.25,150,2.223,0.890,0.462
30,1748954181.35,150,2.040,0.882,0.440
31,1748954181.45,150,2.460,1.114,0.534
32,1748954181.55,150,2.392,1.190,0.617
33,1748954181.65,150,2.204,1.154,0.704
34,1748954181.75,150,2.016,1.107,0.801
35,1748954181.85,150,1.825,1.088,0.930
36,1748954181.96,150,1.580,0.984,1.017
37,1748954182.06,150,1.339,0.943,1.129
38,1748954182.16,150,1.148,0.882,1.194
39,1748954182.26,150,0.993,0.820,1.302
40,1748954182.36,150,0.849,0.745,1.351
41,1748954182.47,150,0.762,0.701,1.390
42,1748954182.58,150,0.722,0.654,1.463
43,1748954182.69,148,0.725,0.609,1.639
44,1748954182.80,150,0.720,0.544,1.743
45,1748954182.92,132,0.753,0.493,1.890
46,1748954183.02,137,0.782,0.446,1.967
47,1748954183.14,149,0.800,0.374,1.941
48,1748954183.25,143,0.810,0.335,1.841
49,1748954183.36,150,0.806,0.300,1.704
50,1748954183.47,147,0.771,0.267,1.529
51,1748954183.58,146,0.735,0.233,1.352
52,1748954183.69,147,0.684,0.214,1.205
53,1748954183.80,149,0.621,0.193,1.053
54,1748954183.90,149,0.541,0.174,0.933
55,1748954184.01,150,0.480,0.153,0.840
56,1748954184.12,150,0.430,0.141,0.836
57,1748954184.22,150,0.391,0.130,0.841
58,1748954184.35,150,0.379,0.131,0.892
59,1748954184.47,150,0.391,0.132,0.917
60,1748954184.59,150,0.392,0.131,0.899
61,1748954184.70,150,0.389,0.125,0.890
62,1748954184.82,150,0.399,0.123,0.902
63,1748954184.95,150,0.384,0.116,0.861
64,1748954185.06,150,0.364,0.110,0.839
65,1748954185.16,150,0.341,0.104,0.821
66,1748954185.28,150,0.322,0.105,0.802
67,1748954185.38,150,0.286,0.102,0.740
68,1748954185.50,150,0.269,0.101,0.683
69,1748954185.61,150,0.253,0.098,0.631
70,1748954185.73,150,0.249,0.100,0.613
71,1748954185.84,150,0.240,0.097,0.542
72,1748954185.96,150,0.244,0.092,0.516
73,1748954186.07,150,0.236,0.083,0.490
74,1748954186.17,149,0.241,0.077,0.469
75,1748954186.29,149,0.248,0.071,0.440
76,1748954186.40,150,0.251,0.065,0.439
77,1748954186.51,150,0.249,0.064,0.411
78,1748954186.62,150,0.253,0.064,0.387
79,1748954186.74,150,0.272,0.067,0.386
80,1748954186.85,150,0.266,0.066,0.373
81,1748954186.96,150,0.265,0.068,0.365
82,1748954187.06,150,0.258,0.067,0.363
83,1748954187.16,149,0.253,0.068,0.359
84,1748954187.30,150,0.253,0.070,0.336
85,1748954187.41,150,0.252,0.072,0.320
86,1748954187.52,150,0.236,0.072,0.295
87,1748954187.63,150,0.229,0.076,0.282
88,1748954187.75,150,0.223,0.080,0.273
89,1748954187.87,149,0.190,0.079,0.268
90,1748954187.97,149,0.175,0.079,0.276
91,1748954188.08,150,0.180,0.082,0.293
92,1748954188.19,150,0.181,0.083,0.300
93,1748954188.30,145,0.182,0.080,0.299
94,1748954188.41,148,0.187,0.080,0.297
95,1748954188.52,148,0.189,0.078,0.276
96,1748954188.63,149,0.184,0.075,0.263
97,1748954188.73,148,0.182,0.074,0.247
98,1748954188.83,150,0.175,0.074,0.239
99,1748954188.94,150,0.171,0.075,0.231
100,1748954189.05,150,0.174,0.079,0.236
101,1748954189.16,150,0.174,0.082,0.233
102,1748954189.26,150,0.171,0.084,0.233
103,1748954189.37,150,0.175,0.085,0.240
104,1748954189.48,150,0.179,0.086,0.251
105,1748954189.59,150,0.176,0.085,0.253
106,1748954189.70,150,0.181,0.086,0.266
107,1748954189.82,148,0.191,0.086,0.279
108,1748954189.93,148,0.190,0.087,0.279
109,1748954190.04,148,0.190,0.088,0.276
110,1748954190.16,150,0.200,0.093,0.286
111,1748954190.27,150,0.202,0.097,0.290
112,1748954190.40,150,0.206,0.103,0.303
113,1748954190.53,150,0.219,0.113,0.323
114,1748954190.66,149,0.234,0.113,0.354
115,1748954190.78,149,0.234,0.109,0.366
116,1748954190.90,148,0.238,0.107,0.380
117,1748954191.02,150,0.244,0.103,0.400
118,1748954191.14,122,0.247,0.096,0.424
119,1748954191.28,141,0.263,0.101,0.442
120,1748954191.41,144,0.279,0.109,0.461
121,1748954191.53,148,0.299,0.109,0.500
122,1748954191.65,145,0.310,0.110,0.524
123,1748954191.77,139,0.319,0.114,0.544
124,1748954191.88,138,0.325,0.119,0.596
125,1748954192.00,142,0.349,0.120,0.702
126,1748954192.12,138,0.377,0.135,0.856
127,1748954192.25,125,0.453,0.163,0.942
128,1748954192.36,132,0.551,0.189,1.057
129,1748954192.49,101,0.692,0.310,1.136
130,1748954192.63,120,0.798,0.471,1.230
131,1748954192.73,143,0.889,0.599,1.230
132,1748954192.83,147,0.958,0.736,1.297
133,1748954192.92,142,1.041,0.917,1.375
134,1748954193.03,113,1.159,1.064,1.495
135,1748954193.12,119,1.381,1.294,1.536
136,1748954193.21,67,1.824,1.323,1.634
137,1748954193.31,19,2.795,2.327,1.622
138,1748954193.39,13,2.808,3.056,1.833
139,1748954193.48,22,3.296,3.159,1.685
140,1748954193.58,6,2.879,3.574,1.521
141,1748954193.67,61,2.484,3.542,1.793
142,1748954193.76,66,1.610,2.763,1.870
143,1748954193.84,68,1.607,2.355,1.871
144,1748954193.93,32,1.199,2.556,1.886
145,1748954194.03,30,2.451,2.385,2.109
146,1748954194.12,104,2.895,2.488,1.787
147,1748954194.21,136,2.647,2.106,1.472
148,1748954194.30,127,2.475,1.596,0.972
149,1748954194.39,132,2.144,1.016,0.780
150,1748954194.48,133,0.943,0.396,0.409
151,1748954194.57,130,0.299,0.154,0.101
152,1748954194.68,128,0.275,0.151,0.099
153,1748954194.78,132,0.217,0.129,0.085
154,1748954194.88,127,0.149,0.127,0.068
155,1748954194.98,129,0.111,0.090,0.051
156,1748954195.08,132,0.086,0.086,0.048
157,1748954195.17,124,0.063,0.092,0.041
