frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749133221.75,75,0.040,0.021,0.041,1.471,0.00,0.00,-0.96,0.00,0.06,none,1,20.57,3.11,0.00,14.30,0.021,0.021,0.0,0.070
3,1749133221.78,75,0.046,0.042,0.056,2.164,0.00,0.00,-0.95,0.00,0.08,none,0,20.74,3.15,0.00,19.89,0.023,0.023,0.0,0.050
4,1749133221.83,75,0.059,0.052,0.079,1.988,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.83,0.023,0.023,0.0,0.050
5,1749133221.88,75,0.070,0.057,0.099,2.290,0.00,0.00,-0.94,0.00,0.07,none,0,20.73,3.15,0.00,19.86,0.024,0.024,0.0,0.050
6,1749133221.93,75,0.078,0.057,0.108,2.455,0.00,0.00,-0.94,0.00,0.06,none,0,20.64,3.13,0.00,19.77,0.021,0.021,0.0,0.051
7,1749133221.98,75,0.086,0.063,0.109,2.479,0.00,0.00,-0.94,0.00,0.05,none,0,20.56,3.11,0.00,19.88,0.021,0.021,0.0,0.050
8,1749133222.04,75,0.084,0.066,0.111,2.031,0.00,0.00,-0.94,0.00,0.04,none,0,20.47,3.09,0.00,19.90,0.021,0.021,0.0,0.050
9,1749133222.08,75,0.082,0.063,0.109,1.379,0.00,0.00,-0.93,0.00,0.04,none,0,20.38,3.08,0.00,19.96,0.025,0.025,0.0,0.050
10,1749133222.14,75,0.079,0.061,0.106,1.491,0.00,0.00,-0.93,0.00,0.03,none,0,20.32,3.06,0.00,19.84,0.020,0.020,0.0,0.050
11,1749133222.19,75,0.074,0.059,0.103,1.136,0.00,0.00,-0.93,0.00,0.02,none,0,20.25,3.05,0.00,19.83,0.023,0.023,0.0,0.050
12,1749133222.24,75,0.073,0.060,0.105,0.908,0.00,0.00,-0.93,0.00,0.02,none,0,20.19,3.04,0.00,19.80,0.026,0.026,0.0,0.051
13,1749133222.29,75,0.072,0.057,0.102,0.851,0.00,0.00,-0.93,0.00,0.01,none,0,20.15,3.03,0.00,19.85,0.023,0.023,0.0,0.050
14,1749133222.34,75,0.066,0.052,0.097,1.419,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.86,0.023,0.023,0.0,0.050
15,1749133222.39,75,0.058,0.047,0.085,0.585,0.00,0.00,-0.93,0.00,0.01,none,0,20.07,3.01,0.00,19.86,0.023,0.023,0.0,0.050
16,1749133222.44,75,0.050,0.044,0.073,0.522,0.00,0.00,-0.93,0.00,0.00,none,0,20.03,3.01,0.00,19.91,0.022,0.022,0.0,0.050
