frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749150151.77,75,0.031,0.046,0.057,2.781,0.35,-1.17,-0.92,-0.02,0.96,dodge_left,1,1,20.59,2.03,0.00,0.44,0.021,0.021,0.0,2.298
4,1749150155.04,68,19.617,17.389,16.054,12.007,0.65,-1.81,-0.95,-0.01,0.41,none,0,0,24.15,2.21,0.00,0.96,0.022,0.022,0.0,1.041
5,1749150155.07,75,13.184,11.746,10.879,11.520,0.67,-1.82,-0.95,-0.01,0.40,none,0,0,24.05,2.20,0.00,19.93,0.023,0.023,0.0,0.050
6,1749150155.12,75,9.992,8.983,8.422,11.160,0.68,-1.84,-0.95,0.02,0.39,resume,0,0,23.95,2.20,0.00,19.97,0.023,0.023,0.0,0.050
7,1749150155.17,75,8.271,7.562,7.155,27.603,0.70,-1.85,-0.95,-0.12,0.39,none,0,0,23.88,2.19,0.00,19.95,0.022,0.022,0.0,0.050
8,1749150155.22,70,8.608,8.313,7.266,176.289,0.71,-1.86,-0.95,-0.19,0.40,none,0,0,23.97,2.20,0.00,19.79,0.024,0.024,0.0,0.051
9,1749150155.27,74,8.281,8.100,7.192,109.261,0.73,-1.87,-0.95,-0.22,0.45,none,0,0,24.33,2.22,0.00,19.85,0.023,0.023,0.0,0.050
10,1749150155.32,72,7.814,7.659,6.937,71.460,0.75,-1.88,-0.95,-0.23,0.51,none,0,0,24.97,2.25,0.00,19.97,0.022,0.022,0.0,0.050
11,1749150155.37,74,7.409,7.157,6.605,53.900,0.78,-1.89,-0.96,-0.22,0.58,none,0,0,25.59,2.28,0.00,19.86,0.022,0.022,0.0,0.050
12,1749150155.42,75,6.915,6.618,6.176,25.182,0.81,-1.90,-0.97,-0.19,0.65,none,0,0,26.30,2.32,0.00,19.94,0.023,0.023,0.0,0.050
13,1749150155.47,75,7.059,6.694,6.292,13.748,0.84,-1.90,-0.97,-0.14,0.72,none,0,0,26.98,2.35,0.00,19.97,0.021,0.021,0.0,0.050
14,1749150155.52,75,3.209,3.255,3.152,10.584,0.88,-1.91,-0.98,-0.10,0.79,none,0,0,27.73,2.39,0.00,19.83,0.023,0.023,0.0,0.050
15,1749150155.57,75,3.212,3.269,3.212,12.820,0.92,-1.92,-0.99,-0.05,0.86,none,0,0,28.38,2.42,0.00,19.85,0.022,0.022,0.0,0.050
16,1749150155.62,75,3.248,3.311,3.256,19.428,0.96,-1.92,-0.99,-0.01,0.93,none,0,0,29.06,2.45,0.00,19.97,0.022,0.022,0.0,0.050
17,1749150155.67,75,3.194,3.252,3.200,18.254,1.01,-1.93,-1.00,0.03,0.99,none,0,0,29.72,2.49,0.00,19.81,0.021,0.021,0.0,0.050
18,1749150155.72,75,2.274,2.184,2.591,20.567,1.06,-1.94,-1.00,0.06,1.05,none,0,0,30.31,2.52,0.00,19.97,0.021,0.021,0.0,0.050
19,1749150155.77,75,1.755,1.651,2.083,21.006,1.11,-1.94,-1.01,0.08,1.11,none,0,0,30.92,2.55,0.00,19.96,0.020,0.020,0.0,0.050
20,1749150155.82,75,1.439,1.366,1.765,24.011,1.17,-1.94,-1.01,0.10,1.17,none,0,0,31.47,2.57,0.00,19.86,0.020,0.020,0.0,0.050
21,1749150155.87,75,1.153,1.232,1.586,22.620,1.23,-1.95,-1.02,0.11,1.22,none,0,0,32.06,2.60,0.00,19.85,0.023,0.023,0.0,0.050
22,1749150155.92,75,1.024,1.217,1.543,23.602,1.29,-1.95,-1.02,0.11,1.27,none,0,0,32.55,2.63,0.00,19.88,0.022,0.022,0.0,0.050
23,1749150155.98,75,0.993,1.310,1.618,23.336,1.36,-1.96,-1.02,0.10,1.32,none,0,0,33.08,2.65,0.00,19.96,0.021,0.021,0.0,0.050
24,1749150156.03,74,1.045,1.456,1.773,25.501,1.42,-1.96,-1.02,0.09,1.36,none,0,0,33.54,2.68,0.00,19.97,0.024,0.024,0.0,0.050
25,1749150156.08,75,1.115,1.585,1.850,22.932,1.49,-1.96,-1.02,0.08,1.41,none,0,0,33.95,2.70,0.00,19.95,0.024,0.024,0.0,0.050
26,1749150156.13,74,1.150,1.644,1.895,24.916,1.57,-1.97,-1.02,0.06,1.45,none,0,0,34.36,2.72,0.00,19.96,0.024,0.024,0.0,0.050
27,1749150156.18,75,1.172,1.721,1.941,27.946,1.64,-1.97,-1.02,0.05,1.48,none,0,0,34.72,2.74,0.00,19.91,0.023,0.023,0.0,0.050
28,1749150156.23,75,1.171,1.812,1.967,27.351,3.06,-3.17,-1.16,0.41,0.93,dodge_left,0,1,35.08,2.75,0.00,0.44,0.024,0.024,0.0,2.264
30,1749150159.50,74,2.959,9.573,4.933,13.197,3.21,-3.81,-1.19,0.39,0.37,resume,0,0,23.70,2.18,0.00,0.96,0.021,0.021,0.0,1.041
31,1749150159.53,75,2.852,9.437,4.854,15.383,3.22,-3.82,-1.19,0.28,0.36,none,0,0,23.61,2.18,0.00,19.94,0.022,0.022,0.0,0.050
32,1749150159.58,75,3.402,10.266,5.804,290.188,3.24,-3.84,-1.19,0.17,0.38,none,0,0,23.77,2.19,0.00,19.79,0.022,0.022,0.0,0.051
33,1749150159.63,75,3.820,10.722,6.490,121.730,3.25,-3.85,-1.20,0.08,0.44,none,0,0,24.19,2.21,0.00,19.77,0.022,0.022,0.0,0.051
34,1749150159.68,75,4.090,10.987,6.992,91.827,3.27,-3.86,-1.21,0.01,0.50,none,0,0,24.71,2.24,0.00,19.90,0.017,0.017,0.0,0.050
35,1749150159.73,73,4.333,11.152,7.280,51.334,3.29,-3.87,-1.22,-0.03,0.57,none,0,0,25.45,2.27,0.00,19.77,0.019,0.019,0.0,0.051
36,1749150159.78,74,4.471,11.179,7.419,32.263,3.32,-3.88,-1.23,-0.06,0.64,none,0,0,26.18,2.31,0.00,19.85,0.020,0.020,0.0,0.050
37,1749150159.83,75,4.475,11.101,7.438,24.303,3.35,-3.89,-1.24,-0.08,0.71,none,0,0,26.91,2.35,0.00,19.91,0.023,0.023,0.0,0.050
38,1749150159.88,75,4.404,10.947,7.459,24.138,3.39,-3.89,-1.26,-0.08,0.77,none,0,0,27.50,2.38,0.00,19.96,0.019,0.019,0.0,0.050
39,1749150159.93,75,4.314,10.788,7.564,27.044,4.26,-5.17,-1.34,0.32,0.93,dodge_left,0,1,28.21,2.41,0.00,0.44,0.022,0.022,0.0,2.263
41,1749150163.21,74,5.375,6.678,5.744,6.613,4.40,-5.81,-1.37,0.31,0.37,resume,0,0,23.67,2.18,0.00,0.96,0.022,0.022,0.0,1.044
42,1749150163.24,75,5.375,6.656,5.708,13.202,4.41,-5.82,-1.38,0.20,0.36,none,0,0,23.58,2.18,0.00,19.83,0.022,0.022,0.0,0.050
43,1749150163.29,75,5.473,6.303,5.561,159.926,4.43,-5.84,-1.38,0.09,0.38,none,0,0,23.73,2.19,0.00,19.87,0.021,0.021,0.0,0.050
44,1749150163.34,74,5.550,6.215,5.529,112.832,4.44,-5.85,-1.38,0.01,0.44,none,0,0,24.21,2.21,0.00,19.91,0.023,0.023,0.0,0.050
45,1749150163.39,73,5.704,6.214,5.382,76.069,4.46,-5.86,-1.39,-0.05,0.51,none,0,0,24.77,2.24,0.00,19.87,0.020,0.020,0.0,0.050
46,1749150163.44,75,5.738,6.207,5.302,48.348,4.48,-5.87,-1.40,-0.08,0.57,none,0,0,25.55,2.28,0.00,19.90,0.023,0.023,0.0,0.050
47,1749150163.49,72,5.735,6.171,5.220,28.417,4.51,-5.88,-1.42,-0.10,0.64,none,0,0,26.24,2.31,0.00,19.81,0.024,0.024,0.0,0.050
48,1749150163.54,74,5.743,6.162,5.137,18.034,4.54,-5.89,-1.43,-0.10,0.71,none,0,0,26.84,2.34,0.00,19.92,0.021,0.021,0.0,0.050
49,1749150163.59,75,5.755,6.143,5.036,16.492,4.58,-5.90,-1.44,-0.09,0.78,none,0,0,27.52,2.38,0.00,19.81,0.023,0.023,0.0,0.050
50,1749150163.64,74,5.769,6.127,4.886,16.978,4.61,-5.90,-1.45,-0.08,0.84,none,0,0,28.19,2.41,0.00,19.86,0.021,0.021,0.0,0.050
51,1749150163.69,75,2.875,2.412,3.773,19.309,4.66,-5.91,-1.46,-0.06,0.90,none,0,0,28.81,2.44,0.00,19.96,0.020,0.020,0.0,0.050
52,1749150163.74,75,2.944,2.506,3.907,22.462,5.64,-7.17,-1.55,0.43,0.93,dodge_left,0,1,29.46,2.47,0.00,0.44,0.022,0.022,0.0,2.259
54,1749150167.01,68,4.566,6.344,6.964,9.554,6.00,-9.18,-1.62,0.54,0.93,dodge_left,0,1,23.68,2.18,0.00,0.31,0.021,0.021,0.0,3.268
56,1749150170.28,61,6.125,6.944,8.977,11.098,6.33,-11.18,-1.69,0.66,0.93,dodge_left,0,1,23.63,2.18,0.00,0.31,0.020,0.020,0.0,3.268
58,1749150173.54,46,7.282,9.122,11.654,7.814,6.67,-13.19,-1.76,0.78,0.93,dodge_left,0,1,23.63,2.18,0.00,0.31,0.020,0.020,0.0,3.265
