frame,time,features,flow_left,flow_center,flow_right,speed
2,1748938534.59,150,200.481,270.154,171.849,0.45
3,1748938534.72,125,124.823,179.505,114.319,0.62
4,1748938534.82,111,85.084,120.937,78.134,0.75
5,1748938534.91,108,67.473,94.247,62.452,0.89
6,1748938536.01,97,61.060,83.311,56.519,0.32
7,1748938537.13,97,25.371,33.707,25.544,0.10
8,1748938538.75,97,18.218,18.583,16.689,1.22
9,1748938540.35,98,19.683,19.880,17.678,1.37
10,1748938541.98,97,18.211,18.688,16.240,0.42
11,1748938543.59,99,12.125,12.352,10.762,0.31
12,1748938545.20,100,8.571,9.269,8.304,0.32
13,1748938545.30,99,6.903,8.037,6.678,0.34
14,1748938545.40,98,5.427,7.043,5.781,0.32
15,1748938545.51,100,4.844,6.519,5.562,0.25
16,1748938545.62,98,4.620,5.999,5.889,0.19
17,1748938545.72,97,4.533,5.743,6.248,0.14
18,1748938545.83,98,4.233,5.444,6.665,0.11
19,1748938545.93,98,3.939,5.476,6.716,0.10
20,1748938546.03,99,3.875,5.465,6.664,0.10
21,1748938546.13,98,3.866,5.466,6.498,0.10
22,1748938546.23,98,3.962,5.381,6.496,0.10
23,1748938546.33,98,4.110,5.316,6.556,0.10
24,1748938546.44,97,4.144,5.229,6.462,0.10
25,1748938546.54,95,3.355,4.139,5.113,0.10
26,1748938546.67,95,2.607,3.097,3.895,0.10
27,1748938546.78,95,1.754,2.102,2.613,0.10
28,1748938546.90,90,1.329,1.870,2.374,0.17
29,1748938547.01,86,1.250,1.743,3.024,0.37
30,1748938547.12,85,1.572,2.017,3.240,0.54
31,1748938547.23,84,1.599,2.064,3.385,0.71
32,1748938547.34,84,1.708,2.197,3.689,0.88
33,1748938547.44,83,1.429,1.572,2.962,1.01
34,1748938547.55,82,0.865,0.881,1.448,1.14
35,1748938547.65,80,0.684,0.756,1.521,1.25
36,1748938547.75,78,0.804,0.869,1.743,1.36
37,1748938547.86,76,0.819,0.880,1.792,1.46
38,1748938547.99,73,0.827,0.847,1.882,1.54
39,1748938548.10,70,0.724,0.777,2.042,1.61
40,1748938548.22,66,0.664,0.724,2.288,1.67
41,1748938548.35,62,0.592,0.649,2.316,1.72
42,1748938548.46,61,0.519,0.578,2.444,1.76
43,1748938548.57,60,0.411,0.487,2.297,1.79
44,1748938548.69,56,0.372,0.449,2.573,1.82
45,1748938548.80,50,0.317,0.393,2.533,1.85
46,1748938548.90,49,0.276,0.348,3.036,1.86
47,1748938549.02,49,0.259,0.323,3.321,1.88
48,1748938549.14,46,0.246,0.304,3.814,1.90
49,1748938549.25,45,0.220,0.247,3.320,1.91
50,1748938549.37,45,0.217,0.218,3.905,1.92
51,1748938549.49,45,0.210,0.194,3.548,1.93
52,1748938549.59,44,0.199,0.169,3.532,1.94
53,1748938549.70,41,0.196,0.148,2.708,1.94
54,1748938549.81,41,0.193,0.154,2.429,1.93
55,1748938549.92,39,0.515,0.630,2.144,1.77
56,1748938550.03,37,0.775,1.096,1.579,1.52
57,1748938550.16,37,1.178,1.463,0.818,1.27
58,1748938550.26,36,1.314,1.596,0.818,0.98
59,1748938550.39,36,1.318,1.609,0.818,0.72
60,1748938550.50,36,1.000,1.146,0.000,0.47
61,1748938550.62,36,0.801,0.744,0.000,0.22
62,1748938550.73,36,0.513,0.480,0.000,0.13
63,1748938550.84,36,0.475,0.460,0.000,0.26
64,1748938550.95,36,0.715,0.584,0.000,0.43
65,1748938551.05,36,0.837,0.723,0.000,0.57
66,1748938551.16,36,0.951,0.818,0.000,0.69
67,1748938551.27,36,0.993,0.868,0.000,0.79
68,1748938551.38,34,1.049,0.908,0.000,0.87
69,1748938551.51,34,0.997,0.942,0.000,0.92
70,1748938551.61,34,1.018,0.924,0.000,0.94
71,1748938551.74,34,0.985,0.913,0.000,0.94
72,1748938551.84,33,0.928,0.865,0.000,0.91
73,1748938551.97,32,0.861,0.809,0.000,0.86
74,1748938552.08,30,0.736,0.712,0.000,0.81
75,1748938552.18,30,0.630,0.630,0.000,0.73
76,1748938552.29,29,0.506,0.516,0.000,0.64
78,1748938553.53,104,0.618,0.581,0.000,0.25
79,1748938553.64,104,0.642,0.589,0.000,0.27
80,1748938553.75,104,0.731,0.655,0.000,0.25
81,1748938553.86,104,0.745,0.668,0.000,0.22
82,1748938553.97,104,0.744,0.661,0.000,0.17
83,1748938554.09,104,0.524,0.485,0.000,0.13
84,1748938554.22,104,0.379,0.355,0.000,0.10
85,1748938554.32,104,0.193,0.190,0.000,0.10
86,1748938554.44,104,0.107,0.108,0.000,0.10
87,1748938554.54,104,0.067,0.067,0.000,0.10
88,1748938554.67,104,0.064,0.063,0.000,0.10
89,1748938554.78,104,0.079,0.078,0.000,0.10
90,1748938554.90,104,0.100,0.099,0.000,0.10
91,1748938555.01,104,0.111,0.111,0.000,0.12
92,1748938555.12,104,0.118,0.118,0.000,0.13
93,1748938555.23,104,0.118,0.118,0.000,0.14
94,1748938555.33,104,0.118,0.118,0.000,0.14
95,1748938555.44,104,0.111,0.111,0.000,0.14
96,1748938555.58,104,0.111,0.111,0.000,0.14
97,1748938555.69,104,0.102,0.102,0.000,0.13
98,1748938555.82,104,0.094,0.094,0.000,0.12
99,1748938555.92,104,0.082,0.082,0.000,0.11
100,1748938556.03,104,0.071,0.071,0.000,0.10
101,1748938556.14,104,0.054,0.053,0.000,0.10
102,1748938556.27,104,0.043,0.043,0.000,0.10
103,1748938556.37,104,0.030,0.030,0.000,0.10
104,1748938556.48,104,0.021,0.020,0.000,0.10
105,1748938556.59,104,0.015,0.014,0.000,0.10
106,1748938556.70,104,0.013,0.012,0.000,0.10
107,1748938556.81,104,0.014,0.012,0.000,0.10
108,1748938556.94,104,0.019,0.017,0.000,0.10
109,1748938557.05,104,0.025,0.023,0.000,0.10
110,1748938557.16,104,0.030,0.028,0.000,0.10
111,1748938557.27,104,0.033,0.031,0.000,0.10
112,1748938557.37,104,0.035,0.034,0.000,0.10
113,1748938557.48,104,0.036,0.035,0.000,0.10
114,1748938557.59,104,0.036,0.035,0.000,0.10
115,1748938557.72,104,0.036,0.035,0.000,0.10
116,1748938557.83,104,0.035,0.034,0.000,0.10
117,1748938557.95,104,0.034,0.032,0.000,0.10
118,1748938558.06,104,0.031,0.030,0.000,0.10
119,1748938558.17,104,0.029,0.027,0.000,0.10
120,1748938558.28,104,0.025,0.024,0.000,0.10
121,1748938558.39,104,0.021,0.020,0.000,0.10
122,1748938558.49,104,0.017,0.016,0.000,0.10
123,1748938558.60,104,0.014,0.013,0.000,0.10
124,1748938558.71,104,0.011,0.010,0.000,0.10
125,1748938558.84,104,0.008,0.007,0.000,0.10
126,1748938558.96,104,0.006,0.005,0.000,0.10
127,1748938559.07,104,0.005,0.004,0.000,0.10
128,1748938559.18,104,0.005,0.004,0.000,0.10
129,1748938559.30,104,0.006,0.005,0.000,0.10
130,1748938559.40,104,0.007,0.007,0.000,0.10
131,1748938559.52,104,0.009,0.009,0.000,0.10
132,1748938559.65,104,0.010,0.010,0.000,0.10
133,1748938559.77,104,0.011,0.011,0.000,0.10
134,1748938559.88,104,0.012,0.012,0.000,0.10
135,1748938559.99,104,0.012,0.012,0.000,0.10
136,1748938560.12,104,0.012,0.012,0.000,0.10
137,1748938560.22,104,0.011,0.011,0.000,0.10
138,1748938560.33,104,0.010,0.010,0.000,0.10
139,1748938560.44,104,0.009,0.009,0.000,0.10
140,1748938560.55,104,0.009,0.008,0.000,0.10
141,1748938560.66,104,0.008,0.007,0.000,0.10
142,1748938560.77,104,0.007,0.006,0.000,0.10
143,1748938560.89,104,0.006,0.005,0.000,0.10
144,1748938560.99,104,0.005,0.004,0.000,0.10
145,1748938561.10,104,0.004,0.003,0.000,0.10
146,1748938561.22,104,0.003,0.002,0.000,0.10
147,1748938561.33,104,0.003,0.002,0.000,0.10
148,1748938561.44,104,0.003,0.001,0.000,0.10
149,1748938561.55,104,0.003,0.002,0.000,0.10
150,1748938561.66,104,0.003,0.002,0.000,0.10
151,1748938561.77,104,0.003,0.002,0.000,0.10
152,1748938561.87,104,0.004,0.003,0.000,0.10
153,1748938561.98,104,0.004,0.003,0.000,0.10
154,1748938562.11,104,0.004,0.003,0.000,0.10
155,1748938562.23,104,0.005,0.004,0.000,0.10
156,1748938562.34,104,0.005,0.004,0.000,0.10
157,1748938562.45,104,0.005,0.003,0.000,0.10
158,1748938562.56,104,0.004,0.003,0.000,0.10
