frame,time,features,flow_left,flow_center,flow_right,speed,x,y,z,yaw,collision,state,flow_std
10,1748943465.96,150,0.086,0.034,0.080,0.01,0.00,0.00,-0.94,0.00,0,resume,0.023
11,1748943466.07,150,0.064,0.026,0.060,0.06,0.00,-0.00,-0.94,-0.00,0,none,0.013
12,1748943466.17,150,7.316,6.434,5.662,0.24,0.01,-0.00,-0.95,-0.00,0,none,12.735
13,1748943466.26,128,11.081,9.055,7.533,0.42,0.04,-0.00,-0.97,-0.00,0,none,10.541
14,1748943466.36,126,10.288,8.524,7.079,0.57,0.08,-0.00,-0.99,-0.00,0,none,3.523
15,1748943466.46,124,10.335,8.549,7.123,0.70,0.13,-0.00,-1.00,-0.00,0,none,0.177
16,1748943466.54,123,10.773,8.931,7.565,0.82,0.19,-0.00,-1.02,-0.00,0,none,0.200
17,1748943466.63,123,7.076,5.706,4.894,0.95,0.28,-0.00,-1.03,-0.00,0,none,0.384
18,1748943466.72,123,3.351,3.018,3.035,1.07,0.37,-0.00,-1.04,-0.00,0,none,0.412
19,1748943466.81,123,2.620,2.412,2.719,1.19,0.49,-0.00,-1.05,-0.00,0,none,0.262
20,1748943466.92,123,3.297,3.067,3.404,1.30,0.62,-0.00,-1.06,-0.00,0,none,0.622
21,1748943467.02,123,3.591,3.371,3.708,1.39,0.75,-0.00,-1.06,-0.00,0,none,0.356
22,1748943467.12,123,3.443,3.228,3.550,1.46,0.87,0.00,-1.06,-0.00,0,none,0.261
23,1748943467.21,122,3.136,2.952,3.262,1.53,1.02,0.00,-1.06,-0.00,0,none,0.269
24,1748943467.30,122,2.894,2.670,2.992,1.59,1.18,0.00,-1.06,-0.00,0,none,0.304
25,1748943467.41,122,2.567,2.347,2.687,1.65,1.36,0.00,-1.06,-0.00,0,none,0.334
26,1748943467.52,122,2.178,1.962,2.322,1.69,1.52,0.00,-1.06,-0.00,0,none,0.349
27,1748943467.62,122,1.939,1.703,2.080,1.74,1.71,0.00,-1.06,-0.00,0,none,0.328
28,1748943467.72,122,1.804,1.514,1.940,1.77,1.89,0.00,-1.06,-0.00,0,none,0.444
29,1748943467.83,121,1.609,1.292,1.747,1.80,2.06,0.00,-1.06,-0.00,0,none,0.412
30,1748943467.92,121,1.388,1.058,1.532,1.82,2.22,0.00,-1.06,-0.00,0,none,0.362
31,1748943468.01,121,1.236,0.862,1.355,1.84,2.40,0.00,-1.06,-0.00,0,none,0.389
32,1748943468.11,121,1.138,0.744,1.280,1.86,2.60,0.00,-1.06,-0.00,0,resume_reinforce,0.422
33,1748943468.22,121,1.016,0.610,1.190,1.88,2.78,0.00,-1.06,-0.00,0,none,0.549
34,1748943468.32,121,0.926,0.518,1.127,1.89,2.97,0.00,-1.05,-0.00,0,none,0.446
35,1748943468.42,121,0.876,0.451,1.112,1.90,3.16,0.00,-1.05,-0.00,0,none,0.497
36,1748943468.51,121,0.816,0.391,1.090,1.91,3.33,0.00,-1.05,-0.00,0,none,0.477
37,1748943468.61,121,0.764,0.331,1.050,1.92,3.51,0.00,-1.05,-0.00,0,none,0.480
38,1748943468.70,121,0.722,0.273,1.004,1.93,3.73,0.00,-1.05,-0.00,0,none,0.544
39,1748943468.81,121,0.705,0.234,1.019,1.94,3.91,0.00,-1.05,-0.00,0,none,0.615
40,1748943468.91,121,0.681,0.200,0.993,1.94,4.09,0.00,-1.05,-0.00,0,none,0.521
41,1748943469.00,121,0.673,0.176,1.005,1.95,4.29,0.00,-1.05,-0.00,0,none,0.614
42,1748943469.10,119,0.669,0.158,1.019,1.95,4.49,0.00,-1.05,-0.00,0,none,0.597
43,1748943469.20,119,0.641,0.141,1.004,1.95,4.70,0.00,-1.05,-0.00,0,none,0.585
44,1748943469.31,118,0.655,0.128,1.001,1.96,4.89,0.00,-1.05,-0.00,0,none,0.711
45,1748943469.41,117,0.686,0.120,1.036,1.96,5.09,0.00,-1.05,-0.00,0,none,0.735
46,1748943469.51,112,0.666,0.113,1.020,1.96,5.28,0.00,-1.05,-0.00,0,none,0.593
47,1748943469.61,111,0.637,0.104,1.016,1.96,5.47,0.00,-1.05,-0.00,0,none,0.587
48,1748943469.71,110,0.598,0.097,1.000,1.97,5.65,0.00,-1.04,-0.00,0,none,0.522
49,1748943469.80,105,0.498,0.087,0.944,1.97,5.84,0.00,-1.04,-0.00,0,none,0.476
50,1748943469.89,100,0.425,0.084,0.913,1.97,6.04,0.00,-1.04,-0.00,0,none,0.541
51,1748943469.99,97,0.393,0.080,0.911,1.97,6.23,0.00,-1.04,-0.00,0,none,0.531
52,1748943470.09,97,0.377,0.079,0.910,1.97,6.42,0.00,-1.04,-0.00,0,none,0.555
53,1748943470.19,94,0.378,0.077,0.907,1.97,6.63,0.00,-1.04,-0.00,0,resume_reinforce,0.491
54,1748943470.30,94,0.406,0.079,0.923,1.97,6.82,0.00,-1.04,-0.00,0,none,0.511
55,1748943470.39,94,0.389,0.074,0.884,1.97,7.01,0.00,-1.04,-0.00,0,none,0.446
56,1748943470.49,94,0.387,0.070,0.869,1.97,7.22,0.00,-1.04,-0.00,0,none,0.515
57,1748943470.59,94,0.384,0.067,0.839,1.97,7.43,0.00,-1.04,-0.00,0,none,0.524
58,1748943470.70,93,0.385,0.069,0.835,1.97,7.63,0.00,-1.04,-0.00,0,none,0.547
59,1748943470.80,93,0.369,0.063,0.821,1.98,7.83,0.00,-1.04,-0.00,0,none,0.546
60,1748943470.90,93,0.390,0.069,0.837,1.98,8.04,0.00,-1.04,-0.00,0,none,0.570
61,1748943471.01,84,0.381,0.068,0.805,1.98,8.24,0.00,-1.04,-0.00,0,none,0.473
62,1748943471.11,82,0.374,0.065,0.767,1.98,8.42,0.00,-1.04,-0.00,0,none,0.426
63,1748943471.21,80,0.359,0.060,0.711,1.98,8.61,0.00,-1.04,-0.00,0,none,0.373
64,1748943471.30,80,0.358,0.062,0.652,1.98,8.79,0.00,-1.04,-0.00,0,none,0.390
65,1748943471.39,79,0.345,0.052,0.591,1.98,9.02,0.00,-1.04,-0.00,0,none,0.374
66,1748943471.51,76,0.355,0.053,0.570,1.98,9.22,0.00,-1.04,-0.00,0,none,0.384
67,1748943471.61,75,0.355,0.052,0.531,1.98,9.41,0.00,-1.04,-0.00,0,none,0.322
68,1748943471.70,73,0.356,0.049,0.500,1.98,9.59,0.00,-1.04,-0.00,0,none,0.285
69,1748943471.80,72,0.346,0.043,0.470,1.98,9.79,0.00,-1.04,-0.00,0,none,0.281
70,1748943471.89,72,0.335,0.041,0.455,1.98,10.00,0.00,-1.04,-0.00,0,none,0.295
71,1748943472.00,72,0.325,0.037,0.433,1.98,10.21,0.00,-1.04,-0.00,0,none,0.353
72,1748943472.11,72,0.313,0.036,0.453,1.98,10.41,0.00,-1.04,-0.00,0,none,0.357
73,1748943472.21,72,0.307,0.036,0.464,1.98,10.59,0.00,-1.04,-0.00,0,resume_reinforce,0.312
74,1748943472.30,71,0.301,0.035,0.473,1.98,10.77,0.00,-1.04,-0.00,0,none,0.300
75,1748943472.39,70,0.295,0.035,0.478,1.98,10.96,0.00,-1.04,-0.00,0,none,0.300
76,1748943472.49,70,0.304,0.034,0.494,1.98,11.15,0.00,-1.03,-0.00,0,none,0.371
77,1748943472.59,69,0.300,0.033,0.480,1.98,11.35,0.00,-1.03,-0.00,0,none,0.294
78,1748943472.68,68,0.297,0.034,0.475,1.98,11.54,0.00,-1.03,-0.00,0,none,0.296
79,1748943472.78,68,0.308,0.034,0.477,1.98,11.74,0.00,-1.03,-0.00,0,none,0.398
80,1748943472.88,68,0.303,0.035,0.462,1.98,11.93,0.00,-1.03,-0.00,0,none,0.274
81,1748943472.98,68,0.295,0.036,0.418,1.98,12.12,0.00,-1.03,-0.00,0,none,0.270
82,1748943473.07,68,0.299,0.035,0.397,1.98,12.31,0.00,-1.03,-0.00,0,none,0.292
83,1748943473.17,67,0.311,0.034,0.391,1.98,12.50,0.00,-1.03,-0.00,0,none,0.274
84,1748943473.27,67,0.303,0.034,0.400,1.98,12.69,0.00,-1.03,-0.00,0,none,0.333
85,1748943473.37,67,0.321,0.033,0.400,1.98,12.88,0.00,-1.03,-0.00,0,none,0.282
86,1748943473.46,66,0.324,0.032,0.405,1.98,13.08,0.00,-1.03,-0.00,0,none,0.279
87,1748943473.56,66,0.346,0.033,0.398,1.98,13.27,0.00,-1.03,-0.00,0,none,0.310
88,1748943473.66,66,0.344,0.033,0.392,1.98,13.46,0.00,-1.03,-0.00,0,none,0.290
89,1748943473.75,65,0.333,0.033,0.373,1.98,13.65,0.00,-1.03,-0.00,0,none,0.309
