frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749219156.95,75,0.041,0.023,0.041,1.451,0.00,0.00,-0.96,0.00,0.06,none,1,0,20.63,3.03,0.00,13.41,0.023,0.023,0.0,0.075
3,1749219156.99,75,0.043,0.046,0.061,2.007,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.77,3.04,0.00,19.98,0.025,0.025,0.0,0.050
4,1749219157.04,75,0.058,0.055,0.091,2.420,0.00,0.00,-0.95,0.00,0.08,none,0,0,20.77,3.04,0.00,19.92,0.025,0.025,0.0,0.050
5,1749219157.09,75,0.068,0.059,0.102,2.220,0.00,0.00,-0.94,0.00,0.07,none,0,0,20.71,3.04,0.00,19.95,0.024,0.024,0.0,0.050
6,1749219157.14,75,0.077,0.063,0.111,2.432,0.00,0.00,-0.94,0.00,0.06,none,0,0,20.63,3.03,0.00,19.97,0.024,0.024,0.0,0.050
7,1749219157.19,75,0.083,0.065,0.112,2.508,0.00,0.00,-0.94,0.00,0.05,none,0,0,20.55,3.03,0.00,19.96,0.021,0.021,0.0,0.050
8,1749219157.24,75,0.081,0.066,0.111,1.790,0.00,0.00,-0.94,0.00,0.04,none,0,0,20.46,3.02,0.00,19.88,0.022,0.022,0.0,0.050
9,1749219157.29,75,0.079,0.063,0.109,1.422,0.00,0.00,-0.93,0.00,0.04,none,0,0,20.38,3.02,0.00,19.87,0.021,0.021,0.0,0.050
10,1749219157.34,75,0.077,0.061,0.105,1.300,0.00,0.00,-0.93,0.00,0.03,none,0,0,20.32,3.02,0.00,19.82,0.021,0.021,0.0,0.050
11,1749219157.39,75,0.073,0.059,0.103,1.247,0.00,0.00,-0.93,0.00,0.02,none,0,0,20.25,3.01,0.00,19.91,0.024,0.024,0.0,0.050
