frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749223177.66,75,0.031,0.046,0.057,2.780,0.00,0.00,-0.95,0.00,0.06,none,1,0,1,20.59,2.03,0.00,14.07,0.019,0.002,0.0,0.071
3,1749223177.70,75,0.034,0.045,0.067,1.606,0.00,0.00,-0.95,0.00,0.08,none,0,0,1,20.75,2.04,0.00,19.93,0.020,0.002,0.0,0.050
4,1749223177.75,75,0.054,0.057,0.093,2.293,0.00,0.00,-0.95,0.00,0.08,none,0,0,1,20.78,2.04,0.00,19.96,0.021,0.002,0.0,0.050
5,1749223177.80,75,0.070,0.060,0.109,2.301,0.00,0.00,-0.94,0.00,0.07,none,0,0,1,20.72,2.04,0.00,19.96,0.021,0.002,0.0,0.050
6,1749223177.85,75,0.075,0.065,0.112,2.110,0.00,0.00,-0.94,0.00,0.06,none,0,0,1,20.63,2.03,0.00,19.95,0.023,0.003,0.0,0.050
7,1749223177.90,75,0.082,0.070,0.116,2.833,0.00,0.00,-0.94,0.00,0.05,none,0,0,1,20.55,2.03,0.00,19.95,0.020,0.002,0.0,0.050
8,1749223177.95,75,0.080,0.068,0.115,1.685,0.00,0.00,-0.94,0.00,0.04,none,0,0,1,20.46,2.02,0.00,19.91,0.020,0.002,0.0,0.050
9,1749223178.00,75,0.081,0.065,0.112,1.484,0.00,0.00,-0.93,0.00,0.04,none,0,0,1,20.38,2.02,0.00,19.91,0.022,0.002,0.0,0.050
10,1749223178.05,75,0.077,0.063,0.109,1.387,0.00,0.00,-0.93,0.00,0.03,none,0,0,1,20.31,2.02,0.00,19.97,0.021,0.002,0.0,0.050
11,1749223178.10,75,0.074,0.060,0.105,1.091,0.00,0.00,-0.93,0.00,0.02,none,0,0,1,20.25,2.01,0.00,19.96,0.021,0.002,0.0,0.050
12,1749223178.15,75,0.075,0.060,0.105,0.953,0.00,0.00,-0.93,0.00,0.02,none,0,0,1,20.20,2.01,0.00,19.97,0.020,0.002,0.0,0.050
13,1749223178.20,75,0.073,0.059,0.104,1.393,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.15,2.01,0.00,19.92,0.019,0.002,0.0,0.050
14,1749223178.25,75,0.068,0.053,0.093,0.650,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.11,2.01,0.00,19.95,0.017,0.002,0.0,0.050
15,1749223178.30,75,0.058,0.049,0.080,0.547,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.07,2.00,0.00,19.93,0.020,0.002,0.0,0.050
16,1749223178.35,75,0.051,0.043,0.071,0.847,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.03,2.00,0.00,19.91,0.023,0.002,0.0,0.050
17,1749223178.40,75,0.041,0.035,0.061,0.346,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.01,2.00,0.00,19.88,0.026,0.002,0.0,0.050
18,1749223178.45,75,0.036,0.031,0.052,0.346,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.01,2.00,0.00,19.95,0.025,0.002,0.0,0.050
19,1749223178.50,75,0.027,0.027,0.045,0.369,0.00,0.00,-0.93,0.00,0.00,none,0,0,1,20.04,2.00,0.00,19.93,0.020,0.003,0.0,0.050
20,1749223178.55,75,0.024,0.024,0.039,0.371,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.05,2.00,0.00,19.91,0.020,0.002,0.0,0.050
21,1749223178.60,75,0.022,0.023,0.035,0.444,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.07,2.00,0.00,19.84,0.021,0.003,0.0,0.050
22,1749223178.65,75,0.020,0.022,0.033,0.504,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.08,2.00,0.00,19.97,0.024,0.002,0.0,0.050
23,1749223178.70,75,0.020,0.020,0.029,0.557,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.09,2.00,0.00,19.88,0.021,0.002,0.0,0.050
24,1749223178.75,75,0.018,0.020,0.029,0.552,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.10,2.01,0.00,19.85,0.022,0.002,0.0,0.050
25,1749223178.80,75,0.018,0.019,0.028,0.460,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.11,2.01,0.00,19.87,0.022,0.002,0.0,0.050
26,1749223178.85,75,0.017,0.020,0.030,1.123,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.82,0.021,0.002,0.0,0.050
27,1749223178.90,75,0.019,0.020,0.031,0.711,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.89,0.022,0.002,0.0,0.050
28,1749223178.95,75,0.019,0.021,0.033,0.546,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.94,0.020,0.002,0.0,0.050
29,1749223179.00,75,0.020,0.021,0.034,0.478,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.93,0.020,0.003,0.0,0.050
30,1749223179.05,75,0.021,0.023,0.035,0.708,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.96,0.020,0.002,0.0,0.050
31,1749223179.10,75,0.021,0.022,0.036,0.605,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.96,0.019,0.002,0.0,0.050
32,1749223179.15,75,0.021,0.023,0.038,0.855,0.00,0.00,-0.93,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.90,0.019,0.002,0.0,0.050
33,1749223179.20,75,0.021,0.023,0.038,0.621,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.78,0.018,0.002,0.0,0.051
34,1749223179.25,75,0.022,0.024,0.038,0.534,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.90,0.022,0.002,0.0,0.050
35,1749223179.30,75,0.023,0.025,0.038,0.731,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.95,0.020,0.003,0.0,0.050
36,1749223179.38,75,0.024,0.025,0.038,0.423,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,14.48,0.022,0.003,0.0,0.069
37,1749223179.42,75,0.023,0.024,0.037,0.643,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.13,2.01,0.00,19.84,0.021,0.002,0.0,0.050
38,1749223179.47,75,0.023,0.025,0.037,0.631,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.79,0.016,0.002,0.0,0.051
39,1749223179.52,75,0.023,0.025,0.038,0.643,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.98,0.018,0.002,0.0,0.050
40,1749223179.57,75,0.023,0.024,0.037,0.442,0.00,0.00,-0.94,0.00,0.01,none,0,0,1,20.12,2.01,0.00,19.86,0.020,0.002,0.0,0.050
41,1749223179.62,75,0.024,0.024,0.036,0.613,0.00,0.00,-0.94,0.00,0.00,resume_reinforce,0,0,1,20.12,2.01,0.00,19.81,0.017,0.002,0.0,0.050
42,1749223179.67,75,0.162,0.136,0.176,21.085,0.00,-0.00,-0.94,-0.00,0.03,none,0,0,0,20.34,2.02,0.00,19.85,0.021,0.002,0.0,0.050
43,1749223179.72,74,1.452,0.948,1.533,199.114,0.00,-0.00,-0.94,-0.00,0.08,none,0,0,0,20.53,2.03,0.00,19.96,0.021,0.002,0.0,0.050
44,1749223179.77,74,2.257,1.586,2.459,125.195,0.01,-0.00,-0.94,-0.00,0.18,none,0,0,0,21.53,2.08,0.00,19.96,0.021,0.002,0.0,0.050
45,1749223179.83,75,2.860,2.079,3.054,89.377,0.02,-0.00,-0.95,-0.00,0.29,none,0,0,0,22.56,2.13,0.00,19.96,0.020,0.002,0.0,0.050
46,1749223179.88,75,3.237,2.392,3.427,53.573,0.03,-0.00,-0.96,-0.00,0.38,none,0,0,0,23.46,2.17,0.00,19.93,0.020,0.002,0.0,0.050
47,1749223179.93,75,3.434,2.550,3.631,26.751,0.05,-0.00,-0.97,-0.00,0.46,none,0,0,0,24.34,2.22,0.00,19.80,0.019,0.002,0.0,0.050
48,1749223179.98,74,3.531,2.616,3.725,11.563,0.07,-0.00,-0.98,-0.00,0.54,none,0,0,0,25.17,2.26,0.00,19.86,0.021,0.002,0.0,0.050
49,1749223180.03,75,3.592,2.634,3.794,9.991,0.10,-0.00,-0.99,-0.00,0.62,none,0,0,0,25.92,2.30,0.00,19.95,0.018,0.002,0.0,0.050
50,1749223180.08,75,3.707,2.699,3.948,16.323,0.13,-0.00,-1.00,-0.00,0.70,none,0,0,0,26.65,2.33,0.00,19.82,0.018,0.002,0.0,0.050
51,1749223180.13,75,3.861,2.802,4.135,19.961,0.16,-0.00,-1.01,-0.00,0.77,none,0,0,0,27.41,2.37,0.00,19.80,0.019,0.002,0.0,0.050
52,1749223180.18,75,3.896,2.810,4.178,21.376,0.20,-0.00,-1.02,-0.00,0.84,none,0,0,0,28.19,2.41,0.00,19.89,0.020,0.002,0.0,0.050
53,1749223180.23,75,2.795,2.123,3.040,27.359,0.25,-0.00,-1.03,-0.00,0.91,none,0,0,0,28.83,2.44,0.00,19.87,0.017,0.003,0.0,0.050
54,1749223180.28,75,2.234,1.652,2.387,32.742,0.29,-0.00,-1.03,-0.00,0.98,none,0,0,0,29.52,2.48,0.00,19.92,0.019,0.002,0.0,0.050
55,1749223180.33,75,1.832,1.304,2.033,27.943,0.34,-0.00,-1.04,-0.00,1.04,none,0,0,0,30.15,2.51,0.00,19.81,0.017,0.002,0.0,0.050
56,1749223180.38,75,1.677,1.149,1.950,29.176,0.40,-0.00,-1.04,-0.00,1.10,none,0,0,0,30.82,2.54,0.00,19.90,0.018,0.002,0.0,0.050
57,1749223180.43,75,1.742,1.153,2.067,33.714,0.46,-0.00,-1.05,-0.00,1.16,none,0,0,0,31.42,2.57,0.00,19.77,0.018,0.002,0.0,0.051
58,1749223180.48,75,1.899,1.237,2.271,30.461,0.51,-0.00,-1.05,-0.00,1.22,none,0,0,1,31.99,2.60,0.00,19.84,0.020,0.002,0.0,0.050
59,1749223180.53,75,2.090,1.360,2.483,32.337,0.58,-0.00,-1.06,-0.00,1.27,none,0,0,0,32.50,2.63,0.00,19.84,0.020,0.002,0.0,0.050
60,1749223180.58,74,2.215,1.425,2.571,30.692,0.64,-0.00,-1.06,-0.00,1.32,none,0,0,0,33.01,2.65,0.00,19.89,0.018,0.002,0.0,0.050
61,1749223180.63,73,2.524,1.456,2.685,96.271,0.71,-0.00,-1.06,-0.00,1.36,none,0,0,0,33.48,2.67,0.00,19.66,0.019,0.002,0.0,0.051
62,1749223180.68,73,2.773,1.463,2.697,104.530,0.78,-0.00,-1.06,-0.00,1.41,none,0,0,0,33.90,2.70,0.00,19.92,0.019,0.002,0.0,0.050
63,1749223180.73,74,2.832,1.444,2.701,32.966,0.85,-0.00,-1.06,-0.00,1.45,none,0,0,0,34.32,2.72,0.00,19.85,0.019,0.002,0.0,0.050
