frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,obstacle,side_safe,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749291967.20,150,0.083,0.085,0.099,2.785,0.00,0.00,-0.96,0.00,0.08,none,1,0,0,20.77,2.04,0.00,8.49,0.023,0.003,0.0,0.118
3,1749291967.27,150,0.203,0.114,0.148,3.718,0.00,0.00,-0.96,0.00,0.08,none,0,0,1,20.76,2.04,0.00,17.21,0.021,0.002,0.0,0.058
4,1749291967.32,150,0.194,0.124,0.163,3.035,0.00,0.00,-0.95,0.00,0.07,none,0,0,0,20.67,2.03,0.00,17.10,0.020,0.003,0.0,0.058
5,1749291967.38,150,0.209,0.135,0.171,3.816,0.00,0.00,-0.95,0.00,0.06,none,0,0,0,20.57,2.03,0.00,16.99,0.020,0.002,0.0,0.059
6,1749291967.44,150,0.190,0.136,0.171,3.091,0.00,0.00,-0.95,0.00,0.05,none,0,0,0,20.47,2.02,0.00,17.41,0.021,0.003,0.0,0.057
7,1749291967.50,150,0.176,0.131,0.170,2.103,0.00,0.00,-0.94,0.00,0.04,none,0,0,0,20.38,2.02,0.00,16.95,0.023,0.003,0.0,0.059
8,1749291967.56,150,0.161,0.125,0.164,1.882,0.00,0.00,-0.94,0.00,0.03,none,0,0,0,20.30,2.02,0.00,17.60,0.022,0.003,0.0,0.057
9,1749291967.61,150,0.157,0.121,0.158,2.115,0.00,0.00,-0.94,0.00,0.02,none,0,0,0,20.23,2.01,0.00,18.16,0.021,0.003,0.0,0.055
10,1749291967.67,150,0.150,0.115,0.150,1.690,0.00,0.00,-0.94,0.00,0.02,none,0,0,0,20.18,2.01,0.00,19.39,0.020,0.002,0.0,0.052
11,1749291967.72,150,0.140,0.112,0.143,1.827,0.00,0.00,-0.94,0.00,0.01,none,0,0,0,20.13,2.01,0.00,18.24,0.023,0.003,0.0,0.055
12,1749291967.78,150,0.137,0.109,0.140,1.210,0.00,0.00,-0.94,0.00,0.01,none,0,0,0,20.09,2.00,0.00,19.41,0.021,0.003,0.0,0.052
13,1749291967.83,150,0.109,0.100,0.127,0.929,0.00,0.00,-0.94,0.00,0.00,none,0,0,0,20.05,2.00,0.00,18.23,0.023,0.002,0.0,0.055
14,1749291967.88,150,0.096,0.090,0.113,1.085,0.00,0.00,-0.94,0.00,0.00,none,0,0,0,20.02,2.00,0.00,19.87,0.016,0.003,0.0,0.050
15,1749291967.93,150,0.077,0.077,0.099,1.001,0.00,0.00,-0.94,0.00,0.00,none,0,0,0,20.00,2.00,0.00,19.86,0.018,0.002,0.0,0.050
16,1749291967.98,150,0.071,0.068,0.087,0.900,0.00,0.00,-0.94,0.00,0.00,none,0,0,0,20.03,2.00,0.00,19.43,0.019,0.002,0.0,0.051
