frame,time,features,flow_left,flow_center,flow_right,speed
120,1748939368.26,47,0.327,0.254,0.000,0.19
121,1748939369.36,44,0.857,0.457,0.000,0.39
122,1748939369.47,43,0.759,0.419,0.000,0.38
123,1748939369.58,43,0.745,0.445,0.000,0.34
124,1748939369.68,43,0.761,0.462,0.000,0.30
125,1748939369.79,43,0.775,0.476,0.000,0.24
126,1748939369.90,43,0.212,0.243,0.000,0.19
127,1748939371.02,41,0.525,0.429,0.000,0.39
128,1748939371.13,41,0.533,0.420,0.045,0.38
129,1748939371.24,41,0.641,0.451,0.082,0.34
130,1748939371.35,41,0.657,0.467,0.082,0.29
131,1748939371.45,41,0.668,0.477,0.082,0.24
132,1748939371.56,41,0.307,0.230,0.082,0.18
133,1748939372.68,38,0.630,0.380,0.037,0.38
134,1748939372.77,38,0.520,0.357,0.029,0.38
135,1748939372.88,37,0.731,0.394,0.080,0.34
136,1748939372.99,37,0.755,0.419,0.103,0.30
137,1748939373.09,37,0.768,0.433,0.125,0.25
138,1748939373.20,37,0.383,0.221,0.150,0.19
139,1748939374.30,37,0.453,0.389,0.333,0.39
140,1748939374.41,37,0.234,0.362,0.317,0.38
141,1748939374.52,37,0.256,0.392,0.343,0.35
142,1748939374.63,37,0.281,0.417,0.352,0.30
143,1748939374.74,37,0.290,0.426,0.345,0.24
144,1748939374.84,37,0.187,0.215,0.144,0.19
145,1748939375.95,36,0.195,0.372,0.365,0.38
146,1748939376.06,36,0.169,0.352,0.361,0.38
147,1748939376.17,36,0.156,0.375,0.382,0.34
148,1748939376.28,36,0.178,0.396,0.394,0.30
149,1748939376.39,36,0.188,0.406,0.398,0.24
150,1748939376.48,36,0.153,0.204,0.146,0.19
151,1748939377.61,35,0.275,0.346,0.407,0.39
152,1748939377.70,35,0.238,0.322,0.401,0.38
153,1748939377.81,35,0.195,0.351,0.433,0.34
154,1748939377.92,35,0.174,0.372,0.453,0.30
155,1748939378.03,35,0.165,0.385,0.469,0.24
156,1748939378.13,35,0.000,0.196,0.169,0.19
157,1748939379.25,34,0.000,0.339,0.123,0.39
158,1748939379.34,34,0.043,0.311,0.061,0.38
159,1748939379.44,33,0.111,0.336,0.027,0.35
160,1748939379.54,33,0.151,0.354,0.006,0.31
161,1748939379.65,33,0.176,0.370,0.000,0.24
162,1748939379.78,33,0.189,0.189,0.000,0.19
