timestamp,num_features,left,center,right
2025-06-02T13:11:57.720203,53,18.904,29.430,26.598
2025-06-02T13:11:58.443034,45,15.194,31.290,249.031
2025-06-02T13:11:59.153470,43,23.574,13.720,22.539
2025-06-02T13:11:59.862448,43,39.570,9.334,22.045
2025-06-02T13:12:00.567510,43,27.340,8.844,12.374
2025-06-02T13:12:01.271910,43,64.739,13.589,8.222
2025-06-02T13:12:02.009809,42,27.323,17.649,45.149
2025-06-02T13:12:02.731878,42,21.443,11.388,28.716
2025-06-02T13:12:03.452277,41,22.800,18.973,45.881
2025-06-02T13:12:04.175657,41,60.668,21.421,25.812
2025-06-02T13:12:04.891007,40,105.272,16.130,17.398
2025-06-02T13:12:05.613809,40,33.047,10.069,14.661
2025-06-02T13:12:06.336819,38,0.000,17.635,9.670
2025-06-02T13:12:07.053206,38,31.697,17.243,22.568
2025-06-02T13:12:07.772040,38,57.803,11.651,23.652
2025-06-02T13:12:08.488137,38,50.748,12.076,12.418
2025-06-02T13:12:09.192919,38,41.411,19.215,14.790
2025-06-02T13:12:09.900844,38,43.877,27.131,17.418
2025-06-02T13:12:10.616241,36,26.608,39.018,20.481
2025-06-02T13:12:11.328161,34,56.051,26.072,23.700
2025-06-02T13:12:12.028643,31,41.405,18.883,33.609
2025-06-02T13:12:12.736259,26,0.000,22.964,76.509
2025-06-02T13:12:13.451485,26,24.265,19.537,180.767
2025-06-02T13:12:14.159640,25,18.006,16.378,0.000
2025-06-02T13:12:14.871857,25,12.558,18.331,31.154
2025-06-02T13:12:15.580600,24,10.066,19.576,41.443
2025-06-02T13:12:16.283266,21,15.001,12.827,21.587
2025-06-02T13:12:16.991494,21,13.699,16.040,60.383
2025-06-02T13:12:17.702605,21,0.000,20.257,42.469
2025-06-02T13:12:18.396271,21,0.000,20.621,40.052
2025-06-02T13:12:19.110412,20,0.000,9.319,20.938
2025-06-02T13:12:19.825077,20,0.000,16.074,29.465
2025-06-02T13:12:20.519779,20,0.000,24.676,30.992
2025-06-02T13:12:21.217662,20,0.000,18.485,21.817
2025-06-02T13:12:21.928993,20,0.000,29.972,18.064
2025-06-02T13:12:22.629819,19,0.000,28.046,24.802
2025-06-02T13:12:23.321802,19,0.000,39.134,22.835
2025-06-02T13:12:24.021439,19,0.000,38.799,26.751
2025-06-02T13:12:24.721073,16,0.000,58.295,39.872
2025-06-02T13:12:25.420103,13,0.000,26.862,65.017
2025-06-02T13:12:26.112735,13,0.000,0.000,53.415
2025-06-02T13:12:26.302192,11,0.000,0.000,55.071
2025-06-02T13:12:26.484522,10,0.000,0.000,17.195
2025-06-02T13:12:26.665827,4,0.000,0.000,21.983
2025-06-02T13:12:26.834275,4,0.000,0.000,22.999
2025-06-02T13:12:27.001548,4,0.000,0.000,23.012
2025-06-02T13:12:27.180515,4,0.000,0.000,23.506
2025-06-02T13:12:27.346047,4,0.000,0.000,21.586
2025-06-02T13:12:27.527588,4,0.000,0.000,22.924
2025-06-02T13:12:27.700206,0,0.000,0.000,0.000
2025-06-02T13:12:28.066795,18,2.813,3.330,3.650
2025-06-02T13:12:28.238084,18,1.943,2.250,2.536
2025-06-02T13:12:28.404916,18,1.492,1.806,1.958
2025-06-02T13:12:28.586599,18,1.281,1.449,1.622
2025-06-02T13:12:28.769327,18,1.023,1.170,1.301
2025-06-02T13:12:28.942600,18,0.709,0.800,0.903
2025-06-02T13:12:29.117853,18,0.590,0.670,0.734
2025-06-02T13:12:29.309720,18,0.514,0.494,0.588
2025-06-02T13:12:29.481846,18,0.448,0.429,0.454
2025-06-02T13:12:29.653539,18,0.266,0.264,0.346
2025-06-02T13:12:29.825619,18,0.241,0.235,0.275
2025-06-02T13:12:29.995697,18,0.221,0.222,0.244
2025-06-02T13:12:30.167029,18,0.255,0.129,0.207
2025-06-02T13:12:30.339184,18,0.122,0.131,0.178
2025-06-02T13:12:30.513228,18,0.182,0.121,0.189
2025-06-02T13:12:30.680894,18,0.220,0.144,0.143
2025-06-02T13:12:30.854541,18,0.123,0.085,0.182
2025-06-02T13:12:31.028178,18,0.164,0.075,0.157
2025-06-02T13:12:31.202216,18,0.130,0.136,0.147
2025-06-02T13:12:31.381096,18,0.191,0.138,0.148
2025-06-02T13:12:31.554148,18,0.160,0.122,0.162
2025-06-02T13:12:31.730982,17,0.190,0.096,0.147
2025-06-02T13:12:31.904850,17,0.102,0.115,0.177
2025-06-02T13:12:32.084509,17,0.151,0.102,0.148
2025-06-02T13:12:32.262208,17,0.133,0.086,0.153
2025-06-02T13:12:32.454204,17,0.165,0.127,0.171
2025-06-02T13:12:32.629232,17,0.113,0.159,0.161
2025-06-02T13:12:32.801793,17,0.139,0.117,0.151
2025-06-02T13:12:32.989426,17,0.157,0.134,0.159
2025-06-02T13:12:33.161440,17,0.183,0.107,0.159
2025-06-02T13:12:33.340914,16,0.086,0.113,0.146
2025-06-02T13:12:33.513923,16,0.131,0.127,0.120
2025-06-02T13:12:33.701063,16,0.171,0.085,0.175
2025-06-02T13:12:33.891561,16,0.108,0.106,0.145
2025-06-02T13:12:34.066831,16,0.138,0.148,0.152
