frame,time,features,flow_left,flow_center,flow_right,speed
2,1748958204.64,150,0.161,0.084,0.126,0.07
3,1748958204.76,150,0.238,0.121,0.186,0.05
4,1748958204.86,150,0.233,0.122,0.184,0.04
5,1748958204.96,150,0.189,0.098,0.145,1.84
6,1748958207.09,150,13.760,3.856,18.379,1.85
7,1748958207.19,144,12.903,5.248,16.508,1.81
8,1748958207.30,150,14.209,6.057,16.144,1.80
9,1748958207.42,132,12.644,5.351,14.274,1.81
10,1748958207.53,149,10.637,4.437,10.722,1.82
11,1748958207.64,139,8.399,3.083,8.200,1.84
12,1748958207.77,133,7.162,2.043,7.202,1.86
13,1748958207.88,149,5.608,1.340,6.303,1.88
14,1748958207.99,143,4.411,0.974,5.394,1.89
15,1748958208.10,146,3.677,0.822,4.645,1.90
16,1748958208.21,145,3.364,0.796,3.831,1.91
17,1748958208.31,149,2.857,0.668,3.307,1.92
18,1748958208.42,148,2.403,0.681,3.293,1.93
19,1748958208.55,149,2.195,0.719,3.619,1.94
20,1748958208.65,150,1.951,0.627,3.502,1.94
21,1748958208.77,150,2.098,0.665,3.730,1.95
22,1748958208.88,150,2.093,0.653,3.608,1.95
23,1748958208.99,150,2.164,0.658,3.964,1.96
24,1748958209.11,150,2.195,0.646,3.906,1.96
25,1748958209.22,150,2.302,0.649,3.604,1.96
26,1748958209.33,150,2.344,0.639,3.549,1.97
27,1748958209.43,150,2.282,0.652,3.450,1.97
28,1748958209.54,150,2.273,0.674,3.687,1.97
29,1748958209.65,150,2.101,0.628,3.389,1.97
30,1748958209.76,149,2.052,0.640,3.379,1.97
31,1748958209.87,150,1.854,0.657,3.252,1.97
32,1748958209.98,150,1.815,0.668,3.054,1.97
33,1748958210.08,150,1.737,0.702,2.805,1.97
34,1748958210.19,150,1.723,0.726,2.607,1.97
35,1748958210.31,150,1.761,0.742,2.529,1.97
36,1748958210.41,150,1.664,0.732,2.199,1.97
37,1748958210.53,150,1.796,0.750,2.366,1.98
38,1748958210.64,149,1.784,0.723,2.358,1.98
39,1748958210.75,150,1.833,0.714,2.353,1.98
40,1748958210.86,150,1.879,0.702,2.226,1.98
41,1748958210.97,150,1.880,0.718,2.176,1.98
42,1748958211.07,150,1.891,0.736,2.012,1.98
43,1748958211.20,150,2.322,0.861,2.178,1.98
44,1748958211.33,150,2.389,0.870,2.216,1.98
45,1748958211.43,150,2.342,0.865,2.141,1.98
46,1748958211.55,150,2.266,0.895,2.061,1.98
47,1748958211.67,149,2.371,0.954,2.349,1.98
48,1748958211.78,150,2.363,0.936,1.942,1.98
49,1748958211.88,150,2.178,0.893,1.721,1.98
50,1748958211.99,150,2.092,0.924,1.660,1.98
51,1748958212.12,150,2.095,1.053,1.915,1.98
52,1748958212.23,150,1.802,1.030,1.734,1.98
53,1748958212.34,149,1.742,1.028,1.779,1.98
54,1748958212.45,150,1.673,1.011,1.829,1.98
55,1748958212.56,150,1.708,1.033,2.013,1.98
56,1748958212.68,150,1.775,1.065,2.111,1.98
57,1748958212.82,150,1.964,1.212,2.357,1.98
58,1748958212.95,145,2.100,1.238,2.143,1.98
59,1748958213.06,149,1.933,1.179,1.844,1.98
60,1748958213.16,149,1.831,1.109,1.714,1.98
61,1748958213.27,150,1.817,1.180,1.707,1.98
62,1748958213.38,150,1.828,1.289,1.703,1.98
63,1748958213.51,150,2.062,1.513,1.904,1.98
64,1748958213.63,150,1.986,1.573,1.838,1.98
65,1748958213.75,149,2.133,1.754,1.950,1.98
66,1748958213.87,150,2.099,1.791,1.959,1.98
67,1748958213.98,149,2.068,1.765,1.951,1.98
68,1748958214.10,150,2.139,1.843,2.032,1.98
69,1748958214.21,150,2.196,1.942,1.996,1.98
70,1748958214.33,148,2.261,2.148,2.066,1.98
71,1748958214.43,150,2.214,2.140,2.025,1.98
72,1748958214.54,147,2.192,2.079,2.067,1.98
73,1748958214.66,149,2.391,2.214,2.246,1.98
74,1748958214.77,150,2.336,2.221,2.215,1.98
75,1748958214.88,150,2.423,2.513,2.311,1.98
76,1748958215.00,150,2.696,2.758,2.635,1.98
77,1748958215.12,150,2.685,2.906,2.714,1.98
78,1748958215.24,149,2.758,3.092,2.824,1.98
79,1748958215.38,148,3.145,3.717,3.307,1.98
80,1748958215.49,150,2.947,3.495,3.071,1.98
81,1748958215.59,150,2.847,3.563,3.008,1.98
82,1748958215.70,131,3.151,4.072,3.245,1.98
83,1748958215.82,145,3.399,4.762,3.709,1.98
84,1748958215.93,140,3.413,4.482,3.658,1.98
85,1748958216.06,146,3.876,4.886,4.033,1.98
86,1748958216.17,149,3.925,4.223,4.014,1.98
87,1748958216.31,142,4.273,3.956,4.593,1.98
88,1748958217.44,117,10.783,17.067,12.352,0.54
89,1748958218.55,117,28.835,34.047,26.842,0.12
90,1748958218.65,146,15.837,17.842,14.462,0.12
91,1748958218.76,149,9.455,9.909,8.414,0.10
92,1748958218.86,150,6.042,5.789,5.220,0.13
93,1748958218.97,120,46.271,32.908,30.481,0.31
94,1748958220.59,106,46.600,49.476,37.902,1.27
95,1748958220.68,67,42.178,31.204,33.775,1.23
96,1748958220.79,73,38.850,35.537,41.737,1.10
97,1748958220.90,86,34.337,39.346,44.919,0.61
98,1748958222.50,9,47.388,19.673,22.459,0.38
99,1748958224.10,47,35.042,20.387,18.302,0.34
100,1748958225.69,51,20.747,13.707,13.196,0.31
101,1748958226.80,14,31.330,6.853,9.958,0.05
