frame,time,features,flow_left,flow_center,flow_right
2,1748875788.25,150,197.357,131.697,197.631
3,1748875788.38,131,139.163,84.122,151.306
4,1748875788.50,124,96.327,57.561,103.552
5,1748875788.61,120,77.008,46.958,83.386
6,1748875790.23,112,66.213,40.890,69.397
7,1748875791.86,113,29.330,18.332,32.557
8,1748875793.48,111,14.884,14.160,13.438
9,1748875795.10,112,13.975,14.492,13.373
10,1748875796.72,109,11.962,12.252,9.817
11,1748875798.34,112,8.458,9.982,8.411
12,1748875799.95,110,6.716,7.133,6.404
13,1748875801.56,110,5.828,4.814,5.130
14,1748875801.66,108,4.669,3.691,3.753
15,1748875801.78,103,3.083,3.113,3.490
16,1748875801.89,100,2.258,2.325,2.992
17,1748875802.00,95,1.612,1.643,2.631
18,1748875802.11,94,0.930,1.001,2.206
19,1748875802.23,94,0.999,1.023,2.149
20,1748875802.36,94,0.810,0.829,1.468
21,1748875802.47,94,0.568,0.608,0.865
22,1748875802.58,94,0.440,0.437,0.792
23,1748875802.68,94,0.340,0.342,0.847
24,1748875802.79,91,0.293,0.313,0.998
25,1748875802.90,91,0.351,0.384,1.208
26,1748875803.01,89,0.384,0.410,1.214
27,1748875803.12,89,0.379,0.404,1.219
28,1748875803.23,89,0.398,0.429,1.619
29,1748875803.35,87,0.422,0.462,2.032
30,1748875803.47,86,0.432,0.471,1.997
31,1748875803.57,85,0.441,0.484,2.472
32,1748875803.69,84,0.448,0.483,2.519
33,1748875803.82,84,0.438,0.456,2.241
34,1748875803.93,84,0.394,0.388,2.265
35,1748875804.06,82,0.377,0.346,2.315
36,1748875804.18,81,0.363,0.307,2.746
37,1748875804.32,80,0.367,0.281,2.668
38,1748875804.43,80,0.339,0.232,2.361
39,1748875804.56,80,0.344,0.214,1.725
40,1748875804.67,80,0.325,0.186,1.471
41,1748875804.78,80,0.324,0.171,0.428
42,1748875804.88,80,0.424,0.326,0.358
43,1748875805.01,80,0.509,0.419,0.450
44,1748875805.13,78,0.711,0.619,0.533
45,1748875805.26,77,0.823,0.756,0.641
46,1748875805.38,77,0.815,0.754,0.635
47,1748875805.51,77,0.714,0.621,0.533
48,1748875805.64,77,0.698,0.622,0.491
49,1748875805.76,77,0.603,0.563,0.514
50,1748875805.89,74,0.616,0.578,0.488
51,1748875806.01,74,0.787,0.749,0.643
52,1748875806.14,74,0.896,0.876,0.715
53,1748875806.26,66,0.976,0.957,0.712
54,1748875806.38,66,0.990,0.969,0.659
55,1748875806.51,62,0.986,0.964,0.642
56,1748875806.62,50,0.913,0.918,0.575
57,1748875806.73,50,0.860,0.858,0.609
58,1748875806.85,50,0.782,0.778,0.662
59,1748875806.98,49,0.707,0.700,0.680
60,1748875807.09,40,0.608,0.602,0.657
61,1748875807.18,40,0.511,0.505,0.594
62,1748875807.29,39,0.428,0.419,0.507
63,1748875807.40,35,0.336,0.323,0.403
64,1748875807.51,35,0.243,0.228,0.297
65,1748875807.60,35,0.180,0.159,0.221
66,1748875807.71,35,0.140,0.114,0.159
67,1748875807.84,35,0.113,0.087,0.107
68,1748875807.94,35,0.108,0.085,0.086
69,1748875808.05,35,0.122,0.104,0.089
70,1748875808.16,35,0.152,0.140,0.113
71,1748875808.27,35,0.183,0.175,0.149
72,1748875808.38,35,0.205,0.199,0.179
73,1748875808.49,35,0.226,0.222,0.208
74,1748875808.60,35,0.239,0.236,0.228
75,1748875808.71,35,0.248,0.245,0.243
76,1748875808.82,35,0.250,0.247,0.250
77,1748875808.93,35,0.248,0.244,0.253
78,1748875809.04,35,0.240,0.237,0.249
79,1748875809.15,35,0.227,0.224,0.239
80,1748875809.27,35,0.214,0.212,0.229
81,1748875809.40,35,0.196,0.195,0.214
82,1748875809.51,35,0.175,0.174,0.194
83,1748875809.64,35,0.151,0.149,0.170
84,1748875809.76,35,0.128,0.145,0.147
85,1748875809.88,35,0.096,0.113,0.115
86,1748875810.01,35,0.071,0.084,0.083
87,1748875810.13,35,0.053,0.066,0.060
88,1748875810.24,35,0.041,0.053,0.041
89,1748875810.37,35,0.038,0.031,0.033
90,1748875810.49,35,0.042,0.036,0.032
91,1748875810.60,35,0.051,0.047,0.041
92,1748875810.72,35,0.062,0.059,0.054
93,1748875810.83,35,0.070,0.069,0.065
94,1748875810.99,35,0.079,0.078,0.077
95,1748875811.10,35,0.081,0.080,0.079
96,1748875811.23,35,0.085,0.084,0.086
97,1748875811.34,35,0.082,0.082,0.085
98,1748875811.45,35,0.078,0.078,0.084
99,1748875811.58,35,0.070,0.070,0.079
100,1748875811.69,35,0.064,0.063,0.073
101,1748875811.81,35,0.055,0.055,0.065
102,1748875811.92,35,0.048,0.047,0.060
103,1748875812.03,35,0.040,0.039,0.052
104,1748875812.14,35,0.031,0.030,0.040
105,1748875812.26,35,0.025,0.024,0.034
106,1748875812.37,35,0.018,0.015,0.027
107,1748875812.50,35,0.013,0.011,0.017
108,1748875812.62,35,0.011,0.008,0.014
109,1748875812.73,35,0.011,0.008,0.012
110,1748875812.86,35,0.012,0.010,0.012
111,1748875812.98,35,0.015,0.014,0.012
112,1748875813.09,35,0.018,0.017,0.016
113,1748875813.20,35,0.020,0.020,0.018
114,1748875813.33,35,0.022,0.022,0.021
115,1748875813.44,35,0.023,0.023,0.023
116,1748875813.55,35,0.023,0.023,0.023
117,1748875813.66,35,0.022,0.022,0.023
118,1748875813.80,35,0.023,0.022,0.024
119,1748875813.90,35,0.021,0.020,0.022
120,1748875814.01,35,0.019,0.019,0.020
121,1748875814.14,35,0.018,0.017,0.019
122,1748875814.26,35,0.016,0.016,0.017
123,1748875814.37,35,0.013,0.012,0.014
124,1748875814.48,35,0.010,0.010,0.012
125,1748875814.59,35,0.008,0.008,0.010
126,1748875814.72,35,0.006,0.005,0.007
127,1748875814.83,35,0.004,0.004,0.005
128,1748875814.96,35,0.003,0.003,0.003
129,1748875815.10,35,0.003,0.003,0.003
130,1748875815.22,35,0.004,0.003,0.003
