frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749126196.70,75,0.034,0.021,0.036,0.625,0.00,0.00,-0.95,0.00,0.07,none,1,20.68,3.14,0.00,11.19,0.045,0.045,0.0,0.089
3,1749126196.75,75,0.053,0.051,0.077,2.906,0.00,0.00,-0.95,0.00,0.08,none,0,20.77,3.15,0.00,19.81,0.024,0.024,0.0,0.050
4,1749126196.80,75,0.066,0.061,0.100,2.422,0.00,0.00,-0.95,0.00,0.08,none,0,20.77,3.15,0.00,19.93,0.021,0.021,0.0,0.050
5,1749126196.85,75,0.078,0.062,0.111,2.139,0.00,0.00,-0.94,0.00,0.07,none,0,20.70,3.14,0.00,19.87,0.022,0.022,0.0,0.050
6,1749126196.91,75,0.082,0.066,0.115,2.340,0.00,0.00,-0.94,0.00,0.06,none,0,20.61,3.12,0.00,19.81,0.021,0.021,0.0,0.050
7,1749126196.96,75,0.087,0.069,0.117,2.366,0.00,0.00,-0.94,0.00,0.05,none,0,20.53,3.11,0.00,19.92,0.022,0.022,0.0,0.050
8,1749126197.01,75,0.086,0.069,0.117,1.963,0.00,0.00,-0.94,0.00,0.04,none,0,20.44,3.09,0.00,19.86,0.022,0.022,0.0,0.050
9,1749126197.06,75,0.087,0.066,0.114,1.440,0.00,0.00,-0.93,0.00,0.03,none,0,20.36,3.07,0.00,19.97,0.023,0.023,0.0,0.050
10,1749126197.11,75,0.082,0.064,0.109,1.165,0.00,0.00,-0.93,0.00,0.03,none,0,20.30,3.06,0.00,19.96,0.023,0.023,0.0,0.050
11,1749126197.16,75,0.077,0.061,0.106,1.189,0.00,0.00,-0.93,0.00,0.02,none,0,20.23,3.05,0.00,19.96,0.024,0.024,0.0,0.050
12,1749126197.21,75,0.078,0.062,0.107,0.881,0.00,0.00,-0.93,0.00,0.02,none,0,20.18,3.04,0.00,19.83,0.024,0.024,0.0,0.050
13,1749126197.26,75,0.074,0.057,0.101,0.902,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.96,0.025,0.025,0.0,0.050
14,1749126197.31,75,0.067,0.052,0.092,1.351,0.00,0.00,-0.93,0.00,0.01,none,0,20.09,3.02,0.00,19.97,0.024,0.024,0.0,0.050
15,1749126197.36,75,0.059,0.047,0.080,0.737,0.00,0.00,-0.93,0.00,0.00,none,0,20.05,3.01,0.00,19.96,0.023,0.023,0.0,0.050
16,1749126197.41,75,0.051,0.041,0.069,0.443,0.00,0.00,-0.93,0.00,0.00,none,0,20.02,3.00,0.00,19.75,0.024,0.024,0.0,0.051
17,1749126197.46,75,0.041,0.035,0.059,0.403,0.00,0.00,-0.93,0.00,0.00,none,0,20.00,3.00,0.00,19.92,0.021,0.021,0.0,0.050
18,1749126197.51,75,0.035,0.029,0.050,0.290,0.00,0.00,-0.93,0.00,0.00,none,0,20.03,3.01,0.00,19.93,0.023,0.023,0.0,0.050
19,1749126197.56,75,0.027,0.026,0.043,0.433,0.00,0.00,-0.93,0.00,0.01,none,0,20.05,3.01,0.00,19.91,0.024,0.024,0.0,0.050
20,1749126197.61,75,0.025,0.023,0.040,0.529,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.90,0.023,0.023,0.0,0.050
21,1749126197.66,75,0.024,0.021,0.034,0.552,0.00,0.00,-0.93,0.00,0.01,none,0,20.08,3.02,0.00,19.81,0.023,0.023,0.0,0.050
22,1749126197.71,75,0.022,0.021,0.033,0.456,0.00,0.00,-0.93,0.00,0.01,none,0,20.09,3.02,0.00,19.94,0.021,0.021,0.0,0.050
23,1749126197.76,75,0.020,0.020,0.032,1.124,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.95,0.022,0.022,0.0,0.050
