frame,time,features,flow_left,flow_center,flow_right
2,1748953189.59,150,0.676,0.618,0.052
3,1748953189.69,150,0.801,0.661,0.046
4,1748953189.79,150,0.721,0.564,0.043
5,1748953189.90,150,0.637,0.505,0.037
6,1748953190.00,150,0.548,0.439,0.033
7,1748953190.09,150,0.436,0.332,0.025
8,1748953190.19,150,0.263,0.200,0.019
9,1748953190.28,150,0.155,0.129,0.013
10,1748953190.38,150,0.079,0.065,0.009
11,1748953190.48,150,0.043,0.032,0.007
12,1748953190.57,150,0.026,0.019,0.006
13,1748953190.67,150,0.019,0.014,0.005
14,1748953190.80,150,0.023,0.017,0.005
15,1748953190.89,150,0.028,0.023,0.005
16,1748953191.00,150,0.031,0.025,0.005
17,1748953191.09,150,0.032,0.025,0.005
18,1748953191.19,150,0.031,0.026,0.004
19,1748953191.29,150,0.029,0.023,0.004
20,1748953191.38,150,0.027,0.020,0.004
21,1748953191.49,150,0.025,0.021,0.003
22,1748953191.58,150,0.023,0.020,0.003
23,1748953191.68,150,0.022,0.018,0.003
24,1748953191.79,145,1.639,1.974,2.971
25,1748953191.88,146,2.544,2.880,4.073
26,1748953191.98,145,3.157,3.094,4.210
27,1748953192.08,150,3.214,3.129,4.271
28,1748953192.17,150,3.570,3.222,4.323
29,1748953192.28,150,2.489,1.461,1.435
30,1748953192.38,150,2.089,0.754,0.423
31,1748953192.46,150,1.937,0.745,0.387
32,1748953192.56,150,2.332,0.954,0.459
33,1748953192.65,150,2.404,1.085,0.554
34,1748953192.75,150,2.236,1.068,0.629
35,1748953192.86,150,2.106,1.079,0.761
36,1748953192.97,150,1.916,1.056,0.874
37,1748953193.06,150,1.692,0.987,0.980
38,1748953193.16,150,1.449,0.911,1.075
39,1748953193.27,150,1.257,0.889,1.214
40,1748953193.37,150,1.020,0.804,1.252
41,1748953193.47,148,0.889,0.752,1.334
42,1748953193.57,150,0.783,0.698,1.371
43,1748953193.67,150,0.732,0.668,1.435
44,1748953193.78,150,0.681,0.593,1.484
45,1748953193.88,148,0.682,0.546,1.624
46,1748953193.99,132,0.688,0.486,1.746
47,1748953194.09,139,0.723,0.437,1.871
48,1748953194.22,136,0.772,0.396,1.932
49,1748953194.33,141,0.787,0.365,1.885
50,1748953194.43,146,0.804,0.326,1.785
51,1748953194.55,142,0.791,0.328,1.662
52,1748953194.65,143,0.752,0.292,1.429
53,1748953194.76,147,0.700,0.249,1.217
54,1748953194.87,149,0.675,0.227,1.087
55,1748953194.97,150,0.608,0.211,0.937
56,1748953195.08,150,0.552,0.164,0.828
57,1748953195.19,149,0.497,0.149,0.821
58,1748953195.28,150,0.432,0.133,0.825
59,1748953195.40,150,0.392,0.126,0.844
60,1748953195.50,150,0.374,0.123,0.862
61,1748953195.60,149,0.358,0.114,0.824
62,1748953195.71,148,0.365,0.113,0.801
63,1748953195.81,150,0.365,0.112,0.793
64,1748953195.91,150,0.361,0.106,0.763
65,1748953196.01,150,0.348,0.101,0.750
66,1748953196.11,150,0.351,0.099,0.760
67,1748953196.22,150,0.335,0.096,0.756
68,1748953196.31,150,0.318,0.093,0.728
69,1748953196.41,150,0.284,0.091,0.692
70,1748953196.54,150,0.286,0.099,0.707
71,1748953196.64,150,0.260,0.098,0.642
72,1748953196.75,150,0.243,0.098,0.607
73,1748953196.85,150,0.234,0.098,0.572
74,1748953196.96,150,0.235,0.098,0.529
75,1748953197.08,150,0.223,0.085,0.450
76,1748953197.19,150,0.227,0.079,0.440
77,1748953197.30,149,0.232,0.073,0.430
78,1748953197.40,149,0.240,0.070,0.425
79,1748953197.50,150,0.234,0.063,0.411
80,1748953197.61,150,0.237,0.063,0.403
81,1748953197.73,150,0.244,0.064,0.390
82,1748953197.83,150,0.245,0.065,0.370
83,1748953197.93,150,0.241,0.063,0.356
84,1748953198.04,150,0.254,0.066,0.360
85,1748953198.15,150,0.244,0.067,0.354
86,1748953198.25,150,0.232,0.065,0.350
87,1748953198.40,149,0.255,0.070,0.344
88,1748953198.51,150,0.252,0.072,0.327
89,1748953198.61,150,0.236,0.071,0.310
90,1748953198.73,150,0.228,0.074,0.286
91,1748953198.84,150,0.220,0.078,0.268
92,1748953198.95,150,0.183,0.076,0.260
93,1748953199.06,149,0.174,0.080,0.261
94,1748953199.17,150,0.174,0.082,0.274
95,1748953199.27,150,0.171,0.082,0.286
96,1748953199.38,150,0.173,0.083,0.304
97,1748953199.49,145,0.182,0.079,0.300
98,1748953199.59,148,0.184,0.078,0.296
99,1748953199.71,149,0.184,0.076,0.283
100,1748953199.82,150,0.183,0.073,0.267
101,1748953199.92,150,0.179,0.071,0.243
102,1748953200.03,150,0.173,0.074,0.241
103,1748953200.13,150,0.167,0.074,0.233
104,1748953200.24,150,0.171,0.077,0.234
105,1748953200.35,150,0.172,0.080,0.233
106,1748953200.45,150,0.175,0.086,0.237
107,1748953200.56,150,0.171,0.083,0.236
108,1748953200.65,150,0.171,0.085,0.244
109,1748953200.75,150,0.168,0.083,0.244
110,1748953200.85,150,0.171,0.081,0.245
111,1748953200.95,150,0.167,0.076,0.242
112,1748953201.05,149,0.168,0.077,0.243
113,1748953201.15,148,0.174,0.080,0.250
114,1748953201.26,150,0.173,0.080,0.249
115,1748953201.36,150,0.176,0.084,0.259
116,1748953201.47,150,0.184,0.086,0.273
117,1748953201.58,150,0.194,0.091,0.285
118,1748953201.70,150,0.200,0.098,0.297
119,1748953201.82,150,0.211,0.098,0.317
120,1748953201.92,150,0.212,0.095,0.327
121,1748953202.04,148,0.221,0.098,0.350
122,1748953202.15,150,0.226,0.096,0.372
123,1748953202.27,124,0.231,0.089,0.394
124,1748953202.37,137,0.239,0.093,0.409
125,1748953202.49,148,0.251,0.098,0.426
126,1748953202.60,148,0.261,0.102,0.418
127,1748953202.70,148,0.270,0.099,0.429
128,1748953202.83,141,0.287,0.107,0.461
129,1748953202.94,135,0.294,0.113,0.497
130,1748953203.05,136,0.323,0.114,0.573
131,1748953203.16,148,0.347,0.115,0.669
132,1748953203.26,138,0.379,0.127,0.827
133,1748953203.36,119,0.410,0.134,0.855
134,1748953203.47,139,0.482,0.158,0.960
135,1748953203.57,124,0.575,0.195,1.040
136,1748953203.70,89,0.662,0.316,1.099
137,1748953203.79,142,0.728,0.426,1.104
138,1748953203.89,143,0.824,0.555,1.202
139,1748953203.98,149,0.905,0.714,1.243
140,1748953204.08,134,0.991,0.914,1.325
141,1748953204.18,115,1.149,1.080,1.409
142,1748953204.28,98,1.451,1.316,1.424
143,1748953204.37,71,1.900,1.421,1.665
144,1748953204.46,29,2.507,2.476,1.618
145,1748953204.56,7,2.484,4.017,4.293
146,1748953204.64,18,2.235,4.077,4.283
147,1748953204.73,20,1.778,3.962,4.131
148,1748953204.82,69,1.334,3.865,4.264
149,1748953204.90,50,0.856,3.074,4.290
150,1748953204.99,47,0.804,1.754,1.625
151,1748953205.08,35,1.198,1.830,1.577
152,1748953205.19,37,2.642,1.734,1.896
153,1748953205.27,128,2.759,1.661,1.458
154,1748953205.36,135,2.482,1.210,1.231
155,1748953205.44,140,2.382,0.750,0.914
156,1748953205.54,137,1.964,0.344,0.683
157,1748953205.62,138,0.568,0.186,0.258
158,1748953205.71,136,0.291,0.107,0.089
159,1748953205.80,138,0.247,0.111,0.100
160,1748953205.88,139,0.176,0.103,0.103
161,1748953205.98,138,0.143,0.066,0.085
162,1748953206.07,137,0.107,0.076,0.083
163,1748953206.16,143,0.074,0.077,0.075
164,1748953206.25,139,0.060,0.076,0.059
165,1748953206.34,137,0.052,0.085,0.050
166,1748953206.44,134,0.038,0.095,0.053
167,1748953206.54,135,0.031,0.081,0.044
168,1748953206.63,135,0.033,0.081,0.043
169,1748953206.72,137,0.031,0.088,0.045
170,1748953206.82,119,1.190,0.282,0.173
171,1748953206.91,139,1.426,0.371,0.208
172,1748953207.00,141,1.632,0.409,0.264
173,1748953207.08,139,1.716,0.426,0.298
174,1748953207.18,137,1.801,0.402,0.300
175,1748953207.26,135,0.696,0.196,0.172
176,1748953207.36,138,0.500,0.109,0.144
177,1748953207.45,133,0.320,0.079,0.092
178,1748953207.54,133,0.250,0.058,0.061
179,1748953207.64,135,0.175,0.068,0.055
180,1748953207.72,141,0.127,0.077,0.057
181,1748953207.81,137,0.088,0.072,0.051
182,1748953207.90,137,0.067,0.065,0.049
183,1748953208.00,139,0.051,0.056,0.042
184,1748953208.10,137,0.039,0.051,0.038
185,1748953208.19,138,0.033,0.047,0.032
186,1748953208.28,132,0.030,0.049,0.032
187,1748953208.38,141,0.027,0.060,0.035
188,1748953208.47,136,0.027,0.071,0.040
189,1748953208.56,140,0.028,0.075,0.042
190,1748953208.65,140,0.025,0.070,0.041
191,1748953208.75,136,0.022,0.063,0.036
192,1748953208.85,134,0.021,0.051,0.030
193,1748953208.94,138,0.018,0.043,0.026
194,1748953209.04,139,0.018,0.039,0.027
195,1748953209.14,137,0.022,0.046,0.030
196,1748953209.24,139,0.026,0.061,0.035
197,1748953209.33,135,0.027,0.078,0.042
198,1748953209.41,134,0.551,0.192,0.077
