frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749104896.44,75,0.029,0.041,0.055,2.740,0.00,0.00,-0.95,0.00,0.07,none,1,35.85,5.17,0.00,19.79,0.020,0.020,0.0,0.052
3,1749104896.49,75,0.042,0.052,0.080,1.502,0.00,0.00,-0.95,0.00,0.08,none,0,36.16,5.23,0.00,19.81,0.024,0.024,0.0,0.052
4,1749104896.55,75,0.065,0.063,0.108,2.514,0.00,0.00,-0.95,0.00,0.07,none,0,36.15,5.23,0.00,19.88,0.023,0.023,0.0,0.052
5,1749104896.60,75,0.080,0.066,0.118,2.245,0.00,0.00,-0.94,0.00,0.07,none,0,36.05,5.21,0.00,19.74,0.024,0.024,0.0,0.052
6,1749104896.65,75,0.086,0.069,0.120,2.326,0.00,0.00,-0.94,0.00,0.06,none,0,35.92,5.18,0.00,19.85,0.022,0.022,0.0,0.052
7,1749104896.70,75,0.100,0.078,0.137,2.406,0.00,0.00,-0.94,0.00,0.05,none,0,35.78,5.16,0.00,19.87,0.021,0.021,0.0,0.052
8,1749104896.75,75,0.103,0.074,0.136,1.569,0.00,0.00,-0.93,0.00,0.04,none,0,35.64,5.13,0.00,19.86,0.021,0.021,0.0,0.051
9,1749104896.81,75,0.095,0.068,0.122,1.479,0.00,0.00,-0.93,0.00,0.03,none,0,35.52,5.10,0.00,19.97,0.021,0.021,0.0,0.051
10,1749104896.86,75,0.080,0.061,0.111,1.272,0.00,0.00,-0.93,0.00,0.03,none,0,35.42,5.08,0.00,19.91,0.023,0.023,0.0,0.051
11,1749104896.91,75,0.066,0.050,0.097,0.896,0.00,0.00,-0.93,0.00,0.02,none,0,35.33,5.07,0.00,19.81,0.023,0.023,0.0,0.051
12,1749104896.96,75,0.053,0.042,0.084,1.372,0.00,0.00,-0.93,0.00,0.01,none,0,35.25,5.05,0.00,19.77,0.024,0.024,0.0,0.052
13,1749104897.01,75,0.045,0.037,0.072,0.673,0.00,0.00,-0.93,0.00,0.01,none,0,35.18,5.04,0.00,19.93,0.020,0.020,0.0,0.051
14,1749104897.06,75,0.038,0.031,0.058,0.536,0.00,0.00,-0.93,0.00,0.01,none,0,35.12,5.02,0.00,19.80,0.024,0.024,0.0,0.052
15,1749104897.12,75,0.031,0.028,0.048,0.582,0.00,0.00,-0.93,0.00,0.00,none,0,35.07,5.01,0.00,19.86,0.023,0.023,0.0,0.052
16,1749104897.17,75,0.027,0.025,0.041,0.397,0.00,0.00,-0.93,0.00,0.00,none,0,35.02,5.00,0.00,19.85,0.023,0.023,0.0,0.052
17,1749104897.22,75,0.021,0.020,0.031,0.365,0.00,0.00,-0.93,0.00,0.00,none,0,35.02,5.00,0.00,19.94,0.020,0.020,0.0,0.051
18,1749104897.27,75,0.018,0.018,0.027,0.292,0.00,0.00,-0.93,0.00,0.00,none,0,35.06,5.01,0.00,19.79,0.024,0.024,0.0,0.052
19,1749104897.32,75,0.014,0.016,0.027,0.333,0.00,0.00,-0.93,0.00,0.01,none,0,35.08,5.02,0.00,19.95,0.023,0.023,0.0,0.051
20,1749104897.38,75,0.014,0.016,0.026,0.520,0.00,0.00,-0.93,0.00,0.01,none,0,35.11,5.02,0.00,19.94,0.023,0.023,0.0,0.051
21,1749104897.43,75,0.014,0.018,0.027,0.586,0.00,0.00,-0.93,0.00,0.01,none,0,35.13,5.03,0.00,19.79,0.021,0.021,0.0,0.051
22,1749104897.48,75,0.016,0.020,0.028,0.445,0.00,0.00,-0.93,0.00,0.01,none,0,35.14,5.03,0.00,19.79,0.024,0.024,0.0,0.052
23,1749104897.53,75,0.018,0.021,0.029,0.567,0.00,0.00,-0.93,0.00,0.01,none,0,35.16,5.03,0.00,19.81,0.022,0.022,0.0,0.052
24,1749104897.58,75,0.020,0.022,0.030,0.479,0.00,0.00,-0.93,0.00,0.01,none,0,35.17,5.03,0.00,19.77,0.024,0.024,0.0,0.052
