frame,time,features,flow_left,flow_center,flow_right,speed
2,1748973085.74,75,0.039,0.023,0.042,0.05
3,1748973085.79,75,0.048,0.033,0.050,0.08
4,1748973085.84,75,0.085,0.040,0.071,0.08
5,1748973085.89,75,0.093,0.047,0.083,1.84
6,1748973087.94,74,10.235,4.311,11.619,1.84
7,1748973087.99,75,5.349,2.351,6.600,1.85
8,1748973088.04,75,2.933,1.343,4.149,1.86
9,1748973088.09,75,1.691,0.815,2.866,1.87
10,1748973088.14,75,1.073,0.542,2.326,1.88
11,1748973088.19,72,0.752,0.424,1.816,1.89
12,1748973088.25,74,0.577,0.371,1.597,1.89
13,1748973088.30,75,0.503,0.341,1.467,1.90
14,1748973088.35,75,0.468,0.292,1.446,1.90
15,1748973088.40,75,0.454,0.309,1.447,1.91
16,1748973088.45,75,0.454,0.298,1.473,1.91
17,1748973088.50,75,0.442,0.287,1.432,1.92
18,1748973088.55,75,0.456,0.279,1.525,1.92
19,1748973088.60,75,0.501,0.267,1.551,1.93
20,1748973088.65,75,0.503,0.271,1.480,1.93
21,1748973088.70,75,0.536,0.285,1.526,1.93
22,1748973088.75,75,0.546,0.271,1.589,1.94
23,1748973088.80,75,0.585,0.254,1.765,1.94
24,1748973088.85,75,0.587,0.256,1.608,1.94
25,1748973088.90,75,0.634,0.291,1.663,1.95
26,1748973088.95,75,0.643,0.265,1.616,1.95
27,1748973089.00,75,0.658,0.253,1.731,1.95
28,1748973089.05,75,0.686,0.258,1.697,1.95
29,1748973089.10,75,0.655,0.243,1.661,1.95
30,1748973089.16,75,0.714,0.236,1.701,1.96
31,1748973089.21,75,0.681,0.218,1.610,1.96
32,1748973089.26,75,0.742,0.243,1.858,1.96
33,1748973089.31,75,0.750,0.252,1.552,1.96
34,1748973089.36,75,0.750,0.248,1.535,1.96
35,1748973089.41,75,0.750,0.260,1.504,1.96
36,1748973089.46,75,0.814,0.282,1.410,1.96
37,1748973089.51,75,0.755,0.263,1.325,1.96
38,1748973089.56,75,0.726,0.232,1.145,1.97
39,1748973089.61,75,0.750,0.246,1.109,1.97
40,1748973089.66,75,0.782,0.303,1.166,1.97
41,1748973089.71,75,0.773,0.268,1.148,1.97
42,1748973089.76,75,0.797,0.283,1.021,1.97
43,1748973089.81,75,0.792,0.295,1.015,1.97
44,1748973089.86,75,0.806,0.288,1.022,1.97
45,1748973089.91,75,0.775,0.279,1.042,1.97
46,1748973089.96,75,0.748,0.272,0.997,1.97
47,1748973090.01,75,0.790,0.279,1.043,1.97
48,1748973090.06,75,0.810,0.289,1.187,1.97
49,1748973090.12,75,0.865,0.315,1.367,1.97
50,1748973090.17,75,0.891,0.309,1.324,1.97
51,1748973090.22,75,0.844,0.308,1.148,1.97
52,1748973090.27,75,0.842,0.303,1.300,1.97
53,1748973090.32,75,0.782,0.314,1.268,1.97
54,1748973090.37,75,0.798,0.304,1.141,1.97
55,1748973090.42,75,0.755,0.294,0.995,1.97
56,1748973090.47,75,0.748,0.292,0.989,1.97
57,1748973090.52,75,0.796,0.312,0.946,1.97
58,1748973090.57,75,0.715,0.291,0.940,1.97
59,1748973090.62,75,0.778,0.311,0.986,1.97
60,1748973090.67,75,0.772,0.317,0.987,1.97
61,1748973090.72,75,0.733,0.296,1.029,1.98
