frame,time,features,flow_left,flow_center,flow_right,flow_std,pos_x,pos_y,pos_z,yaw,speed,state,collided,brake_thres,dodge_thres,probe_req,fps,simgetimage_s,decode_s,processing_s,loop_s
2,1749122335.68,75,0.034,0.021,0.036,1.212,0.00,0.00,-0.96,0.00,0.06,none,1,20.57,3.11,0.00,14.61,0.021,0.021,0.0,0.068
3,1749122335.72,75,0.046,0.040,0.056,2.214,0.00,0.00,-0.95,0.00,0.08,none,0,20.74,3.15,0.00,19.94,0.022,0.022,0.0,0.050
4,1749122335.77,75,0.058,0.052,0.080,2.044,0.00,0.00,-0.95,0.00,0.08,none,0,20.78,3.16,0.00,19.94,0.023,0.023,0.0,0.050
5,1749122335.82,75,0.068,0.055,0.097,2.430,0.00,0.00,-0.95,0.00,0.07,none,0,20.74,3.15,0.00,19.83,0.020,0.020,0.0,0.050
6,1749122335.87,75,0.079,0.058,0.110,2.320,0.00,0.00,-0.94,0.00,0.06,none,0,20.64,3.13,0.00,19.97,0.023,0.023,0.0,0.050
7,1749122335.92,75,0.083,0.063,0.109,1.921,0.00,0.00,-0.94,0.00,0.05,none,0,20.53,3.11,0.00,19.69,0.029,0.029,0.0,0.051
8,1749122335.97,75,0.083,0.066,0.110,2.471,0.00,0.00,-0.94,0.00,0.04,none,0,20.47,3.09,0.00,19.90,0.023,0.023,0.0,0.050
9,1749122336.02,75,0.081,0.063,0.109,1.463,0.00,0.00,-0.93,0.00,0.04,none,0,20.39,3.08,0.00,19.95,0.020,0.020,0.0,0.050
10,1749122336.07,75,0.079,0.061,0.106,1.362,0.00,0.00,-0.93,0.00,0.03,none,0,20.32,3.06,0.00,19.96,0.025,0.025,0.0,0.050
11,1749122336.12,75,0.074,0.059,0.103,1.246,0.00,0.00,-0.93,0.00,0.02,none,0,20.26,3.05,0.00,19.82,0.022,0.022,0.0,0.050
12,1749122336.17,75,0.074,0.059,0.105,0.939,0.00,0.00,-0.93,0.00,0.02,none,0,20.20,3.04,0.00,19.84,0.022,0.022,0.0,0.050
13,1749122336.22,75,0.071,0.057,0.102,0.802,0.00,0.00,-0.93,0.00,0.01,none,0,20.15,3.03,0.00,19.79,0.021,0.021,0.0,0.051
14,1749122336.27,75,0.067,0.052,0.096,1.411,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.91,0.023,0.023,0.0,0.050
15,1749122336.32,75,0.059,0.048,0.085,0.527,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.85,0.023,0.023,0.0,0.050
16,1749122336.38,75,0.049,0.043,0.072,0.502,0.00,0.00,-0.93,0.00,0.00,none,0,20.03,3.01,0.00,19.84,0.030,0.030,0.0,0.050
17,1749122336.42,75,0.040,0.036,0.064,0.528,0.00,0.00,-0.93,0.00,0.00,none,0,20.01,3.00,0.00,19.85,0.024,0.024,0.0,0.050
18,1749122336.47,75,0.033,0.029,0.055,0.318,0.00,0.00,-0.93,0.00,0.00,none,0,20.02,3.00,0.00,19.88,0.021,0.021,0.0,0.050
19,1749122336.53,75,0.028,0.026,0.047,0.364,0.00,0.00,-0.93,0.00,0.00,none,0,20.04,3.01,0.00,19.85,0.024,0.024,0.0,0.050
20,1749122336.58,75,0.025,0.024,0.042,0.478,0.00,0.00,-0.93,0.00,0.01,none,0,20.06,3.01,0.00,19.86,0.025,0.025,0.0,0.050
21,1749122336.63,75,0.024,0.022,0.038,0.545,0.00,0.00,-0.93,0.00,0.01,none,0,20.07,3.01,0.00,19.80,0.024,0.024,0.0,0.051
22,1749122336.68,75,0.022,0.021,0.035,0.453,0.00,0.00,-0.93,0.00,0.01,none,0,20.09,3.02,0.00,19.76,0.024,0.024,0.0,0.051
23,1749122336.73,75,0.021,0.020,0.033,0.405,0.00,0.00,-0.93,0.00,0.01,none,0,20.10,3.02,0.00,19.95,0.022,0.022,0.0,0.050
24,1749122336.78,75,0.019,0.019,0.031,1.176,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.92,0.023,0.023,0.0,0.050
25,1749122336.83,75,0.019,0.019,0.031,0.661,0.00,0.00,-0.93,0.00,0.01,none,0,20.11,3.02,0.00,19.89,0.022,0.022,0.0,0.050
26,1749122336.88,75,0.019,0.020,0.031,0.540,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.84,0.023,0.023,0.0,0.050
27,1749122336.93,75,0.020,0.020,0.031,0.587,0.00,0.00,-0.93,0.00,0.01,none,0,20.12,3.02,0.00,19.96,0.021,0.021,0.0,0.050
28,1749122336.98,75,0.021,0.021,0.034,0.751,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.84,0.022,0.022,0.0,0.050
29,1749122337.03,75,0.021,0.021,0.035,0.559,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.87,0.023,0.023,0.0,0.050
30,1749122337.08,75,0.021,0.023,0.036,0.789,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.95,0.019,0.019,0.0,0.050
31,1749122337.13,75,0.021,0.023,0.036,0.470,0.00,0.00,-0.93,0.00,0.01,none,0,20.13,3.03,0.00,19.95,0.023,0.023,0.0,0.050
32,1749122337.18,75,0.021,0.023,0.038,0.700,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.82,0.022,0.022,0.0,0.050
33,1749122337.23,75,0.022,0.024,0.039,0.680,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.81,0.019,0.019,0.0,0.050
34,1749122337.28,75,0.024,0.023,0.038,0.749,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.95,0.021,0.021,0.0,0.050
35,1749122337.33,75,0.024,0.024,0.038,0.668,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.83,0.022,0.022,0.0,0.050
36,1749122337.38,75,0.025,0.024,0.039,0.593,0.00,0.00,-0.94,0.00,0.01,none,0,20.13,3.03,0.00,19.94,0.019,0.019,0.0,0.050
37,1749122337.43,75,0.024,0.023,0.039,0.611,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.92,0.020,0.020,0.0,0.050
38,1749122337.48,75,0.025,0.024,0.037,0.525,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.90,0.021,0.021,0.0,0.050
39,1749122337.53,75,0.025,0.025,0.038,0.660,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.85,0.022,0.022,0.0,0.050
40,1749122337.58,75,0.026,0.023,0.038,0.598,0.00,0.00,-0.94,0.00,0.01,none,0,20.12,3.02,0.00,19.94,0.022,0.022,0.0,0.050
41,1749122337.63,75,0.026,0.025,0.038,1.187,0.00,0.00,-0.94,0.00,0.01,none,0,20.11,3.02,0.00,19.95,0.020,0.020,0.0,0.050
42,1749122337.68,75,0.026,0.025,0.036,0.534,0.00,0.00,-0.94,0.00,0.00,resume_reinforce,0,20.11,3.02,0.00,19.87,0.020,0.020,0.0,0.050
43,1749122337.73,75,0.105,0.088,0.118,13.228,0.00,-0.00,-0.94,0.00,0.03,none,0,20.34,3.07,0.00,19.97,0.020,0.020,0.0,0.050
44,1749122337.78,74,1.383,0.875,1.294,162.626,0.00,-0.00,-0.94,0.00,0.08,none,0,20.68,3.14,0.00,19.94,0.023,0.023,0.0,0.050
45,1749122337.83,74,2.175,1.501,2.175,146.690,0.01,-0.00,-0.95,0.00,0.18,none,0,21.53,3.31,0.00,19.80,0.023,0.023,0.0,0.051
46,1749122337.88,74,2.741,1.968,2.767,88.447,0.02,-0.00,-0.95,0.00,0.29,none,0,22.50,3.50,0.00,19.88,0.020,0.020,0.0,0.050
47,1749122337.93,75,3.138,2.290,3.160,54.139,0.03,-0.00,-0.96,0.00,0.38,none,0,23.46,3.69,0.00,19.85,0.021,0.021,0.0,0.050
48,1749122337.98,75,3.369,2.463,3.374,30.327,0.05,-0.00,-0.97,0.00,0.46,none,0,24.39,3.88,0.00,19.94,0.021,0.021,0.0,0.050
49,1749122338.03,75,3.464,2.525,3.464,11.666,0.07,-0.00,-0.98,0.00,0.54,none,0,25.07,4.01,0.00,19.94,0.019,0.019,0.0,0.050
50,1749122338.08,75,3.528,2.543,3.544,10.682,0.10,-0.00,-0.99,0.00,0.62,none,0,25.92,4.18,0.00,19.96,0.022,0.022,0.0,0.050
51,1749122338.13,75,3.643,2.601,3.682,15.149,0.13,-0.00,-1.00,-0.00,0.70,none,0,26.70,4.34,0.00,19.82,0.021,0.021,0.0,0.050
52,1749122338.18,75,3.803,2.704,3.875,20.648,0.17,-0.00,-1.01,-0.00,0.77,none,0,27.45,4.49,0.00,19.86,0.021,0.021,0.0,0.050
53,1749122338.23,75,3.913,2.767,4.000,23.183,0.20,-0.00,-1.02,-0.00,0.84,none,0,28.19,4.64,0.00,19.94,0.023,0.023,0.0,0.050
54,1749122338.28,75,2.820,2.115,3.032,26.289,0.25,-0.00,-1.03,-0.00,0.91,none,0,28.87,4.77,0.00,19.90,0.021,0.021,0.0,0.050
55,1749122338.33,74,2.251,1.644,2.408,28.645,0.30,-0.00,-1.04,-0.00,0.98,none,0,29.60,4.92,0.00,19.82,0.023,0.023,0.0,0.050
56,1749122338.39,75,1.894,1.328,2.076,30.168,0.35,-0.00,-1.04,-0.00,1.05,none,0,30.22,5.04,0.00,19.97,0.022,0.022,0.0,0.050
57,1749122338.44,75,1.744,1.169,1.962,28.904,0.40,-0.00,-1.05,-0.00,1.10,none,0,30.89,5.18,0.00,19.95,0.023,0.023,0.0,0.050
58,1749122338.49,75,1.742,1.145,2.012,29.956,0.46,-0.00,-1.05,-0.00,1.16,none,0,31.42,5.28,0.00,19.90,0.021,0.021,0.0,0.050
59,1749122338.54,75,1.898,1.232,2.215,32.111,0.52,-0.00,-1.05,-0.00,1.22,none,0,31.99,5.40,0.00,19.98,0.020,0.020,0.0,0.050
60,1749122338.59,75,2.087,1.356,2.439,32.117,0.58,-0.00,-1.06,-0.00,1.27,none,0,32.50,5.50,0.00,19.97,0.021,0.021,0.0,0.050
61,1749122338.64,74,2.230,1.436,2.577,33.995,0.64,-0.00,-1.06,-0.00,1.32,none,0,32.98,5.60,0.00,19.81,0.019,0.019,0.0,0.050
62,1749122338.69,74,2.453,1.465,2.650,79.758,0.71,-0.00,-1.06,-0.00,1.36,none,0,33.48,5.70,0.00,19.95,0.020,0.020,0.0,0.050
63,1749122338.74,74,2.687,1.470,2.701,95.149,0.78,-0.00,-1.06,-0.00,1.41,none,0,33.95,5.79,0.00,19.80,0.024,0.024,0.0,0.050
64,1749122338.79,74,2.814,1.446,2.730,46.728,0.85,-0.00,-1.06,-0.00,1.45,none,0,34.32,5.86,0.00,19.94,0.019,0.019,0.0,0.050
65,1749122338.84,75,2.939,1.410,2.708,61.013,0.93,-0.00,-1.06,-0.00,1.48,none,0,34.71,5.94,0.00,19.84,0.020,0.020,0.0,0.050
66,1749122338.89,72,3.116,1.377,2.657,37.960,1.00,-0.00,-1.06,-0.00,1.52,none,0,35.07,6.01,0.00,19.93,0.023,0.023,0.0,0.050
67,1749122338.94,70,3.322,1.326,2.624,41.669,1.08,-0.00,-1.07,-0.00,1.55,none,0,35.43,6.09,0.00,19.91,0.025,0.025,0.0,0.050
68,1749122338.99,74,3.564,1.276,2.584,49.168,1.16,-0.00,-1.07,-0.00,1.58,none,0,35.71,6.14,0.00,19.86,0.022,0.022,0.0,0.050
69,1749122339.04,74,3.764,1.223,2.516,46.603,1.24,-0.00,-1.07,-0.00,1.61,none,0,36.02,6.20,0.00,19.96,0.023,0.023,0.0,0.050
70,1749122339.09,73,4.012,1.177,2.442,52.559,1.32,-0.00,-1.07,-0.00,1.64,none,0,36.28,6.26,0.00,19.84,0.023,0.023,0.0,0.050
71,1749122339.14,73,4.203,1.118,2.369,47.201,1.40,-0.00,-1.06,-0.00,1.66,none,0,36.53,6.31,0.00,19.93,0.022,0.022,0.0,0.050
72,1749122339.19,75,4.227,1.078,2.352,49.670,1.48,-0.00,-1.06,-0.00,1.68,none,0,36.77,6.35,0.00,19.81,0.023,0.023,0.0,0.050
73,1749122339.24,74,4.185,1.048,2.325,44.764,1.57,-0.00,-1.06,-0.00,1.70,none,0,36.99,6.40,0.00,19.97,0.023,0.023,0.0,0.050
74,1749122339.29,74,4.254,1.027,2.312,49.730,1.66,-0.00,-1.06,-0.00,1.72,none,0,37.17,6.43,0.00,19.95,0.020,0.020,0.0,0.050
75,1749122339.34,75,4.323,0.990,2.339,53.635,1.74,-0.00,-1.06,-0.00,1.74,none,0,37.36,6.47,0.00,19.93,0.020,0.020,0.0,0.050
76,1749122339.39,75,4.435,0.943,2.357,52.518,1.83,-0.00,-1.06,-0.00,1.76,no_dodge,0,37.54,6.51,0.00,19.93,0.023,0.023,0.0,0.050
77,1749122339.44,74,4.490,0.925,2.331,61.568,1.92,-0.00,-1.06,-0.00,1.78,no_dodge,0,37.70,6.54,0.00,19.91,0.022,0.022,0.0,0.050
78,1749122339.49,74,4.521,0.892,2.321,54.471,2.01,-0.00,-1.06,-0.00,1.79,none,0,37.85,6.57,0.00,19.87,0.022,0.022,0.0,0.050
79,1749122339.54,73,4.464,0.876,2.300,38.305,3.28,-0.00,-1.19,-0.00,0.59,no_dodge,0,37.99,6.60,0.00,0.96,0.023,0.023,0.0,1.042
80,1749122340.58,73,5.264,2.199,3.125,11.616,3.31,-0.00,-1.19,-0.00,0.55,resume,0,25.67,4.13,0.00,19.91,0.021,0.021,0.0,0.050
81,1749122340.63,75,5.006,2.241,3.101,20.964,3.80,1.17,-1.24,-0.06,0.92,dodge_right,0,25.38,4.08,0.00,0.31,0.021,0.021,0.0,3.271
82,1749122343.90,73,5.669,5.664,4.515,7.420,3.80,2.39,-1.39,-0.18,0.10,dodge_right,1,29.25,4.85,0.00,0.31,0.022,0.022,0.0,3.268
83,1749122347.17,71,6.501,8.083,6.557,5.140,3.80,2.40,-1.39,-0.18,0.08,resume,1,21.18,3.24,0.00,19.84,0.020,0.020,0.0,0.050
84,1749122347.22,75,6.136,8.022,6.359,3.370,3.80,2.40,-1.40,-0.50,0.05,none,1,20.52,3.10,0.00,19.84,0.024,0.024,0.0,0.050
85,1749122347.27,75,6.453,8.981,7.354,164.223,3.93,1.21,-1.44,-0.14,0.92,dodge_left,1,20.99,3.20,0.00,0.31,0.022,0.022,0.0,3.270
86,1749122350.54,74,7.861,11.402,7.954,4.677,3.93,1.16,-1.44,-0.14,0.93,none,0,29.26,4.85,0.00,19.90,0.020,0.020,0.0,0.050
87,1749122350.59,75,7.530,11.382,7.991,35.983,3.93,1.12,-1.44,-0.14,0.93,none,0,29.30,4.86,0.00,19.96,0.022,0.022,0.0,0.050
88,1749122350.64,75,7.413,11.503,8.217,41.435,3.93,1.07,-1.44,-0.14,0.92,none,0,29.26,4.85,0.00,19.90,0.021,0.021,0.0,0.050
89,1749122350.69,75,7.467,11.596,8.493,44.763,3.93,-0.84,-1.42,-0.14,0.93,dodge_left,0,29.03,4.81,0.00,0.31,0.024,0.024,0.0,3.273
90,1749122353.97,74,8.539,14.113,9.286,8.516,3.93,-0.89,-1.42,-0.14,0.94,none,0,29.34,4.87,0.00,19.88,0.020,0.020,0.0,0.050
91,1749122354.02,74,8.345,14.123,9.256,36.846,3.93,-0.94,-1.41,-0.14,0.94,none,0,29.38,4.88,0.00,19.93,0.023,0.023,0.0,0.050
92,1749122354.07,74,7.274,10.826,7.939,46.276,3.93,-0.98,-1.41,-0.14,0.93,none,0,29.34,4.87,0.00,19.86,0.019,0.019,0.0,0.050
93,1749122354.12,73,6.059,8.506,6.074,48.188,3.93,-1.00,-1.41,-0.08,0.26,resume,1,24.76,3.95,0.00,19.83,0.019,0.019,0.0,0.050
94,1749122354.17,75,6.124,8.535,6.218,21.200,3.93,-1.00,-1.41,0.02,0.09,none,1,21.32,3.26,0.00,19.91,0.020,0.020,0.0,0.050
95,1749122354.22,75,6.407,8.091,5.702,111.922,3.93,-1.00,-1.41,0.05,0.03,none,1,20.24,3.05,0.00,19.96,0.020,0.020,0.0,0.050
96,1749122354.27,74,4.499,6.409,5.843,132.994,3.93,-0.99,-1.41,0.11,0.11,none,0,20.84,3.17,0.00,19.95,0.022,0.022,0.0,0.050
97,1749122354.32,75,4.319,7.024,6.319,111.651,3.94,-0.99,-1.42,0.18,0.22,none,0,21.82,3.36,0.00,19.91,0.022,0.022,0.0,0.050
98,1749122354.37,75,3.931,7.273,6.363,71.122,3.94,-0.99,-1.42,0.23,0.31,none,0,22.72,3.54,0.00,19.94,0.019,0.019,0.0,0.050
99,1749122354.42,75,4.076,7.384,6.186,38.859,3.96,-0.99,-1.44,0.27,0.40,none,0,23.71,3.74,0.00,19.98,0.021,0.021,0.0,0.050
100,1749122354.47,75,2.040,3.607,4.471,19.330,3.98,-0.98,-1.45,0.29,0.49,none,0,24.57,3.91,0.00,19.94,0.022,0.022,0.0,0.050
101,1749122354.52,75,2.040,3.515,4.382,9.394,4.00,-0.98,-1.46,0.29,0.57,none,0,25.38,4.08,0.00,19.89,0.021,0.021,0.0,0.050
102,1749122354.57,75,2.193,3.354,4.128,11.623,4.03,-0.98,-1.47,0.27,0.64,none,0,26.16,4.23,0.00,19.86,0.023,0.023,0.0,0.050
103,1749122354.62,74,2.193,3.274,3.864,16.254,4.06,-0.97,-1.48,0.24,0.71,none,0,26.93,4.39,0.00,19.93,0.023,0.023,0.0,0.050
104,1749122354.67,74,2.109,3.355,3.857,20.251,4.10,-0.97,-1.49,0.20,0.79,none,0,27.67,4.53,0.00,19.80,0.022,0.022,0.0,0.051
105,1749122354.72,75,1.088,2.918,3.300,23.189,4.14,-0.97,-1.50,0.15,0.86,none,0,28.40,4.68,0.00,19.98,0.023,0.023,0.0,0.050
106,1749122354.77,75,1.088,2.283,2.548,27.841,4.18,-0.97,-1.50,0.11,0.93,none,0,29.11,4.82,0.00,19.89,0.024,0.024,0.0,0.050
107,1749122354.82,75,1.088,1.772,2.008,25.237,4.23,-0.96,-1.51,0.06,0.99,none,0,29.71,4.94,0.00,19.93,0.023,0.023,0.0,0.050
108,1749122354.87,75,1.312,1.514,1.731,27.258,4.28,-0.96,-1.52,0.01,1.06,none,0,30.36,5.07,0.00,19.96,0.020,0.020,0.0,0.050
109,1749122354.92,75,0.971,1.427,1.650,27.698,4.34,-0.96,-1.52,-0.02,1.12,none,0,30.95,5.19,0.00,19.95,0.020,0.020,0.0,0.050
110,1749122354.97,75,0.871,1.450,1.739,26.076,4.39,-0.96,-1.52,-0.05,1.18,none,0,31.58,5.32,0.00,19.82,0.021,0.021,0.0,0.050
111,1749122355.02,75,1.110,1.609,1.898,25.918,4.46,-0.95,-1.53,-0.07,1.23,none,0,32.14,5.43,0.00,19.95,0.022,0.022,0.0,0.050
112,1749122355.07,75,1.228,1.725,2.028,31.051,4.52,-0.95,-1.53,-0.09,1.28,none,0,32.67,5.53,0.00,19.82,0.026,0.026,0.0,0.050
113,1749122355.12,75,1.577,1.803,2.103,27.764,4.58,-0.95,-1.53,-0.09,1.33,none,0,33.14,5.63,0.00,19.81,0.023,0.023,0.0,0.050
114,1749122355.17,74,2.189,1.831,2.126,26.921,4.65,-0.95,-1.54,-0.09,1.37,none,0,33.60,5.72,0.00,19.84,0.023,0.023,0.0,0.050
115,1749122355.22,75,2.896,1.836,2.129,30.859,4.72,-0.95,-1.54,-0.09,1.42,none,0,34.02,5.80,0.00,19.86,0.023,0.023,0.0,0.050
116,1749122355.27,75,3.529,1.831,2.114,35.623,4.79,-0.95,-1.54,-0.08,1.45,none,0,34.43,5.89,0.00,19.91,0.023,0.023,0.0,0.050
117,1749122355.32,75,4.287,1.801,2.104,35.744,4.87,-0.94,-1.54,-0.07,1.49,none,0,34.81,5.96,0.00,19.81,0.024,0.024,0.0,0.050
118,1749122355.37,75,4.909,1.749,2.079,40.828,4.94,-0.94,-1.54,-0.05,1.53,none,0,35.14,6.03,0.00,19.88,0.022,0.022,0.0,0.050
119,1749122355.42,75,5.693,1.688,2.040,45.083,5.02,-0.94,-1.54,-0.04,1.56,none,0,35.48,6.10,0.00,19.79,0.024,0.024,0.0,0.051
120,1749122355.47,75,6.691,1.656,2.012,55.185,5.10,-0.94,-1.54,-0.02,1.59,none,0,35.79,6.16,0.00,19.85,0.023,0.023,0.0,0.050
121,1749122355.53,74,7.851,1.580,1.959,59.962,5.18,-0.94,-1.54,-0.01,1.62,none,0,36.08,6.22,0.00,19.90,0.022,0.022,0.0,0.050
122,1749122355.58,74,8.466,1.561,1.921,34.388,5.26,-0.94,-1.54,-0.00,1.64,none,0,36.34,6.27,0.00,19.90,0.023,0.023,0.0,0.050
123,1749122355.63,74,9.064,1.503,1.880,34.868,5.35,-0.94,-1.54,0.01,1.67,none,0,36.58,6.32,0.00,19.93,0.023,0.023,0.0,0.050
124,1749122355.68,75,8.453,1.477,1.890,32.616,5.43,-0.94,-1.54,0.02,1.69,none,0,36.82,6.36,0.00,19.81,0.025,0.025,0.0,0.050
125,1749122355.73,73,8.181,1.421,1.889,32.379,6.98,0.24,-1.71,-0.44,0.93,dodge_right,0,37.04,6.41,0.00,0.44,0.024,0.024,0.0,2.268
126,1749122357.99,74,9.473,4.397,3.283,10.100,6.98,0.29,-1.71,-0.44,0.93,resume,0,29.28,4.86,0.00,19.85,0.022,0.022,0.0,0.050
127,1749122358.05,75,9.042,4.364,3.249,32.590,7.15,2.27,-1.77,-0.55,0.93,dodge_right,0,29.30,4.86,0.00,0.31,0.021,0.021,0.0,3.271
128,1749122361.32,72,11.455,9.961,7.185,12.943,7.16,2.40,-1.79,-0.00,0.10,dodge_right,1,29.35,4.87,0.00,0.31,0.020,0.020,0.0,3.274
129,1749122364.59,75,11.562,10.609,8.577,2.623,7.16,2.40,-1.79,0.00,0.11,none,1,21.05,3.21,0.00,19.87,0.021,0.021,0.0,0.050
130,1749122364.64,75,10.338,10.463,8.387,1.870,7.16,2.40,-1.79,-0.00,0.05,none,1,20.90,3.18,0.00,19.95,0.026,0.026,0.0,0.050
131,1749122364.69,75,8.981,10.352,8.252,5.560,7.16,2.40,-1.79,0.01,0.04,none,1,20.25,3.05,0.00,19.77,0.025,0.025,0.0,0.051
132,1749122364.74,75,8.406,10.304,8.245,37.886,7.16,2.40,-1.79,-0.00,0.08,none,1,20.73,3.15,0.00,19.88,0.025,0.025,0.0,0.050
133,1749122364.79,75,7.633,10.224,8.165,22.551,7.16,2.40,-1.79,-0.00,0.09,none,1,20.90,3.18,0.00,19.84,0.021,0.021,0.0,0.050
134,1749122364.84,75,7.792,10.130,8.048,18.692,7.16,2.40,-1.79,-0.00,0.09,none,1,20.94,3.19,0.00,19.83,0.025,0.025,0.0,0.050
135,1749122364.89,75,7.440,10.050,7.893,11.572,7.16,2.40,-1.79,0.00,0.09,none,1,20.91,3.18,0.00,19.82,0.022,0.022,0.0,0.050
136,1749122364.94,75,5.634,6.952,6.370,15.087,7.16,2.40,-1.79,0.00,0.09,resume,1,20.87,3.17,0.00,19.91,0.024,0.024,0.0,0.050
137,1749122364.99,75,5.345,6.848,6.240,5.017,7.16,2.40,-1.79,-0.06,0.09,none,1,20.92,3.18,0.00,19.96,0.025,0.025,0.0,0.050
138,1749122365.04,74,2.613,1.605,2.694,104.233,7.16,2.40,-1.79,-0.11,0.07,none,1,20.84,3.17,0.00,19.92,0.023,0.023,0.0,0.050
139,1749122365.09,75,2.064,1.316,1.834,108.024,7.17,2.40,-1.79,-0.14,0.05,none,1,20.48,3.10,0.00,19.79,0.023,0.023,0.0,0.051
140,1749122365.14,75,2.586,1.804,2.409,97.520,7.17,2.40,-1.79,-0.16,0.08,none,1,20.73,3.15,0.00,19.90,0.023,0.023,0.0,0.050
141,1749122365.19,74,2.931,2.131,2.782,62.082,7.17,2.40,-1.79,-0.16,0.11,none,1,21.11,3.22,0.00,19.96,0.026,0.026,0.0,0.050
142,1749122365.24,75,2.867,2.233,2.849,42.723,7.17,2.40,-1.79,-0.16,0.15,none,1,21.47,3.29,0.00,19.89,0.025,0.025,0.0,0.050
143,1749122365.29,75,2.907,2.340,2.957,35.651,7.17,2.40,-1.79,-0.15,0.18,none,1,21.83,3.37,0.00,19.81,0.022,0.022,0.0,0.050
144,1749122365.34,75,2.914,2.429,3.041,26.855,7.17,2.40,-1.79,-0.15,0.20,none,1,22.09,3.42,0.00,19.79,0.022,0.022,0.0,0.051
145,1749122365.40,75,2.974,2.514,3.136,22.763,7.17,2.40,-1.79,-0.14,0.23,none,1,22.32,3.46,0.00,19.72,0.025,0.025,0.0,0.051
146,1749122365.45,75,2.972,2.564,3.178,19.310,7.17,2.40,-1.79,-0.13,0.27,none,1,22.61,3.52,0.00,19.84,0.024,0.024,0.0,0.050
147,1749122365.50,75,3.105,2.697,3.312,25.632,7.17,2.40,-1.79,-0.11,0.34,none,1,23.22,3.64,0.00,19.80,0.023,0.023,0.0,0.051
148,1749122365.55,75,2.756,2.352,2.895,27.817,7.18,2.40,-1.79,-0.09,0.37,none,1,23.59,3.72,0.00,19.86,0.023,0.023,0.0,0.050
149,1749122365.60,75,2.260,1.926,2.253,13.995,7.18,2.40,-1.80,-0.06,0.43,none,1,24.13,3.83,0.00,19.75,0.021,0.021,0.0,0.051
