frame,time,features,flow_left,flow_center,flow_right
2,1748953613.94,150,0.732,0.569,0.053
3,1748953614.05,150,0.840,0.651,0.046
4,1748953614.16,150,0.740,0.586,0.038
5,1748953614.26,150,0.627,0.488,0.033
6,1748953614.35,150,0.538,0.420,0.030
7,1748953614.45,150,0.411,0.320,0.022
8,1748953614.55,150,0.231,0.181,0.015
9,1748953614.66,150,0.126,0.092,0.012
10,1748953614.76,150,0.070,0.055,0.009
11,1748953614.86,150,0.038,0.028,0.006
12,1748953614.98,150,0.026,0.020,0.005
13,1748953615.08,150,0.022,0.017,0.005
14,1748953615.20,150,0.027,0.020,0.005
15,1748953615.30,150,0.031,0.025,0.005
16,1748953615.39,150,0.032,0.026,0.005
17,1748953615.49,150,0.031,0.025,0.005
18,1748953615.59,150,0.030,0.024,0.004
19,1748953615.69,150,0.028,0.022,0.004
20,1748953615.80,150,0.027,0.018,0.003
21,1748953615.90,150,0.025,0.019,0.003
22,1748953616.00,150,0.023,0.018,0.003
23,1748953616.11,141,1.549,2.122,3.054
24,1748953616.22,147,2.465,3.016,4.172
25,1748953616.32,149,3.002,3.164,4.255
26,1748953616.41,150,3.120,3.207,4.315
27,1748953616.51,150,3.568,3.324,4.380
28,1748953616.61,150,2.572,1.447,1.417
29,1748953616.72,150,2.146,0.805,0.398
30,1748953616.82,150,2.091,0.949,0.449
31,1748953616.93,150,2.423,1.170,0.538
32,1748953617.05,150,2.424,1.338,0.674
33,1748953617.16,150,2.268,1.296,0.791
34,1748953617.26,150,2.070,1.240,0.908
35,1748953617.37,150,1.830,1.122,1.021
36,1748953617.49,150,1.602,1.043,1.164
37,1748953617.60,150,1.319,0.905,1.245
38,1748953617.70,150,1.099,0.868,1.340
39,1748953617.81,150,0.947,0.807,1.451
40,1748953617.92,150,0.851,0.766,1.529
41,1748953618.03,150,0.774,0.703,1.594
42,1748953618.15,149,0.746,0.643,1.704
43,1748953618.26,150,0.738,0.571,1.820
44,1748953618.36,131,0.746,0.508,1.891
45,1748953618.47,138,0.758,0.442,1.908
46,1748953618.59,139,0.801,0.382,1.899
47,1748953618.71,141,0.822,0.342,1.830
48,1748953618.83,146,0.854,0.321,1.748
49,1748953618.94,148,0.842,0.286,1.571
50,1748953619.05,146,0.801,0.250,1.382
51,1748953619.15,146,0.728,0.220,1.195
52,1748953619.26,148,0.659,0.198,1.025
53,1748953619.36,148,0.547,0.167,0.851
54,1748953619.47,150,0.478,0.153,0.807
